"sample.depths","sample.ages","Abies","Acer","Alnus.incana","Alnus.viridis.subsp..crispa","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brassicaceae","Castanea","Cornus.canadensis","Cupressaceae","Cyperaceae","Diphasiastrum.complanatum","Epilobium","Equisetum","Ericaceae","Fagus","Fraxinus","Huperzia.lucidula","Huperzia.selago","Isoëtes","Juglans","Lamiaceae","Larix","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Lycopodium.undiff.","Myrica","Ostrya","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Poaceae","Polygonum.viviparum","Polypodium","Populus","Potamogeton","Quercus","Ranunculaceae","Rosaceae","Rumex","Salix","Saxifragaceae","Sparganium","Sphagnum","Tsuga","Typha","Ulmus","Unknown"
1,59,0,0,12,304,0,4,0,6,2,202,0,0,0,22,18,0,0,0,10,0,0,0,0,0,0,0,0,8,0,2,6,4,0,420,10,8,16,0,18,0,16,8,0,4,0,0,0,6,0,0,58,0,4,0,0
2,153,0,0,6,298,4,10,0,6,4,220,0,0,0,38,22,0,2,0,18,0,0,0,0,2,0,0,0,4,0,0,0,2,0,388,10,6,3,0,2,0,20,0,0,0,0,0,0,0,0,0,32,0,0,0,0
3.5,294,0,0,8,370,0,8,0,8,2,286,0,0,0,48,8,2,0,0,24,0,2,0,0,2,0,0,0,8,0,0,0,2,0,375,30,6,5,0,4,0,16,6,0,4,2,0,0,2,0,0,44,0,0,0,0
5,435,0,2,0,300,0,10,0,14,2,212,0,0,0,10,16,0,0,0,12,0,0,0,0,2,0,0,0,14,0,0,4,2,0,422,6,4,14,0,8,0,8,2,2,0,0,0,0,2,0,0,20,0,0,0,0
8.5,763,0,0,2,292,2,8,0,2,0,146,0,0,0,22,20,0,2,0,16,0,2,0,0,2,0,0,0,6,0,0,0,0,0,538,38,0,3,2,10,0,0,2,2,4,2,0,0,6,0,0,40,0,0,0,2
11,998,0,0,2,292,0,2,0,10,2,168,0,0,0,6,22,0,0,2,4,0,0,0,0,0,0,0,0,4,0,2,0,0,0,479,8,6,9,0,14,0,6,2,2,4,0,0,0,4,0,0,32,0,0,0,0
12.5,1139,0,0,10,360,2,0,0,2,2,192,0,0,0,12,20,0,0,0,8,2,0,0,2,0,0,0,4,10,0,0,0,0,0,459,16,2,5,0,20,2,24,4,0,2,0,0,2,4,0,0,34,0,0,0,0
15,1374,0,0,4,342,0,4,0,14,2,128,0,0,0,8,24,0,0,0,4,0,0,0,0,0,0,0,0,12,0,0,6,2,2,452,14,10,13,0,4,0,16,0,0,0,0,0,0,0,0,0,32,0,2,2,0
16,1467,4,0,2,370,4,2,0,6,4,190,0,0,0,14,20,0,0,0,6,0,0,0,0,0,0,0,2,4,0,0,0,0,0,616,36,8,3,0,12,0,4,2,0,2,0,0,0,0,0,0,36,0,0,0,0
20,1843,0,2,0,406,0,0,0,6,0,186,0,0,0,8,14,0,0,0,18,0,2,0,0,2,0,0,0,6,2,2,2,0,0,452,14,8,10,0,10,0,16,2,2,4,0,0,0,2,0,0,20,0,0,0,0
23,2125,2,2,14,360,2,2,0,4,4,170,0,0,0,8,16,0,0,0,10,0,2,0,0,0,0,0,0,8,0,0,0,0,0,560,20,2,1,0,8,0,8,0,0,4,0,0,0,2,0,0,30,0,0,0,0
25,2312,0,2,10,340,0,0,0,6,2,124,0,0,0,12,10,2,0,2,8,0,0,0,0,0,0,0,0,2,0,0,0,0,2,502,10,6,13,0,0,0,4,0,2,2,0,0,0,6,0,0,40,0,2,0,2
27,2500,0,0,6,402,0,2,0,6,2,192,0,0,0,16,12,0,0,2,14,0,2,0,0,2,0,0,0,0,2,0,0,2,0,520,40,8,2,0,12,0,4,0,0,2,2,0,0,2,0,0,30,0,0,0,0
29.5,2735,0,0,0,322,0,0,0,0,0,144,0,0,0,8,10,0,0,0,10,0,2,0,0,0,0,0,0,6,0,0,0,2,0,501,4,6,6,0,8,0,8,0,0,2,0,0,0,2,0,0,20,0,0,0,0
35,3251,0,0,2,410,0,2,0,8,0,102,0,0,0,8,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,454,4,6,10,0,0,0,12,0,0,2,0,0,0,0,0,0,10,0,2,0,0
40,3720,0,0,0,430,0,4,0,4,4,126,0,0,0,0,2,0,0,2,4,0,0,0,0,0,0,0,2,4,2,0,6,2,0,400,10,8,5,0,8,0,14,0,0,0,2,0,0,2,0,0,20,0,2,0,0
45,3875,0,0,4,364,0,0,0,16,0,188,0,0,0,0,8,0,0,0,6,0,0,0,0,0,0,0,2,2,0,0,4,4,4,457,2,4,7,0,0,0,8,0,2,0,0,0,0,4,0,0,22,0,0,0,0
50,3951,0,0,2,474,0,6,0,12,0,176,0,0,0,8,2,0,0,0,4,0,0,0,0,0,0,0,0,8,6,0,0,0,0,668,12,4,6,0,10,0,12,2,0,2,0,0,2,0,0,0,30,0,0,0,0
55,4027,0,0,4,280,0,0,0,8,2,148,0,0,0,4,8,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,2,0,597,8,8,9,0,2,0,10,2,0,2,0,0,0,0,0,0,12,0,0,0,0
60,4103,0,0,0,508,0,2,0,2,2,244,0,0,0,12,6,0,0,0,8,0,2,0,0,0,0,0,0,0,2,0,0,0,0,513,8,4,10,0,2,0,10,2,0,2,0,0,0,0,0,0,18,0,0,0,2
65,4179,0,0,4,468,4,0,0,2,2,300,0,0,0,2,10,2,0,0,2,0,0,2,0,2,0,0,0,0,0,0,2,0,0,391,8,6,9,0,4,0,8,2,0,0,0,0,0,4,0,0,6,0,0,0,0
70,4255,0,0,0,418,0,0,0,6,0,350,0,0,4,6,14,0,0,6,2,0,0,0,0,0,0,0,2,4,2,0,6,0,2,519,8,2,8,0,2,0,10,2,0,4,0,0,0,0,0,0,12,0,0,0,0
75,4336,0,0,2,510,0,0,0,6,0,216,0,0,0,8,6,2,2,6,4,0,2,0,0,0,0,0,4,0,2,4,0,0,0,262,2,4,5,0,0,0,8,0,0,2,0,0,0,6,0,0,12,0,0,2,0
80,4470,0,0,0,614,2,4,0,2,0,236,0,0,0,2,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,418,6,2,4,0,6,0,14,0,2,2,0,0,0,0,0,0,6,0,0,0,0
85,4604,0,0,0,520,0,0,0,2,0,180,0,0,0,0,14,0,0,2,2,0,0,0,0,0,0,0,10,0,2,2,0,0,2,283,4,4,3,0,2,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,2
90,4738,0,2,0,630,0,2,0,4,0,200,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,388,10,4,6,0,0,0,16,2,0,0,0,0,0,2,0,0,10,0,0,0,0
95,4872,0,0,2,512,0,0,0,2,0,144,0,2,0,4,6,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,308,2,0,6,0,6,0,16,4,2,0,0,0,0,2,0,0,14,0,2,0,2
100,5006,0,0,0,674,4,2,0,6,2,184,0,0,0,10,6,0,0,2,4,2,0,0,0,0,0,0,2,10,0,0,0,0,0,416,10,2,3,0,2,0,8,0,2,0,0,0,0,4,0,0,12,0,0,0,0
105,5140,0,0,0,706,0,0,0,2,0,226,0,0,0,4,6,0,0,8,2,0,2,0,0,0,0,2,2,4,2,2,2,0,2,387,8,8,7,0,6,0,20,0,0,2,0,0,0,0,0,0,10,0,0,0,0
110,5274,0,0,0,804,0,2,0,6,0,290,0,0,0,0,12,0,0,0,4,0,2,0,0,0,0,0,4,10,2,2,0,0,0,547,10,6,11,0,12,0,12,0,0,0,0,0,0,0,0,0,14,0,0,0,2
120,5542,0,0,4,614,0,2,0,4,0,240,2,0,0,2,6,0,0,0,4,0,2,0,0,0,0,0,0,12,0,0,2,2,0,447,2,2,6,0,4,0,12,0,0,2,0,0,0,0,0,0,8,0,0,2,0
125,5676,0,0,0,392,2,4,0,10,0,252,0,0,2,6,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,426,8,2,5,0,8,2,6,0,0,0,0,0,0,0,0,0,6,0,0,2,0
130,5790,2,0,0,398,0,0,0,8,0,278,0,0,0,0,8,0,0,0,6,0,0,0,0,2,0,0,4,0,2,6,0,0,0,285,2,4,3,0,4,0,12,2,0,0,0,0,2,0,0,0,12,0,0,0,0
135,5903,0,0,0,852,0,0,0,6,0,354,0,0,0,4,4,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,422,2,0,2,0,2,0,6,2,0,0,0,0,0,2,0,0,4,0,0,0,0
140,6017,2,0,4,578,0,4,0,2,0,102,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,6,2,0,2,0,0,2,284,6,0,6,0,0,0,2,0,4,2,0,0,0,2,0,0,6,0,0,0,0
145,6131,0,0,0,930,2,0,0,2,0,130,0,0,0,14,12,0,0,0,6,0,0,0,0,0,0,0,6,6,2,0,0,0,2,576,4,0,4,0,6,0,16,0,2,0,0,0,2,6,0,6,12,0,0,2,0
150,6245,0,0,0,550,0,2,0,4,0,86,0,0,0,14,16,0,0,0,6,0,0,0,0,0,0,0,14,4,2,0,0,2,2,340,6,4,0,0,6,0,6,6,0,0,0,0,2,4,0,0,2,0,0,0,0
155,6359,0,0,2,888,4,2,0,4,0,210,0,0,0,30,10,0,0,2,4,2,2,0,0,0,0,0,42,6,2,0,0,0,0,452,8,2,1,0,6,0,24,10,6,0,0,0,0,4,0,2,16,0,0,0,0
160,NA,0,0,2,472,0,2,0,4,0,220,0,0,0,52,26,0,0,2,12,0,0,0,0,2,0,0,22,8,0,0,4,2,2,159,6,2,9,0,20,0,26,8,4,0,0,0,0,12,0,0,18,0,0,0,0
165,NA,0,0,0,284,12,20,2,26,2,340,0,0,0,114,62,0,0,4,34,2,2,0,0,0,2,0,46,20,18,0,0,0,0,293,12,6,18,0,38,0,30,14,6,6,2,2,0,26,0,4,80,4,0,0,0
170,NA,0,0,0,204,18,18,0,28,8,210,0,0,0,46,114,0,2,0,28,0,6,0,6,0,0,0,4,68,2,0,0,0,2,279,20,8,45,0,22,0,52,2,4,2,0,0,0,44,2,0,184,0,0,4,0
172.5,NA,0,0,0,230,12,16,0,42,2,764,0,0,0,22,120,0,0,2,24,0,0,2,0,2,0,0,10,70,14,0,0,0,6,292,16,8,39,2,20,0,36,2,2,6,0,2,0,38,0,4,184,0,0,4,0
