"sample.depths","sample.ages","Artemisia","Betula","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Larix","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Alnus.incana","Ambrosia","Fabaceae","Alnus.viridis","Myrica","Populus","Amaranthaceae","Poaceae","Epilobium","Fagus","Salix","Tsuga","Fraxinus","Ostrya","Rosaceae.undiff.","Ranunculaceae.undiff.","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Acer","Rubus.chamaemorus","Thalictrum","Abies","Rumex","Polygonum.viviparum","Plantago","Platanus","Brassicaceae","Rubiaceae","Carya","Caryophyllaceae","Castanea","Juglans"
0,56,0.00469483568075117,0.108920187793427,0,0.00657276995305164,0.00845070422535211,0.0103286384976526,0.000938967136150235,0.569014084507042,0.0384976525821596,0.00469483568075117,0.031924882629108,0.000938967136150235,0.0112676056338028,0.0131455399061033,0,0.171830985915493,0.00563380281690141,0.000938967136150235,0.00187793427230047,0.00751173708920188,0,0,0.000938967136150235,0,0,0.000938967136150235,0,0,0.000938967136150235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,198,0.00455235204855842,0.121396054628225,0.00303490136570561,0.00303490136570561,0.00606980273141123,0.00910470409711684,0.00606980273141123,0.511380880121396,0.0455235204855842,0.00455235204855842,0.0197268588770865,0.00303490136570561,0.00303490136570561,0.00151745068285281,0,0.241274658573596,0.00303490136570561,0,0.00303490136570561,0.00455235204855842,0,0,0.00151745068285281,0,0,0.00151745068285281,0,0,0.00151745068285281,0.00151745068285281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,336,0.00441176470588235,0.0985294117647059,0,0.00588235294117647,0.00441176470588235,0.00588235294117647,0.00735294117647059,0.645588235294118,0.0279411764705882,0.00147058823529412,0.0102941176470588,0,0.00294117647058824,0.00147058823529412,0,0.170588235294118,0.00147058823529412,0,0.00147058823529412,0.00588235294117647,0,0,0.00147058823529412,0,0,0.00147058823529412,0,0,0.00147058823529412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,470,0.00428571428571429,0.122857142857143,0,0.00142857142857143,0.00428571428571429,0.00571428571428571,0.00857142857142857,0.6,0.0457142857142857,0.00428571428571429,0.01,0,0.00857142857142857,0.00428571428571429,0,0.154285714285714,0.00714285714285714,0,0.00285714285714286,0.00571428571428571,0,0,0,0,0.00142857142857143,0.00142857142857143,0,0,0.00142857142857143,0.00285714285714286,0,0,0,0,0.00285714285714286,0,0,0,0,0,0,0,0,0,0
8,601,0.00391389432485323,0.105675146771037,0.00195694716242661,0.0117416829745597,0.00195694716242661,0.00391389432485323,0.00587084148727984,0.632093933463796,0.0234833659491194,0.00391389432485323,0.00978473581213307,0,0.0136986301369863,0.00195694716242661,0,0.166340508806262,0.00195694716242661,0,0,0.00587084148727984,0,0,0.00195694716242661,0,0,0,0,0,0,0,0,0,0,0,0.00195694716242661,0,0,0,0,0.00195694716242661,0,0,0,0,0
10,729,0.00609756097560976,0.121951219512195,0.00152439024390244,0.00304878048780488,0.0076219512195122,0.0076219512195122,0.0121951219512195,0.605182926829268,0.0182926829268293,0.00304878048780488,0.0076219512195122,0,0.0121951219512195,0.00609756097560976,0,0.17530487804878,0.00152439024390244,0,0,0.00457317073170732,0.00152439024390244,0,0.00152439024390244,0,0,0.00152439024390244,0,0,0.00152439024390244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,853,0.00451127819548872,0.0962406015037594,0,0.00300751879699248,0.0165413533834586,0.00601503759398496,0.00601503759398496,0.584962406015038,0.0360902255639098,0.00300751879699248,0.0075187969924812,0,0.0105263157894737,0.00300751879699248,0,0.198496240601504,0.00601503759398496,0,0.00300751879699248,0.0075187969924812,0,0,0,0.00150375939849624,0.00150375939849624,0,0.00150375939849624,0,0,0.00150375939849624,0,0.00150375939849624,0,0,0,0,0,0,0,0,0,0,0,0,0
14,975,0.00483091787439614,0.101449275362319,0,0.00322061191626409,0.00966183574879227,0.00805152979066022,0.00805152979066022,0.594202898550725,0.0144927536231884,0.00966183574879227,0.0209339774557166,0.00644122383252818,0.00644122383252818,0.00483091787439614,0,0.191626409017713,0.00322061191626409,0,0,0.00644122383252818,0.00161030595813205,0,0.00322061191626409,0,0,0.00161030595813205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1093,0.00706713780918728,0.148409893992933,0.00176678445229682,0.00353356890459364,0.0088339222614841,0.0123674911660777,0.00706713780918728,0.45583038869258,0.0212014134275618,0.00176678445229682,0.0106007067137809,0,0.0229681978798587,0.00530035335689046,0,0.270318021201413,0,0,0.00353356890459364,0.0106007067137809,0,0.00176678445229682,0.00176678445229682,0,0.00176678445229682,0,0,0,0.00176678445229682,0,0,0,0,0,0.00176678445229682,0,0,0,0,0,0,0,0,0,0
18,1207,0.00822368421052632,0.115131578947368,0,0.00164473684210526,0.00164473684210526,0.00657894736842105,0.00493421052631579,0.554276315789474,0.0197368421052632,0,0.0148026315789474,0.00164473684210526,0.03125,0.00328947368421053,0,0.208881578947368,0.00328947368421053,0,0.00164473684210526,0.0148026315789474,0,0,0,0,0.00164473684210526,0.00164473684210526,0,0,0.00328947368421053,0,0,0,0,0,0.00164473684210526,0,0,0,0,0,0,0,0,0,0
