"depth","best.age","min.age","max.age"
0,7,-59,77
6,651,538,780
10,1081,916,1287
14,1510,1290,1799
20,2154,1844,2568
24,2324,2017,2728
30,2449,2175,2795
34,2533,2273,2842
40,2658,2413,2925
46,2784,2550,3030
50,2867,2632,3107
56,2993,2739,3239
60,3076,2799,3331
64,3160,2857,3432
70,3645,3384,3884
76,4202,3980,4414
80,4573,4363,4782
84,4944,4732,5159
90,5501,5261,5742
94,5873,5595,6143
100,6083,5830,6336
104,6177,5942,6414
110,6319,6094,6540
114,6413,6188,6633
120,6554,6324,6787
124,6649,6405,6895
130,6790,6515,7061
136,6931,6617,7236
140,NA,NA,NA
144,NA,NA,NA
