"sample.depths","sample.ages","Abies","Acer","Alnus.incana","Alnus.viridis","Amaranthaceae","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brassicaceae","Caryophyllaceae","Cornus.canadensis","Corylus","Cupressaceae","Cyperaceae","Diphasiastrum.complanatum","Epilobium","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus","Huperzia.lucidula","Huperzia.selago","Isoëtes","Larix","Lycopodiaceae.undiff.","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Myrica","Nuphar","Ostrya","Oxyria.digyna","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Polypodiaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Rosaceae.undiff.","Rubiaceae","Rubus.chamaemorus","Rumex","Salix","Saxifragaceae","Selaginella","Sparganium","Sphagnum","Thalictrum","Tsuga","Typha","Ulmus","Unknown"
0,7,0,0,2,53,4,4,4,2,246,0,0,0,1,2,64,0,0,0,30,0,0,0,0,0,0,0,6,6,1,7,0,0,0,0,98.5,9,1,7.5,0,0,13,6,0,2,1,0,0,0,0,0,3,0,0,0,31,0,0,0,0,2
6,651,0,0,2,59,1,5,15,11,201,0,0,0,0,1,79,0,0,0,32,0,0,0,0,0,0,0,30,11,3,5,0,0,0,1,132.5,2,0,0.5,1,0,12,14,0,2,0,0,0,0,0,0,10,0,1,0,37,0,1,0,0,1
10,1081,0,0,2,62,1,3,16,7,196,0,0,0,0,2,55,0,0,1,32,1,0,1,0,0,2,0,19,12,3,7,0,0,0,0,142,11,0,0.5,0,0,10,11,0,0,0,0,0,0,0,0,7,0,1,0,41,0,0,0,1,3
14,1510,0,0,2,73,0,6,8,5,221,0,0,0,0,3,55,1,0,0,30,0,0,0,0,0,0,0,12,9,1,6,1,0,0,0,149,3,0,0.5,2,0,8,9,0,0,0,1,0,0,0,0,3,0,1,0,27,1,2,0,0,0
20,2154,0,0,3,76,2,1,8,5,197,0,0,0,1,8,39,1,0,0,25,0,0,0,0,1,0,0,13,2,1,6,0,0,0,0,172,13,1,3.5,0,0,8,9,0,1,0,0,0,0,0,0,4,0,0,0,36,0,0,0,0,2
24,2324,0,0,4,62,0,5,10,5,201,0,0,0,0,4,50,1,1,0,30,0,0,0,0,0,0,1,21,5,2,6,0,0,2,0,272,7,0,2,1,0,5,8,0,0,0,0,1,0,2,0,4,0,1,0,30,1,0,0,0,4
30,2449,0,0,3,56,0,2,10,5,230,0,0,0,0,4,35,0,0,0,34,0,0,0,0,0,0,0,20,7,0,6,0,0,0,0,223.5,9,0,2.5,0,0,12,7,1,1,0,0,0,0,0,0,1,0,0,0,24,0,0,0,1,3
34,2533,0,0,3,74,0,0,5,4,183,0,0,0,0,4,28,1,0,0,22,0,0,0,0,0,0,0,14,2,0,3,0,0,0,0,157,6,0,0.5,0,0,4,1,0,1,0,1,0,0,0,0,2,0,0,0,33,0,0,0,0,1
40,2658,0,0,6,106,1,2,13,4,278,0,0,1,0,5,41,0,0,0,31,0,0,0,1,0,1,0,15,9,2,8,0,1,1,0,175,11,0,5,0,0,8,8,0,2,0,1,0,0,0,0,9,0,0,0,44,0,0,0,1,3
46,2784,0,1,2,62,2,0,8,1,229,0,0,0,0,5,35,1,0,0,14,0,0,0,0,0,0,0,11,7,1,4,0,0,0,0,223,8,2,0.5,3,0,5,4,0,0,0,0,0,0,1,0,4,0,0,0,22,1,0,0,0,1
