"sample.depths","sample.ages","Artemisia","Betula","Caryophyllaceae","Cupressaceae","Cyperaceae","Ericaceae","Picea","Pinus.subg..Pinus","Pinus.undiff.","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Alnus.incana","Ambrosia","Alnus.viridis","Ostrya.type","Amaranthaceae","Poaceae","Rosaceae","Epilobium","Larix","Ranunculaceae.undiff.","Fraxinus","Plantago","Fagus","Pinus.subg..Strobus","Ulmus","Castanea","Thalictrum"
0,74,0.0097442143727162,0.431181485992692,0.00243605359317905,0.00243605359317905,0.109622411693057,0.0438489646772229,0.196102314250914,0.0048721071863581,0.00243605359317905,0.00243605359317905,0.00730816077953715,0.00730816077953715,0.00243605359317905,0.0170523751522534,0.121802679658953,0.00243605359317905,0.00730816077953715,0.0267965895249695,0.00243605359317905,0,0,0,0,0,0,0,0,0,0
2.5,210,0.0234833659491194,0.385518590998043,0,0.00782778864970646,0.12720156555773,0.0587084148727984,0.216242661448141,0.00782778864970646,0.00489236790606654,0,0.00782778864970646,0.00587084148727984,0,0.0136986301369863,0.12720156555773,0,0.00195694716242661,0.0117416829745597,0,0,0,0,0,0,0,0,0,0,0
5.5,373,0.0178394449950446,0.42418235877106,0,0.0118929633300297,0.202180376610505,0.0654112983151635,0.141724479682854,0.00792864222001982,0.00396432111000991,0,0.0118929633300297,0.00594648166501487,0.00198216055500496,0.00792864222001982,0.0673934588701685,0,0,0.0218037661050545,0,0.00198216055500496,0.00198216055500496,0.00396432111000991,0,0,0,0,0,0,0
10,619,0.0163785259326661,0.400363967242948,0,0.00181983621474067,0.121929026387625,0.105550500454959,0.206551410373066,0.0454959053685168,0.00909918107370337,0,0.0072793448589627,0.00181983621474067,0.00181983621474067,0,0.0673339399454049,0,0,0.0127388535031847,0,0,0,0,0.00181983621474067,0,0,0,0,0,0
15.5,918,0.0134744947064485,0.375360923965351,0,0.0173243503368624,0.157844080846968,0.0673724735322425,0.185755534167469,0.0134744947064485,0.00384985563041386,0.00192492781520693,0.0173243503368624,0.0115495668912416,0,0,0.117420596727623,0,0.00192492781520693,0.00962463907603465,0,0.00192492781520693,0,0.00192492781520693,0,0.00192492781520693,0,0,0,0,0
20,1164,0.0176297747306562,0.374142997061704,0,0,0.111655239960823,0.058765915768854,0.243878550440744,0.0666013712047013,0.00783545543584721,0,0.00783545543584721,0.0019588638589618,0,0.0039177277179236,0.0842311459353575,0,0,0.019588638589618,0,0,0.0019588638589618,0,0,0,0,0,0,0,0
25,1436,0.00767754318618042,0.355086372360845,0,0.0134357005758157,0.165067178502879,0.0748560460652591,0.212092130518234,0.017274472168906,0.00671785028790787,0,0.0211132437619962,0.00575815738963532,0,0.00191938579654511,0.105566218809981,0,0.00191938579654511,0.0115163147792706,0,0,0,0,0,0,0,0,0,0,0
29.5,1681,0.0127287191726333,0.35799522673031,0,0.00318217979315831,0.103420843277645,0.0652346857597454,0.235481304693715,0.0525059665871122,0.00556881463802705,0.00159108989657916,0.0127287191726333,0.00477326968973747,0,0.00318217979315831,0.120922832140016,0,0.00159108989657916,0.0111376292760541,0,0,0,0,0,0,0.00159108989657916,0.00477326968973747,0.00159108989657916,0,0
40,2254,0.01561144839549,0.383347788378144,0,0.01040763226366,0.123156981786644,0.0503035559410234,0.21856027753686,0.0364267129228101,0.00607111882046834,0,0.00693842150910668,0.00173460537727667,0,0.00173460537727667,0.11968777103209,0,0.00693842150910668,0.01561144839549,0,0,0,0,0,0,0,0.00173460537727667,0.00173460537727667,0,0
50,2799,0.0099502487562189,0.376451077943615,0,0.0116086235489221,0.0895522388059701,0.0630182421227197,0.220563847429519,0.0364842454394693,0.00497512437810945,0,0.0066334991708126,0,0,0.00829187396351575,0.15257048092869,0,0.00165837479270315,0.0132669983416252,0,0,0,0,0,0.00165837479270315,0,0.0033167495854063,0,0,0
60,3344,0.00931098696461825,0.340782122905028,0,0,0.108007448789572,0.0502793296089385,0.307262569832402,0.00558659217877095,0.00186219739292365,0,0.00931098696461825,0.0037243947858473,0,0.0037243947858473,0.148975791433892,0,0.00186219739292365,0.00558659217877095,0,0,0.00186219739292365,0,0,0,0.00186219739292365,0,0,0,0
70,3889,0.0225140712945591,0.328330206378987,0,0.00187617260787992,0.110694183864916,0.0562851782363977,0.203564727954972,0.0600375234521576,0.000938086303939962,0,0.00562851782363977,0.00187617260787992,0.00375234521575985,0.0075046904315197,0.168855534709193,0,0.00187617260787992,0.024390243902439,0,0,0,0,0.00187617260787992,0,0,0,0,0,0
80,4434,0.0107430617726052,0.29006266786034,0,0.0053715308863026,0.127126230975828,0.0393912264995524,0.287376902417189,0.0035810205908684,0.0017905102954342,0,0.0053715308863026,0.0035810205908684,0.0017905102954342,0.0053715308863026,0.207699194270367,0,0.0035810205908684,0.0035810205908684,0,0,0.0017905102954342,0,0,0,0,0.0017905102954342,0,0,0
90,4979,0.0158450704225352,0.315140845070423,0,0.0140845070422535,0.0915492957746479,0.0598591549295775,0.154049295774648,0.022887323943662,0.00440140845070423,0.00528169014084507,0.0193661971830986,0,0.00352112676056338,0,0.269366197183099,0,0.00352112676056338,0.0105633802816901,0,0,0.00352112676056338,0,0,0,0,0.00176056338028169,0.00176056338028169,0.00176056338028169,0.00176056338028169
100,5524,0.0258192651439921,0.357497517378352,0,0.00198609731876862,0.119165839126117,0.0278053624627607,0.164846077457795,0.0099304865938431,0.00695134061569017,0,0.0099304865938431,0.00198609731876862,0,0.00198609731876862,0.240317775571003,0,0.00794438927507448,0.015888778550149,0,0.00198609731876862,0.00595829195630586,0,0,0,0,0,0,0,0
105,5796,0.0150801131008483,0.361922714420358,0,0.00942507068803016,0.0810556079170594,0.0414703110273327,0.15928369462771,0.0131950989632422,0.00754005655042413,0.00188501413760603,0.0245051837888784,0,0,0.00754005655042413,0.258246936852026,0,0.00188501413760603,0.0150801131008483,0,0,0,0,0,0,0,0.00188501413760603,0,0,0
110,NA,0.0223880597014925,0.274253731343284,0,0.00932835820895522,0.145522388059701,0.0167910447761194,0.183768656716418,0.041044776119403,0.019589552238806,0,0.0261194029850746,0.00186567164179104,0,0,0.227611940298507,0,0.0149253731343284,0.0167910447761194,0,0,0,0,0,0,0,0,0,0,0
115,NA,0.0226283724978242,0.156657963446475,0,0.0121845082680592,0.328981723237598,0.00522193211488251,0.253263707571802,0.00870322019147084,0.00522193211488251,0,0.0365535248041775,0.00174064403829417,0,0.010443864229765,0.14621409921671,0,0.00348128807658834,0.00522193211488251,0,0,0.00348128807658834,0,0,0,0,0,0,0,0
