"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Caryophyllaceae","Cupressaceae","Cyperaceae","Ericaceae","Picea","Pinus.subg..Pinus","Pinus.undiff.","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Alnus.incana","Ambrosia","Alnus.viridis","Ostrya.type","Amaranthaceae","Poaceae","Rosaceae","Epilobium","Larix","Ranunculaceae.undiff.","Fraxinus","Plantago","Fagus","Pinus.subg..Strobus","Ulmus","Castanea","Thalictrum"
0,74,410.5,4,177,1,1,45,18,80.5,2,1,1,3,3,1,7,50,1,3,11,1,0,0,0,0,0,0,0,0,0,0
2.5,210,511,12,197,0,4,65,30,110.5,4,2.5,0,4,3,0,7,65,0,1,6,0,0,0,0,0,0,0,0,0,0,0
5.5,373,504.5,9,214,0,6,102,33,71.5,4,2,0,6,3,1,4,34,0,0,11,0,1,1,2,0,0,0,0,0,0,0
10,619,549.5,9,220,0,1,67,58,113.5,25,5,0,4,1,1,0,37,0,0,7,0,0,0,0,1,0,0,0,0,0,0
15.5,918,519.5,7,195,0,9,82,35,96.5,7,2,1,9,6,0,0,61,0,1,5,0,1,0,1,0,1,0,0,0,0,0
20,1164,510.5,9,191,0,0,57,30,124.5,34,4,0,4,1,0,2,43,0,0,10,0,0,1,0,0,0,0,0,0,0,0
25,1436,521,4,185,0,7,86,39,110.5,9,3.5,0,11,3,0,1,55,0,1,6,0,0,0,0,0,0,0,0,0,0,0
29.5,1681,628.5,8,225,0,2,65,41,148,33,3.5,1,8,3,0,2,76,0,1,7,0,0,0,0,0,0,1,3,1,0,0
40,2254,576.5,9,221,0,6,71,29,126,21,3.5,0,4,1,0,1,69,0,4,9,0,0,0,0,0,0,0,1,1,0,0
50,2799,603,6,227,0,7,54,38,133,22,3,0,4,0,0,5,92,0,1,8,0,0,0,0,0,1,0,2,0,0,0
60,3344,537,5,183,0,0,58,27,165,3,1,0,5,2,0,2,80,0,1,3,0,0,1,0,0,0,1,0,0,0,0
70,3889,533,12,175,0,1,59,30,108.5,32,0.5,0,3,1,2,4,90,0,1,13,0,0,0,0,1,0,0,0,0,0,0
80,4434,558.5,6,162,0,3,71,22,160.5,2,1,0,3,2,1,3,116,0,2,2,0,0,1,0,0,0,0,1,0,0,0
90,4979,568,9,179,0,8,52,34,87.5,13,2.5,3,11,0,2,0,153,0,2,6,0,0,2,0,0,0,0,1,1,1,1
100,5524,503.5,13,180,0,1,60,14,83,5,3.5,0,5,1,0,1,121,0,4,8,0,1,3,0,0,0,0,0,0,0,0
105,5796,530.5,8,192,0,5,43,22,84.5,7,4,1,13,0,0,4,137,0,1,8,0,0,0,0,0,0,0,1,0,0,0
110,NA,536,12,147,0,5,78,9,98.5,22,10.5,0,14,1,0,0,122,0,8,9,0,0,0,0,0,0,0,0,0,0,0
115,NA,574.5,13,90,0,7,189,3,145.5,5,3,0,21,1,0,6,84,0,2,3,0,0,2,0,0,0,0,0,0,0,0
