"sample.depths","sample.ages","Ambrosia.type","Betula","Carya","Pinaceae.undiff.","Cyperaceae","Fagus","Poaceae.undiff.","Liquidambar","Nyssa","Ostrya.Carpinus","Pinus.subg..Pinus","Quercus","Combretaceae.Melastomataceae","Rhus","Rumex","Salix","Taxodium","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Fraxinus","Myrica","Populus","Amaranthaceae","Iva.frutescens.type","Secale.type","Cupressaceae.undiff.","Polygonella.polygama.type","Polygonum.amphibium.type","Acer.saccharum.type","Ceanothus","Celtis","Cephalanthus","Platanus","Symplocos","Vitis","Alnus","cf..Menyanthes.trifoliata","Apiaceae.undiff.","Ilex","Magnolia","Moraceae","Sambucus","Thalictrum","Iva.xanthifolia","Castanea","Cyrilla.racemiflora","Tilia","Rosaceae","Pinus.undiff.","Onagraceae","Juglans.nigra","Serenoa","Clethra","Ranunculus","Chamaecrista","Planera.aquatica","Acer.negundo","Artemisia","Pinus.subg..Strobus","Rhamnaceae.undiff.","Caryophyllaceae","Liliaceae","Fabaceae","Lechea","Rutaceae","Geranium"
480,2,0.0142857142857143,0.0025974025974026,0.00909090909090909,0.0012987012987013,0.0194805194805195,0.0012987012987013,0.0220779220779221,0.0168831168831169,0.0103896103896104,0.00519480519480519,0.579220779220779,0.219480519480519,0.0025974025974026,0.0012987012987013,0.0025974025974026,0.0012987012987013,0.00779220779220779,0.038961038961039,0.0025974025974026,0.0012987012987013,0.0272727272727273,0.0025974025974026,0.0012987012987013,0.0012987012987013,0.0012987012987013,0.0025974025974026,0.0025974025974026,0.0012987012987013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496,43,0.00896860986547085,0.00224215246636771,0.0123318385650224,0,0.015695067264574,0.00336322869955157,0.0201793721973094,0,0.00224215246636771,0,0.70627802690583,0.159192825112108,0.00224215246636771,0,0.00224215246636771,0,0.0112107623318386,0.0190582959641256,0,0.00112107623318386,0.0112107623318386,0,0.00224215246636771,0,0,0.00560538116591928,0,0,0.00112107623318386,0.00112107623318386,0.00336322869955157,0.00112107623318386,0.00112107623318386,0.00112107623318386,0.00224215246636771,0.00112107623318386,0.00112107623318386,0.00112107623318386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
512,84,0.0144736842105263,0.00131578947368421,0.00394736842105263,0,0.0157894736842105,0.00131578947368421,0.0328947368421053,0.00789473684210526,0.00394736842105263,0.00394736842105263,0.667105263157895,0.111842105263158,0.00131578947368421,0.00394736842105263,0.00131578947368421,0.00394736842105263,0.0289473684210526,0.0328947368421053,0.00263157894736842,0.00263157894736842,0.00394736842105263,0.00131578947368421,0.00657894736842105,0.00131578947368421,0.00131578947368421,0.0131578947368421,0.00394736842105263,0,0,0.00131578947368421,0.00131578947368421,0.00131578947368421,0,0,0.00394736842105263,0.00526315789473684,0.00131578947368421,0.00263157894736842,0.00131578947368421,0.00263157894736842,0.00131578947368421,0.00131578947368421,0.00131578947368421,0.00131578947368421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528,389,0,0.00219298245614035,0.0153508771929825,0,0.0109649122807018,0,0.0197368421052632,0.0109649122807018,0.0043859649122807,0.0087719298245614,0.703947368421053,0.142543859649123,0.00219298245614035,0.00219298245614035,0,0.00219298245614035,0.0241228070175439,0.0153508771929825,0.0043859649122807,0.00219298245614035,0.00219298245614035,0,0,0,0,0.0175438596491228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00219298245614035,0.00219298245614035,0.00219298245614035,0.00219298245614035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
558,1454,0,0.00314465408805031,0.0125786163522013,0,0.0188679245283019,0.00314465408805031,0.0251572327044025,0.00943396226415094,0,0.00628930817610063,0.688679245283019,0.169811320754717,0,0.00314465408805031,0,0.00628930817610063,0.0125786163522013,0.0220125786163522,0,0,0.0157232704402516,0,0,0,0,0.00314465408805031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
574,2022,0,0,0.0234375,0,0.01171875,0.00390625,0.02734375,0.01171875,0.0078125,0.013671875,0.654296875,0.150390625,0,0,0,0,0.056640625,0.017578125,0.00390625,0.00390625,0.0078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001953125,0,0,0,0,0,0,0,0,0,0,0,0,0.001953125,0.001953125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590,2590,0,0,0.0101867572156197,0,0.0305602716468591,0,0.100169779286927,0.00848896434634975,0.0067911714770798,0.00509337860780985,0.631578947368421,0.142614601018676,0,0,0,0,0.00509337860780985,0.0305602716468591,0.0033955857385399,0,0.00848896434634975,0,0.00169779286926995,0.00169779286926995,0,0.0033955857385399,0.00169779286926995,0.00169779286926995,0,0,0,0,0,0,0.00169779286926995,0.0033955857385399,0,0,0,0,0,0,0,0.00169779286926995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
606,3158,0.0131926121372032,0.00131926121372032,0.0184696569920844,0,0.0277044854881266,0,0.108179419525066,0.00659630606860158,0,0.00263852242744063,0.573878627968338,0.179419525065963,0,0,0,0,0.00263852242744063,0.0488126649076517,0.00263852242744063,0.00395778364116095,0.00131926121372032,0,0.00395778364116095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00263852242744063,0,0,0,0,0,0,0,0,0,0,0,0,0.00131926121372032,0.00131926121372032,0,0,0,0,0,0,0,0,0,0,0,0,0,0
622,3726,0,0.0037593984962406,0.0093984962406015,0,0.0469924812030075,0,0.120300751879699,0.0075187969924812,0.0056390977443609,0.0037593984962406,0.285714285714286,0.180451127819549,0,0.0037593984962406,0,0,0.0056390977443609,0.0394736842105263,0.0018796992481203,0.0018796992481203,0.0018796992481203,0,0.0018796992481203,0.0018796992481203,0,0,0.0018796992481203,0,0,0,0,0,0,0,0.0018796992481203,0,0,0.0112781954887218,0,0,0,0,0.0018796992481203,0,0,0,0,0,0.255639097744361,0,0,0,0.0037593984962406,0.0018796992481203,0,0,0,0,0,0,0,0,0,0,0,0
650,4720,0.00306748466257669,0.00306748466257669,0.00920245398773006,0,0.0184049079754601,0,0.0920245398773006,0.00306748466257669,0.00613496932515337,0.00613496932515337,0.592024539877301,0.165644171779141,0.00306748466257669,0,0,0.00306748466257669,0.00920245398773006,0.0368098159509202,0.00613496932515337,0.00306748466257669,0,0,0.00306748466257669,0.00306748466257669,0,0,0,0,0,0,0,0,0,0,0,0.0122699386503067,0,0.0153374233128834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00306748466257669,0.00306748466257669,0,0,0,0,0,0,0,0,0,0
666,5288,0.00501672240802676,0,0.020066889632107,0,0.0100334448160535,0,0.0635451505016722,0.00501672240802676,0.00501672240802676,0.00334448160535117,0.642140468227425,0.177257525083612,0,0,0,0.00167224080267559,0.00167224080267559,0.0250836120401338,0.00668896321070234,0.00334448160535117,0.00334448160535117,0.00167224080267559,0.00167224080267559,0.00167224080267559,0,0.00167224080267559,0,0.00167224080267559,0,0,0,0.00167224080267559,0,0,0,0,0.00167224080267559,0.00334448160535117,0,0,0,0,0,0,0.00501672240802676,0,0,0,0,0,0,0,0,0,0,0,0.00167224080267559,0.00334448160535117,0.00167224080267559,0,0,0,0,0,0,0
674,5572,0.00675675675675676,0,0.0157657657657658,0,0.027027027027027,0,0.0810810810810811,0.00675675675675676,0,0,0.605855855855856,0.155405405405405,0,0,0,0,0.00225225225225225,0.0540540540540541,0.0045045045045045,0.0045045045045045,0,0,0,0,0,0,0.00225225225225225,0,0,0,0,0,0.00225225225225225,0,0.00225225225225225,0,0,0.00225225225225225,0,0,0,0,0,0,0,0.00225225225225225,0,0,0,0,0,0.0045045045045045,0,0.00225225225225225,0.0157657657657658,0,0,0,0,0.00225225225225225,0,0,0,0,0,0
