"sample.depths","sample.ages","Acer.pensylvanicum","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Betula","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Larix","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Plantago.major","Populus.balsamifera.type","Populus.tremuloides.type","Quercus","Salix","Shepherdia.canadensis","Tilia","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Juniperus.type","Amaranthaceae","Abies.balsamea","Acer.saccharum","Carya.ovata","Pinus.banksiana.type","Pinus.strobus","Plantago.lanceolata.type","Rhamnus.alnifolia.R..frangula","Rumex.type","Tsuga.canadensis","Picea.undiff.","Juglans.cinerea","Taxus","Thalictrum","Rosaceae.undiff.","Caryophyllaceae","Picea.glauca.type","Fabaceae","Onagraceae","Acer.saccharinum","Nemopanthus.mucronatus","Juniperus.communis.Thuja.occidentalis.type","Artemisia","Myrica.gale","Ranunculaceae.undiff.","Zea.mays","Pinus.resinosa.type","Castanea.dentata","Corylus.cornuta","Rubiaceae","Acer.spicatum","Fraxinus.americana.type","Prunus.pensylvanica","Sambucus","Caprifoliaceae.undiff.","Brassicaceae","Viburnum.nudum","Viburnum.lentago","Impatiens","Cornus","cf..Oxyria.digyna"
0,0,0.00148367952522255,0.0029673590504451,0.0178041543026706,0.00148367952522255,0.14540059347181,0.265578635014837,0.0192878338278932,0.120178041543027,0.013353115727003,0.0029673590504451,0.00593471810089021,0.0415430267062315,0.0029673590504451,0.00148367952522255,0.00741839762611276,0.0103857566765579,0.0267062314540059,0.00148367952522255,0.0029673590504451,0.0207715133531157,0.029673590504451,0.0029673590504451,0.00148367952522255,0.00148367952522255,0.00445103857566766,0.00445103857566766,0.00593471810089021,0.00593471810089021,0.00741839762611276,0.0222551928783383,0.00148367952522255,0.0326409495548961,0.155786350148368,0.00148367952522255,0.00148367952522255,0.00148367952522255,0.00593471810089021,0.00148367952522255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,91,0,0.00656814449917898,0.00492610837438424,0,0.0180623973727422,0.351395730706076,0.00821018062397373,0.110016420361248,0.0197044334975369,0.00328407224958949,0.00164203612479475,0.0279146141215107,0.00164203612479475,0.0295566502463054,0,0.100164203612479,0.00656814449917898,0,0,0.00656814449917898,0.0279146141215107,0.00328407224958949,0,0.00164203612479475,0.101806239737274,0.00821018062397373,0.00164203612479475,0.00164203612479475,0.00492610837438424,0.0147783251231527,0,0.0640394088669951,0.0114942528735632,0,0,0.00164203612479475,0.0509031198686371,0.00164203612479475,0.00164203612479475,0.00164203612479475,0.00164203612479475,0.00328407224958949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,181,0.00184842883548983,0.0055452865064695,0.0203327171903882,0.00369685767097967,0.160813308687616,0.184842883548983,0.00739371534195933,0.195933456561922,0.00184842883548983,0.00369685767097967,0.00184842883548983,0.0314232902033272,0,0,0,0.0258780036968577,0.0388170055452865,0,0,0.0055452865064695,0.0258780036968577,0.00739371534195933,0,0,0.00739371534195933,0.011090573012939,0.0055452865064695,0.00739371534195933,0.00369685767097967,0.00184842883548983,0.00184842883548983,0.0573012939001848,0.133086876155268,0,0,0.0055452865064695,0.0129390018484288,0.00184842883548983,0.00184842883548983,0,0,0.0055452865064695,0.00739371534195933,0.00184842883548983,0.00184842883548983,0.00184842883548983,0.00184842883548983,0.00369685767097967,0.00184842883548983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,363,0,0.00170068027210884,0.0187074829931973,0.00850340136054422,0.0714285714285714,0.343537414965986,0.0136054421768707,0.0408163265306122,0.0136054421768707,0.0187074829931973,0.00170068027210884,0.064625850340136,0.00170068027210884,0,0.00170068027210884,0.0629251700680272,0.0527210884353742,0,0,0,0.0255102040816327,0.0102040816326531,0,0,0.00340136054421769,0.0119047619047619,0.00170068027210884,0,0.00850340136054422,0.00340136054421769,0,0.0391156462585034,0.096938775510204,0,0,0.032312925170068,0.022108843537415,0.00340136054421769,0.00340136054421769,0,0,0,0,0.00850340136054422,0,0,0.00170068027210884,0,0.00680272108843537,0.00340136054421769,0.00170068027210884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,453,0,0,0.00432900432900433,0.00216450216450216,0.0064935064935065,0.225108225108225,0.012987012987013,0.0346320346320346,0.051948051948052,0.0173160173160173,0.00216450216450216,0.038961038961039,0,0,0.00432900432900433,0.0670995670995671,0.0714285714285714,0,0,0.00216450216450216,0.0173160173160173,0,0,0.00216450216450216,0,0.0216450216450216,0,0,0.0238095238095238,0.012987012987013,0,0.0411255411255411,0.166666666666667,0,0,0.0108225108225108,0.090909090909091,0.0303030303030303,0,0,0,0,0,0.0108225108225108,0,0,0,0,0.00432900432900433,0.0064935064935065,0.00432900432900433,0.00216450216450216,0.00216450216450216,0.0108225108225108,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,544,0,0.00164473684210526,0.0164473684210526,0.00493421052631579,0.00657894736842105,0.277960526315789,0.00657894736842105,0.0493421052631579,0.0279605263157895,0.00986842105263158,0.00493421052631579,0.00328947368421053,0.00328947368421053,0,0,0.0394736842105263,0.120065789473684,0,0,0,0.0246710526315789,0.00328947368421053,0,0,0.00164473684210526,0.0148026315789474,0.00164473684210526,0,0.00986842105263158,0.00328947368421053,0.00164473684210526,0.0789473684210526,0.205592105263158,0,0,0,0.0493421052631579,0.0131578947368421,0,0,0,0,0,0.00822368421052632,0,0,0,0,0.00493421052631579,0.00328947368421053,0,0,0,0,0.00164473684210526,0.00164473684210526,0,0,0,0,0,0,0,0,0,0,0,0
40,725,0.00132450331125828,0.00264900662251656,0.00529801324503311,0.00529801324503311,0.00264900662251656,0.347019867549669,0.00264900662251656,0.0503311258278146,0.0913907284768212,0.023841059602649,0.00264900662251656,0.00132450331125828,0.00397350993377483,0,0.00397350993377483,0.0251655629139073,0.0437086092715232,0,0,0.00132450331125828,0.0291390728476821,0,0,0.00397350993377483,0,0.0145695364238411,0,0,0.00794701986754967,0.0198675496688742,0,0.0397350993377483,0.0887417218543046,0,0,0.00132450331125828,0.152317880794702,0.00927152317880795,0.00132450331125828,0,0,0,0.00132450331125828,0.00397350993377483,0,0,0,0,0.00132450331125828,0.00397350993377483,0,0,0,0,0,0.00662251655629139,0,0,0,0,0,0,0,0,0,0,0,0
50,1025,0,0.0113378684807256,0.0113378684807256,0.00453514739229025,0.00226757369614512,0.36734693877551,0.00226757369614512,0.0294784580498866,0.124716553287982,0.0113378684807256,0.00680272108843537,0.00226757369614512,0.00226757369614512,0,0.00453514739229025,0.0204081632653061,0.0430839002267574,0,0,0,0.0226757369614512,0,0,0.00226757369614512,0,0.018140589569161,0,0,0.00226757369614512,0.0294784580498866,0.00226757369614512,0.00680272108843537,0.090702947845805,0,0.00226757369614512,0,0.154195011337868,0.0090702947845805,0,0,0,0,0,0.00226757369614512,0,0,0,0,0,0,0.00226757369614512,0,0,0.00453514739229025,0.00226757369614512,0,0.00453514739229025,0,0,0,0,0,0,0,0,0,0,0
60,1443,0.00183150183150183,0,0.00915750915750916,0.00366300366300366,0.00366300366300366,0.307692307692308,0.0128205128205128,0.0293040293040293,0.097069597069597,0.0256410256410256,0.00549450549450549,0,0.00183150183150183,0,0.00366300366300366,0.0201465201465201,0.0622710622710623,0,0,0,0.0293040293040293,0,0,0.00732600732600733,0,0.0146520146520147,0.00183150183150183,0.00183150183150183,0.00366300366300366,0.0256410256410256,0.00183150183150183,0.0457875457875458,0.10989010989011,0,0,0,0.15018315018315,0.00549450549450549,0.00183150183150183,0,0,0,0,0.00366300366300366,0,0,0.00183150183150183,0,0,0.00183150183150183,0,0,0,0,0.00183150183150183,0.00183150183150183,0.00366300366300366,0.00183150183150183,0,0,0,0,0,0,0,0,0,0
70,1861,0,0,0.0145833333333333,0,0.00416666666666667,0.308333333333333,0.00625,0.025,0.108333333333333,0.0229166666666667,0.00833333333333333,0.00208333333333333,0.00416666666666667,0,0,0.0291666666666667,0.0395833333333333,0,0,0.00208333333333333,0.03125,0,0,0,0,0.0104166666666667,0,0,0.0125,0.01875,0.00208333333333333,0.00833333333333333,0.158333333333333,0,0,0,0.177083333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00416666666666667,0,0,0,0,0.00208333333333333,0,0,0,0,0,0,0,0,0
