"depth","best.age","min.age","max.age"
1282,23,-12,57
1300,332,276,398
1320,696,601,795
1340,1071,950,1191
1350,1259,1126,1384
1355,1352,1215,1481
1360,1445,1303,1576
1365,1538,1391,1671
1370,1629,1440,1764
1380,1809,1617,1950
1400,2155,1993,2307
1420,2490,2323,2651
1440,2823,2647,2995
1460,3166,2980,3347
1480,3529,3337,3710
1500,3922,3731,4095
1520,4356,4176,4514
1540,4840,4670,4989
1560,5380,5225,5537
1570,5674,5525,5838
1580,5984,5842,6155
1590,6311,6169,6491
1600,6656,6494,6849
1610,7011,6824,7225
1620,7369,7150,7610
1628,7651,7408,7925
1640,8055,7778,8389
1650,8366,8066,8741
1660,8642,8328,9041
1670,8883,8573,9297
1680,9103,8783,9516
1700,9516,9115,9945
1720,9955,9471,10470
1740,10491,9980,11046
1760,11172,10735,11662
1774,11714,11333,12130
1790,12368,11865,12617
