"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Amorpha.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brasenia.schreberi","Brassicaceae","Campanulaceae","Cannabaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cornus","Corylus","Cupressaceae","Cyperaceae","Dalea","Dryopteris.type","Ephedra","Equisetum","Euphorbia","Fagus","Fraxinus","Indeterminable","Iva.annua.type","Juglans.cinerea","Juglans.nigra","Larix","Lycopodiaceae.undiff.","Lycopodium.clavatum","Lycopodium.obscurum","Morus","Myrica","Myriophyllum","Nuphar","Ostrya.Carpinus","Parthenocissus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Poaceae","Populus.tremuloides.type","Potamogetonaceae","Pteridium.type","Quercus","Rosaceae","Sagittaria","Salix","Salsola","Sarcobatus.vermiculatus","Shepherdia.argentea","Sparganium.type","Sphagnum","Thalictrum","Tidestromia.type","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Unknown..trilete.","Urtica.type","Utricularia","Vitis"
1282,23,1,0,0,0,1,28,3,34,0,0,13,1,0,58,0,0,0,2,0,0,0,0,0,4,18,25,0,0,0,0,0,0,5,5,1,1,0,3,0,0,0,0,0,0,0,4,0,7,22,38,74,0,22,5,2,2,23,0,1,5,1,0,0,0,1,1,0,0,0,0,2,1,1,5,0,0
1300,332,3,0,0,0,1,15,1,4,0,0,6,0,0,75,0,0,0,0,0,0,0,0,0,4,5,4,0,0,0,0,1,0,1,2,0,0,0,3,0,0,0,0,0,0,0,5,0,11,32,59,101,1,8,2,2,1,11,1,0,4,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0
1320,696,2,0,3,0,0,18,1,9,0,0,11,1,0,77,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,1,0,5,0,1,0,0,1,0,0,0,0,0,0,0,4,0,8,23,45,95,1,3,4,0,4,16,0,0,3,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0
1340,1071,7,0,0,0,0,23,2,9,0,0,3,4,0,87,0,0,1,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,2,2,0,1,2,4,0,0,0,0,0,0,0,13,0,5,23,33,77,0,12,4,1,1,18,1,0,0,0,0,0,2,1,0,0,0,0,1,8,1,0,2,0,0
1350,1259,9,0,1,0,3,8,0,2,0,0,5,1,0,65,0,0,0,0,0,0,0,0,0,2,7,3,0,0,0,0,0,0,2,2,1,0,0,2,0,0,0,0,0,0,0,5,0,6,20,56,75,1,5,5,0,0,11,1,0,2,0,0,0,0,1,2,0,1,0,0,2,0,0,0,0,0
1355,1352,3,0,3,0,0,13,2,3,0,0,7,2,0,64,0,0,0,0,0,0,0,0,0,1,12,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6,0,6,32,46,60,0,4,12,2,0,16,0,0,2,0,0,0,0,0,0,0,1,0,0,3,0,1,2,0,0
1360,1445,1,0,0,0,1,19,0,3,0,0,4,1,0,58,0,0,0,0,0,0,0,0,0,3,5,9,0,0,0,0,0,0,3,2,0,0,0,3,0,0,0,0,0,0,0,1,0,7,20,38,31,0,5,6,0,0,110,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1365,1538,5,0,3,0,1,22,0,4,0,0,8,2,0,54,0,0,0,0,0,0,1,0,0,5,1,8,0,0,0,0,0,0,6,2,0,1,0,3,0,0,0,0,0,0,0,7,0,0,45,56,76,1,9,10,0,7,16,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
1370,1629,0,0,1,0,1,13,0,4,1,0,3,1,0,53,0,0,0,0,0,0,0,0,0,0,1,13,0,2,0,1,0,0,4,1,0,0,0,4,1,0,0,0,0,0,0,5,0,3,14,50,81,2,4,10,0,0,6,0,0,2,0,0,0,0,1,0,0,1,0,0,2,0,0,2,0,0
1380,1809,3,0,0,0,3,21,1,0,0,1,4,2,0,56,0,0,0,0,0,0,0,0,0,2,12,5,0,2,0,0,1,0,5,3,0,0,1,1,1,0,0,0,0,0,0,7,0,11,31,74,80,0,6,3,0,1,19,2,0,2,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0
1400,2155,0,0,0,0,2,22,1,7,0,0,9,2,0,64,0,0,0,0,0,0,0,0,0,4,13,21,0,0,0,0,0,0,2,6,0,0,0,6,0,0,0,0,0,0,0,2,0,9,21,60,103,0,21,11,0,6,16,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
