"depth","best.age","min.age","max.age"
0,-43,-45,-41
1,-39,-41,-37
2,-36,-38,-33
3,-33,-35,-30
4,-29,-31,-26
5,-22,-24,-19
6,-16,-18,-13
7,-9,-10,-6
8,2,0,4
9,3,2,6
10,12,10,15
11,31,29,33
12,35,33,38
13,42,40,45
14,45,43,48
16,51,50,54
18,61,59,64
20,71,69,74
22.5,81,79,81
24.5,92,90,94
26.5,107,106,108
28.5,123,122,124
30.5,139,138,139
32.5,154,154,155
34.5,170,169,171
36.5,186,185,187
38.5,203,201,205
40.5,232,227,236
42.5,266,256,276
44.5,300,284,315
46.5,334,311,354
48.5,368,339,394
50.5,402,367,434
52.5,436,395,474
54.5,470,422,513
56.5,504,451,553
58.5,538,479,593
60.5,572,506,632
62.5,606,534,672
64.5,640,562,712
66.5,674,589,751
68.5,708,618,791
70.5,742,646,831
72.5,776,674,871
74.5,810,701,910
76.5,849,740,950
78.5,903,807,991
80.5,958,870,1040
82.5,1012,929,1093
84.5,1066,976,1147
86.5,1120,1016,1203
88.5,1175,1051,1262
90.5,NA,NA,NA
