"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus.incana","Betula","Carya","Castanea","Cephalanthus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.pennsylvanica","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Liquidambar","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Chenopodiaceae","Cyperaceae","Iva.annua.type","Plantago","Poaceae","Polygonaceae.undiff.","Rosaceae","Rumex","Thalictrum","Huperzia.lucidula","Lycopodium.annotinum","Osmunda","Pteridium","Sphagnum","Typha","Spore..monolete.","Spore..trilete.","Indeterminable","Unknown"
1,-36,0,19,8,1,86,3,2,0,3,0,2,26,0,0,0,0,1,1,0,0,4,0,1,0,5,41,15,0,1,288,0,0,5,5,1,12,0,2,0,1,0,0,0,13,0,1,6,0,0,0,1,1,0,1,2,1,3,1
3,-23,0,25,6,1,90,2,3,0,2,1,0,17,0,0,0,0,2,0,1,0,6,1,4,4,3,55,16,1,1,278,0,0,5,8,1,8,1,4,0,1,0,0,1,19,0,2,11,1,0,0,0,1,0,2,0,1,4,1
5,-9,0,12,5,8,100,8,10,0,0,3,0,23,0,0,0,0,2,1,0,0,6,0,1,4,9,37,26,2,1,245,4,0,18,5,1,27,1,1,0,0,0,0,1,33,1,2,15,0,0,0,0,3,1,0,1,3,7,2
7,4,1,7,7,9,130,9,10,0,0,2,2,26,0,0,0,0,1,2,0,0,8,0,5,5,5,33,61,3,0,200,1,0,26,7,1,36,1,3,0,0,2,0,2,35,0,0,9,0,0,0,1,3,1,0,5,4,10,2
9,17,0,8,7,7,117,11,10,0,0,2,1,30,0,0,0,0,3,4,0,0,14,0,2,4,2,34,50,2,0,190,1,0,26,12,0,17,2,2,0,2,0,0,0,34,0,3,19,0,1,1,3,7,1,0,5,1,10,0
11,30,1,5,14,1,101,8,24,0,0,2,0,32,0,0,0,0,3,0,0,0,14,0,3,8,9,24,67,0,0,185,1,1,21,6,0,23,1,2,0,3,0,0,0,40,0,0,29,0,0,1,1,5,2,0,5,6,8,2
13,44,0,11,3,12,90,5,17,0,1,2,3,26,0,0,0,0,3,0,0,0,17,0,3,9,6,26,92,3,0,200,0,0,28,6,2,29,0,0,0,1,2,0,0,43,0,1,15,0,0,4,2,8,2,0,2,5,8,1
15,57,0,5,10,2,80,10,29,0,0,2,0,46,0,0,0,0,5,0,0,0,11,0,5,5,24,35,78,0,0,146,0,1,26,3,0,18,1,0,0,0,6,0,0,35,0,0,18,0,0,0,2,8,2,0,5,7,3,0
17,70,1,11,6,3,86,6,30,0,0,3,3,43,0,0,0,0,2,2,0,0,8,0,5,6,8,38,78,0,0,152,1,1,27,3,0,26,2,2,0,0,3,0,0,24,0,0,30,0,0,0,2,8,3,1,0,0,6,0
19,83,1,6,8,5,110,9,17,0,1,4,5,34,3,0,0,5,2,2,0,0,9,0,5,6,11,44,52,2,0,170,1,0,26,8,0,28,2,2,1,0,2,1,1,41,0,0,41,2,0,2,6,1,2,0,5,5,7,0
21,96,0,6,11,2,92,8,29,0,1,2,1,35,0,0,0,0,7,0,0,0,12,0,3,8,9,28,83,2,0,179,0,0,35,5,0,28,2,0,0,2,0,0,0,38,0,0,28,0,0,0,2,8,1,0,3,3,5,0
23,109,0,3,15,11,80,8,46,0,1,5,2,24,2,0,2,0,5,0,0,0,17,0,6,11,12,32,96,2,0,141,0,2,38,15,0,31,2,2,0,3,3,0,0,37,0,0,32,0,0,0,2,6,2,0,1,2,5,0
25,122,0,0,6,5,76,8,20,0,0,3,5,17,0,0,0,0,5,2,0,0,9,0,0,6,12,34,86,0,0,196,0,1,21,9,0,40,2,0,0,0,2,1,0,47,0,0,49,0,0,0,2,9,0,1,3,3,6,0
27,136,0,5,6,6,106,15,24,0,1,3,0,46,5,2,0,0,0,1,1,0,8,0,3,3,20,28,70,0,2,145,0,0,43,6,0,38,0,0,0,0,2,1,0,50,0,0,40,0,0,0,3,5,2,0,2,3,3,0
29,149,0,2,5,2,92,6,14,0,0,2,6,35,0,0,0,0,3,1,0,0,5,0,2,5,18,43,78,2,0,194,0,0,29,3,0,21,0,2,0,2,3,0,0,52,0,0,44,0,0,0,0,6,0,0,6,2,5,1
31,162,1,5,10,11,78,12,32,0,2,0,5,21,0,0,0,0,5,2,0,0,7,0,1,8,11,61,72,1,1,159,1,0,27,1,0,15,1,5,0,0,2,0,1,47,0,0,31,0,0,1,1,6,0,0,5,3,9,2
33,175,0,1,3,4,82,4,24,0,2,0,3,29,0,0,0,0,4,1,0,0,11,0,4,8,13,33,57,1,1,205,1,0,27,8,2,18,4,1,0,0,2,1,0,58,0,1,42,1,0,0,2,4,2,0,4,5,10,3
35,188,0,3,11,5,72,6,20,0,0,3,1,24,0,0,0,0,4,2,0,0,11,0,3,9,20,40,62,1,0,192,1,0,38,3,0,15,1,2,0,1,2,0,0,42,0,0,32,0,0,1,2,11,0,0,1,4,6,2
37,201,1,2,5,3,57,1,11,0,1,0,2,30,0,0,0,0,4,0,0,2,2,0,3,9,19,48,70,0,2,197,0,1,33,10,0,10,1,0,0,1,0,0,0,21,0,0,14,0,0,0,2,5,1,0,0,0,8,0
39,228,0,1,6,6,80,1,16,0,0,1,1,24,0,0,0,0,4,1,0,0,14,0,5,10,14,42,61,1,0,202,0,0,49,4,0,6,1,1,0,1,2,0,0,9,0,1,6,1,0,0,1,6,3,0,0,1,3,1
41,268,0,5,6,6,69,5,17,0,2,3,2,32,0,0,0,0,5,3,0,0,15,0,1,4,21,50,60,0,0,169,1,1,45,2,1,5,1,1,0,0,1,0,0,5,0,0,3,0,0,0,4,11,0,0,1,1,5,2
43,308,0,1,1,5,96,7,16,0,0,0,8,33,0,0,0,0,0,1,0,0,9,0,5,10,9,22,108,1,0,156,0,0,47,7,0,2,1,0,0,0,0,0,0,4,0,1,1,0,1,0,2,10,0,0,0,0,6,2
45,348,0,3,12,6,102,12,31,0,0,2,3,15,0,0,0,0,2,0,0,0,5,0,5,11,14,17,83,2,0,176,1,0,29,11,2,47,2,1,0,2,0,0,0,54,3,0,32,0,0,1,3,8,2,1,6,6,6,2
