"sample.depths","sample.ages","upland.sum","Carya","Iva.annua.type","Cyperaceae","Ericaceae","Gordonia","Herbs.undiff.","Polygonaceae.undiff.","Quercus","Serenoa","Taxodium","Asteraceae.subf..Asteroideae.undiff.","Myrica","Pinus","Amaranthaceae","Poaceae","Cupressaceae.undiff.","Ceratiola.ericoides","Liquidambar","Morus","Nyssa","Ostrya.Carpinus","Platanus","Salix","Vitis","Acer","Fraxinus","Betula","Fabaceae.undiff.","Ulmus","Alnus","Ambrosia.type","Sabal","Apiaceae","Polygonum","Artemisia","Dalea"
1850,10,318,4,4,6,1,2,1,1,27,1,9,3,24,197,19,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1860,77,447,3,7,10,0,6,0,0,51,1,0,2,35,270,26,10,11,3,1,1,1,1,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0
1880,210,429,1,5,12,0,3,0,0,36,0,3,1,36,267,33,10,11,3,0,0,0,0,0,0,1,1,0,1,1,2,2,0,0,0,0,0,0
1900,344,286,2,2,10,0,3,0,0,29,1,2,3,16,194,10,11,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1910,411,283,3,3,7,0,6,0,0,23,0,4,1,27,160,22,11,6,2,0,0,0,1,0,0,0,1,1,0,0,3,1,1,0,0,0,0,0
1920,477,329,3,5,6,0,1,0,0,41,1,6,4,24,200,10,14,5,1,0,0,1,0,0,1,1,0,0,0,0,0,1,4,0,0,0,0,0
1930,544,362,1,2,11,1,0,0,0,28,0,6,3,30,236,17,7,10,4,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0
1950,677,387,2,6,11,1,2,0,0,32,0,6,2,31,230,30,16,5,1,1,1,2,1,0,0,1,0,3,0,0,0,2,1,0,0,0,0,0
1970,811,287,0,1,14,0,7,0,0,28,1,5,0,24,172,16,11,2,2,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1990,944,309,0,5,15,0,9,1,0,37,0,0,4,33,148,16,13,15,1,0,1,0,0,0,0,0,0,4,0,0,1,0,3,2,1,0,0,0
2010,1077,294,3,2,8,2,8,0,0,37,1,2,5,23,160,30,6,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
2030,1211,379,3,5,12,1,2,0,0,28,1,6,1,28,254,11,23,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
2050,1344,297,1,2,13,0,4,0,0,27,4,3,4,28,177,17,9,3,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
2070,1478,285,0,4,12,1,6,0,0,43,2,6,2,23,132,25,14,4,1,0,3,0,0,0,1,1,0,0,0,0,0,1,4,0,0,0,0,0
2090,1611,320,3,5,19,1,6,0,0,20,0,5,6,21,171,48,10,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2110,1744,309,1,6,11,0,6,0,0,29,0,3,0,21,151,49,14,8,2,0,0,0,0,0,1,3,0,0,0,0,2,1,1,0,0,0,0,0
2130,1878,342,2,3,17,1,11,1,0,44,1,2,4,31,158,39,10,5,3,1,0,0,2,0,0,2,0,2,0,1,1,0,1,0,0,0,0,0
2150,2011,351,2,1,7,2,11,0,0,55,3,1,3,32,177,27,18,3,1,0,0,0,3,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0
2170,2145,306,2,4,18,1,7,1,0,40,1,2,5,18,169,17,7,4,2,0,2,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0
2190,2278,402,2,5,16,1,4,1,1,31,1,0,7,30,226,24,33,7,3,2,0,1,0,0,0,2,0,1,0,1,0,1,1,0,1,0,0,0
2210,2411,333,0,0,7,2,6,1,0,33,2,3,5,29,192,30,13,2,1,0,1,1,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
2230,2545,350,2,3,16,2,9,0,0,34,2,6,5,25,184,34,12,3,2,0,1,2,0,0,0,5,0,1,0,0,0,0,2,0,0,0,0,0
2250,2678,338,1,3,13,0,3,1,1,48,0,3,2,34,162,31,17,3,6,1,2,0,0,0,0,1,0,1,0,1,2,1,1,0,0,0,0,0
2260,2756,328,3,4,10,1,7,1,0,48,2,0,6,50,141,34,10,1,0,0,1,0,1,0,0,0,0,1,0,0,1,2,3,0,1,0,0,0
2270,2846,423,3,7,14,0,10,0,0,71,0,0,7,43,172,57,24,1,5,0,0,0,1,0,1,0,0,1,0,0,2,2,2,0,0,0,0,0
2280,2937,297,2,4,14,3,12,0,0,45,1,1,2,24,116,47,15,2,1,0,0,0,1,0,0,1,0,2,0,0,2,1,1,0,0,0,0,0
2290,3028,327,0,5,11,3,8,0,0,66,2,3,3,34,139,32,11,3,0,0,0,1,0,0,0,3,0,1,0,0,1,0,0,0,1,0,0,0
2300,3118,359,2,5,13,4,7,0,1,57,1,7,9,28,163,35,15,6,2,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
2310,3209,380,4,8,15,2,4,0,0,64,1,2,1,35,157,59,17,0,1,1,0,0,2,0,2,1,0,0,0,0,0,2,1,0,0,1,0,0
2320,3300,297,0,6,15,0,7,0,0,51,2,6,2,22,141,21,15,2,0,0,1,2,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
2330,3390,334,1,8,22,1,7,0,0,37,4,0,2,26,145,41,31,1,2,0,0,1,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
2350,3572,317,3,1,12,1,9,0,0,45,0,1,2,34,134,54,16,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2370,3753,325,2,8,6,1,12,0,2,54,2,2,4,35,117,52,15,2,1,1,0,0,0,0,1,2,0,0,0,0,1,0,4,0,1,0,0,0
2390,3934,362,3,11,11,1,6,0,0,73,3,0,1,22,151,48,19,1,2,0,0,0,1,0,2,0,0,2,0,1,1,0,2,0,1,0,0,0
2410,4116,307,3,10,13,1,12,1,1,61,1,3,3,29,109,28,17,1,4,1,0,0,1,1,2,1,0,0,0,0,1,1,2,0,0,0,0,0
2420,4206,360,4,8,10,6,11,0,0,55,2,0,0,27,163,35,25,1,6,0,2,0,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0
2440,4388,333,3,8,7,2,6,0,0,63,0,0,1,28,147,42,17,0,3,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0
2460,4569,361,3,7,9,8,12,0,0,88,0,1,1,33,121,46,14,1,6,2,2,0,0,0,1,0,0,2,0,0,1,1,2,0,0,0,0,0
2480,4750,382,0,5,12,2,7,0,0,50,1,0,4,28,209,30,19,3,2,0,2,1,0,0,0,1,0,0,0,0,2,1,2,0,1,0,0,0
2500,4932,380,3,7,11,3,5,0,0,108,2,1,4,51,131,35,10,1,3,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0
2520,5113,368,1,5,15,4,9,0,2,75,0,0,1,27,152,41,24,0,3,0,0,0,0,1,1,4,0,1,0,0,1,0,1,0,0,0,0,0
2540,5294,341,4,8,16,2,1,0,0,73,2,0,3,50,141,17,18,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
2550,5385,294,3,6,14,1,6,0,0,58,4,0,3,35,118,26,16,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
2560,5770,313,5,7,6,2,0,0,1,89,4,0,0,40,107,26,17,0,1,0,0,0,2,0,1,0,0,2,0,0,1,0,2,0,0,0,0,0
2570,6514,351,5,5,23,3,0,0,0,80,0,0,4,13,162,29,22,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2580,7258,427,7,18,15,4,0,1,1,142,0,0,7,12,168,21,21,1,4,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0
