"sample.depths","sample.ages","Abies","Acer.saccharum.type","Acer.spicatum","Alnus.incana.type","Alnus.undiff.","Alnus.viridis","Amaranthaceae.undiff.","Ambrosia.type","Amorpha","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Brassicaceae","Callitriche","Carya","Celtis","Corylus","Cupressaceae","Cyperaceae","Dalea","Dryopteris.type","Ephedra.trifurca.type","Equisetum","Eucalyptus","Fabaceae.undiff.","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Humulus","Indeterminable","Indeterminable.undiff.","Isoëtes","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Lamiaceae","Laportea.type","Larix","Lycopodium.type","Morus.rubra","Myrica","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Oxytropis","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Platanus","Poaceae","Populus","Potamogetonaceae","Potentilla.type","Pteridium.type","Quercus","Ranunculus","Rhus","Rosaceae.undiff.","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Sphagnum","Spiraea.type","Thalictrum","Tilia","Triantha.glutinosa","Tsuga","Typha.Sparganium","Ulmus","Unknown","Urtica.type","Viburnum.opulus","Vitis","Woodsia"
2,NA,3,1,0,24,0,8,3,3,0,0,5,3,0,26,0,0,0,0,0,4,14,1,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,2,0,25,22,10,142,0,2,1,0,0,2,8,0,0,0,1,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0
42,1623,0,1,0,19,0,18,2,3,0,0,5,0,0,30,0,0,0,0,0,2,26,3,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,13,48,29,106,0,1,4,0,0,1,8,0,0,0,1,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0
62,2028,1,0,0,29,0,10,3,1,0,0,2,2,0,50,0,0,0,0,0,1,54,1,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0,10,43,32,161,0,6,3,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0
82,2433,0,1,0,18,0,6,1,1,0,0,4,2,0,48,0,0,0,0,0,1,72,2,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,24,44,31,109,0,2,0,0,0,1,7,0,0,0,1,0,0,0,0,0,0,0,2,0,2,3,0,0,0,0
102,2838,1,0,0,31,0,23,0,2,0,0,5,0,0,34,0,0,0,0,0,2,19,3,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,10,27,36,101,0,4,1,1,0,2,4,0,0,0,0,0,0,0,0,1,0,0,1,0,3,2,0,0,0,0
127,3344,1,0,1,8,0,16,2,2,0,0,5,3,0,43,0,0,0,0,0,0,44,3,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,11,49,52,142,0,3,10,0,0,2,7,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
147,3749,1,0,0,11,0,16,0,5,0,0,10,0,0,58,0,0,0,0,2,4,33,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,2,0,10,15,22,130,0,5,4,0,0,0,9,0,0,0,4,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0
167,4154,2,0,0,18,0,20,1,0,0,0,2,1,0,34,1,0,0,1,0,1,9,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,10,42,61,128,0,6,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
187,4559,0,1,0,7,0,6,0,2,0,0,3,3,0,26,0,0,0,0,0,0,14,1,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,38,44,134,2,5,5,0,0,1,5,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0
208,4984,1,1,0,17,0,7,2,3,0,0,4,5,0,43,0,0,0,0,0,2,11,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,53,51,115,0,2,4,1,1,3,4,0,0,1,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
