"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Acer.spicatum","Acer.undiff.","Alnus..pentaporate.","Alnus..tetraporate.","Alnus.undiff.","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Betulaceae.undiff.","Carya","Castanea","Celtis","Chenopodium.type","Cornus","Corylus","Cyperaceae","Epilobium","Ericaceae","Fagus","Filicopsida.undiff.","Fraxinus","Huperzia.selago.H..lucidula","Ilex","Indeterminable","Isoëtes","Juglans","Juniperus.Thuja","Larix","Lycopodiella.inundata","Lycopodium.annotinum.type","Lycopodium.clavatum","Myrica","Myriophyllum","Nuphar","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinaceae.undiff.","Pinus","Platanus","Poaceae","Polypodiaceae","Populus","Potamogetonaceae","Pteridium.aquilinum","Quercus","Rosaceae","Rumex","Salix","Sparganium.type","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga","Typha","Ulmus","Unknown","Unknown.undiff.","Urtica","Viburnum"
20,190,3,0,0,4,0,0,0,0,8,1,0,1,115,4,0,0,0,0,0,0,1,0,0,23,0,4,5,1,10,0,2,0,0,0,0,0,2,0,0,0,0,12,24,6.5,24,0,4,7,0,1,1,12,0,0,0,0,8,0,0,0,10,0,2,2,0,0,0
40,660,1,0,0,10,1,0,0,0,3,0,0,0,128,8,0,0,0,0,0,0,2,0,1,23,0,7,1,1,6,0,0,0,1,0,0,1,0,0,0,0,0,4,15,3.5,23,0,1,3,0,0,0,12,0,0,1,0,4,0,0,1,18,0,3,0,0,0,0
60,1157,4.5,0,0,8,0,0,1,5,0,1,2,0,170,1,3,2,0,0,0,0,1,0,1,47,3,6,0,0,10,1,1,0,1,3,0,0,2,1,0,0,1,3,10.5,13.5,23,1,2,0,0,0,0,19,0,0,1,0,0,0,0,0,30,0,4,3,0,5,0
80,1680,2.5,0,1,10,0,0,0,0,4,0,0,0,144,5,0,1,0,0,0,0,1,0,0,22,0,3,3,0,7,0,1,0,0,0,0,0,0,0,0,0,0,7,2,14.5,14.5,0,0,3,0,0,0,12,0,0,0,1,2,0,0,0,16,0,8,1,0,0,0
100,2230,1,0,0,7,0,0,0,0,5,0,1,0,114,12,0,2,0,0,0,0,0,0,1,26,0,3,3,1,13,0,0,0,0,1,0,0,2,0,1,0,0,16,505,6.5,12.5,0,2,9,2,0,0,25,0,0,0,0,4,0,0,1,8,0,5,2,0,0,0
120,2806,5.5,0,0,14,0,0,2,4,0,1,0,1,292,11,2,1,0,1,0,0,0,0,0,72,2,8,3,0,13,1,2,0,0,0,0,0,0,1,0,0,0,6,6,13,18.5,1,0,0,0,0,0,18,1,0,1,0,0,0,0,1,24,0,5,4,0,3,0
140,3409,0.5,0,1,7,0,0,0,0,9,0,0,0,141,4,0,0,0,0,0,0,0,0,0,36,0,2,3,1,5,0,0,0,0,1,0,0,2,0,0,0,0,13,2,1.5,19,0,1,3,0,1,0,12,0,0,0,0,2,0,0,0,14,0,4,2,0,0,0
160,4039,1.5,0,0,6,0,0,0,0,10,1,1,0,145,10,1,1,0,0,0,1,0,0,1,24,0,3,2,0,8,0,0,0,1,0,0,1,0,0,0,0,0,10,1,1,17,1,1,0,1,0,0,16,0,0,1,0,3,0,0,2,2,0,3,0,0,0,0
180,4695,4,0,0,17,0,1,4,9,0,1,0,0,244,3,0,0,0,0,3,1,0,0,0,59,4,4,4,1,22,0,4,0,1,1,3,0,2,0,0,1,0,7,3,11,29.5,3,5,0,0,0,2,32,0,0,1,0,0,1,0,0,8,0,7,1,0,7,0
200,5378,1.5,0,0,4,0,0,0,0,10,1,0,0,137,8,0,0,0,1,0,0,0,0,0,13,0,11,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,12,3.5,2,13,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,36,0,3,4,0,0,3
