"sample.depths","sample.ages","upland.sum","Abies","Alnus.undiff.","Betula","Pinaceae.undiff.","Cyperaceae","Fagus","Ilex","Ostrya.Carpinus","Picea","Quercus","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Ambrosia","Betulaceae.undiff.","Fraxinus","Juglans","Myrica","Pinus","Poaceae","Acer.saccharum","Acer.spicatum","Ericaceae","Larix","Salix","Tilia","Artemisia","Carya","Castanea","Platanus","Urtica","Alnus..tetraporate.","Alnus..pentaporate.","Acer.rubrum","Populus","Rosaceae","Chenopodium.type","Corylus","Acer.undiff.","Nyssa","Taxus","Cornus","Viburnum","Acer.negundo","Thalictrum","Celtis","Juniperus.Thuja","Rumex","Epilobium"
20,190,263.5,3,8,115,6.5,1,23,1,12,24,12,10,1,2,1,4,4,2,2,24,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,660,267.5,1,3,128,3.5,2,23,1,4,15,12,18,0,3,0,8,7,0,0,23,1,10,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1157,368.5,4.5,0,170,13.5,1,47,0,3,10.5,19,30,0,4,1,1,6,1,2,23,2,8,0,1,1,1,0,2,3,2,1,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1680,268.5,2.5,4,144,14.5,1,22,0,7,2,12,16,0,8,0,5,3,1,0,14.5,0,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2230,758,1,5,114,6.5,0,26,1,16,505,25,8,0,5,0,12,3,0,2,12.5,2,7,0,1,0,0,1,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2806,514,5.5,0,292,13,0,72,0,6,6,18,24,1,5,1,11,8,2,0,18.5,0,14,0,0,0,1,1,0,2,1,1,3,4,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
140,3409,270,0.5,9,141,1.5,0,36,1,13,2,12,14,0,4,0,4,2,0,2,19,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,4039,262.5,1.5,10,145,1,0,24,0,10,1,16,2,0,3,1,10,3,0,0,17,1,6,0,1,1,1,2,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
180,4695,473.5,4,0,244,11,0,59,1,7,3,32,8,0,7,1,3,4,4,2,29.5,5,17,0,0,1,1,0,0,0,0,3,7,9,4,0,0,0,0,1,1,1,1,3,0,0,0,0,0,0,0
200,5378,270,1.5,10,137,2,0,13,2,12,3.5,8,36,0,3,1,8,11,0,0,13,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0
240,6823,665,4,0,383,10,3,38,1,4,0.5,24,80,0,9,3,0,7,2,0,51.5,3,12,0,0,0,0,1,1,2,0,6,3,9,2,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0
260,7585,266.5,0,3,94,0.5,2,11,1,8,4,39,24,1,3,0,2,5,0,0,53,0,7,0,0,1,0,0,0,0,0,5,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
270,7976,257,0,5,80,14.5,0,3,0,6,1.5,46,7,1,5,1,5,1,0,1,73,1,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,8374,226.5,0,2,66,2.5,0,1,0,5,3,31,0,0,0,1,1,0,0,1,103,1,4,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
300,9190,644,8.5,0,172,25,0,1,0,6,6,87,13,1,6,1,1,6,0,3,288.5,1,5,0,0,0,1,0,1,1,0,0,1,3,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
320,10032,268.5,3.5,4,88,8,0,0,0,5,1,22,4,0,0,0,2,1,0,1,120,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0
340,10900,263,8.5,15,118,9.5,2,0,0,6,6.5,7,0,1,0,0,2,3,0,0,71.5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0
360,11796,302,1.5,0,18,41.5,23,0,0,1,143,6,0,2,2,1,1,1,0,0,40,7,0,1,0,0,2,0,2,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0
370,12253,261.5,0,2,19,10,45,0,0,4,47,24,0,0,0,6,11,3,0,0,49.5,0,1,0,0,0,15,0,5,0,0,0,0,0,0,0,12,1,0,1,2,0,0,0,0,0,0,0,3,0,1
