"sample.depths","sample.ages","Eucalyptus.spike..number.counted.","Sample.volume..ml.","Eucalyptus.suspension..volume.added..ml.","Eucalyptus.suspension..concentration..grains.ml.","Picea","Pinus","Abies","Tsuga","Larix","Betula","Populus","Quercus","Ulmus","Acer","Juniperus","Alnus","Salix","Corylus","Myrica","Ericaceae.undiff.","Poaceae","Asteraceae.undiff.","Artemisia","Solidago","Aster","Arctostaphylos","Chenopodiineae","Rosaceae.undiff.","Potentilla","Polygonaceae","Caryophyllaceae","Ranunculaceae","Brassicaceae","Unknown"
0,-34,228,1,0,102700,17,3,0,0,0,47,0,0,0,0,0,62,12,0,0,99,8,0,3,0,0,12,3,0,0,0,4,6,2,0
5,5,525,1,0,102700,63,37,0,0,0,33,0,0,0,0,0,35,5,0,0,115,3,0,0,0,0,0,0,0,2,2,0,0,0,0
10,44,348,1,0,102700,51,9,0,0,0,48,0,0,0,0,0,75,9,0,0,123,9,0,3,0,0,0,3,6,0,0,0,0,9,0
15,84,118,1,0,102700,144,73,0,0,0,16,0,0,0,0,2,22,5,0,0,37,59,5,7,0,0,0,3,1,0,2,0,0,0,0
20,123,212,1,0,102700,93,46,0,0,0,31,0,0,0,0,2,48,5,0,0,52,7,2,8,0,1,0,9,0,0,2,2,0,1,0
25,162,426,1,0,102700,106,48,0,0,0,54,0,0,0,0,5,36,9,0,0,112,7,6,8,0,0,0,0,1,0,7,0,0,1,0
30,201,427,1,0,102700,151,39,2,0,0,18,0,0,0,0,1,15,6,0,0,51,27,3,12,0,0,0,0,0,0,5,0,0,0,0
35,241,362,1,0,102700,184,52,0,0,0,18,0,0,0,0,3,16,9,0,0,23,28,0,18,0,0,3,0,3,0,4,2,0,0,0
40,280,582,1,0,102700,83,22,0,0,0,23,0,0,0,0,2,19,11,0,0,83,12,6,3,0,0,8,0,7,0,10,2,0,2,0
45,341,287,1,0,102700,104,15,0,0,1,27,0,2,0,0,3,22,8,0,0,96,5,0,2,0,0,0,1,0,0,3,0,0,0,0
50,424,183,1,0,102700,145,54,0,0,0,21,0,0,0,0,4,20,3,0,0,151,5,5,3,0,0,0,0,0,0,0,0,0,0,0
55,672,140,1,0,102700,164,38,0,0,0,33,0,0,0,0,1,24,5,0,0,31,8,0,8,0,0,0,0,2,0,4,0,0,0,3
60,1085,101,1,0,102700,132,91,0,0,0,58,0,0,0,0,2,47,7,0,2,17,8,1,5,0,0,0,0,5,2,0,0,0,0,12
65,1499,101,1,0,102700,231,76,0,0,0,27,0,0,0,0,5,29,11,0,0,2,7,0,3,0,0,0,0,5,0,1,0,0,1,0
70,1912,143,1,0,102700,241,64,0,0,0,44,0,0,0,0,6,47,11,0,3,2,8,0,6,0,0,0,1,9,0,0,0,0,0,0
75,2170,239,1,0,102700,196,58,0,0,0,31,0,0,0,0,9,34,9,0,0,0,18,3,2,0,0,0,1,6,0,0,0,0,1,17
80,2411,377,1,0,102700,101,41,0,0,0,25,0,0,0,0,8,27,7,0,0,0,26,2,2,0,0,0,0,6,0,0,0,0,0,0
85,2652,261,1,0,102700,73,27,0,0,0,45,0,0,0,0,7,17,9,0,0,2,21,0,0,0,0,0,0,1,0,0,0,0,0,0
90,2893,232,1,0,102700,84,30,0,0,0,89,0,0,0,0,5,33,7,0,9,2,16,0,2,0,0,0,1,1,0,0,0,0,0,0
95,3133,168,1,0,102700,163,65,0,0,1,83,0,0,0,0,2,15,5,0,11,0,6,0,3,0,0,0,0,2,0,1,0,0,0,0
100,3374,122,1,0,102700,191,70,0,0,2,22,0,0,0,0,4,16,0,0,0,4,11,0,0,0,0,0,0,2,0,2,0,0,0,0
105,3615,108,1,0,102700,341,76,0,0,0,38,0,0,0,0,5,31,11,0,0,7,22,0,0,0,0,0,6,2,0,0,0,0,0,0
110,3856,109,1,0,102700,279,79,0,0,2,33,1,0,0,0,1,28,5,6,0,3,9,3,0,0,0,0,0,1,0,1,0,0,0,15
115,4097,105,1,0,102700,242,53,0,1,0,18,0,0,0,0,4,8,5,1,0,3,8,1,0,0,0,0,1,2,1,1,0,0,0,14
120,4338,102,1,0,102700,139,41,0,0,0,27,1,0,0,1,5,12,9,2,0,3,11,1,0,1,0,0,0,3,0,0,0,0,0,12
125,4578,121,1,0,102700,191,23,0,0,2,34,4,0,0,0,11,26,7,4,0,2,6,2,0,1,0,0,2,4,0,0,0,0,0,0
130,4819,201,1,0,102700,201,14,0,0,3,24,2,2,1,0,5,18,3,0,0,2,13,3,1,0,0,0,2,2,0,1,0,0,1,5
135,NA,183,1,0,102700,191,21,0,0,0,49,0,0,0,0,3,19,0,0,0,1,8,1,1,0,0,0,0,0,0,3,0,0,0,0
