"sample.depths","sample.ages","Abies","Acer.saccharum.type","Alnus","Betula","Carya","Corylus","Cupressaceae","Ephedra","Fagus","Fraxinus","Juglans.cinerea","Larix","Ostrya.Carpinus","Picea","Pinus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Caryophyllaceae","Chenopodiineae","Cyperaceae","Plantago","Poaceae","Urtica"
0,-50,0,0.0325581395348837,0.0186046511627907,0.0511627906976744,0.00465116279069767,0,0.00465116279069767,0,0.0186046511627907,0.0465116279069767,0,0,0.0418604651162791,0.00465116279069767,0.497674418604651,0,0.13953488372093,0,0.00930232558139535,0.0558139534883721,0.0232558139534884,0.013953488372093,0.00465116279069767,0.00465116279069767,0.00465116279069767,0,0,0,0.00465116279069767,0.0186046511627907,0
5,3260,0.0099009900990099,0.0148514851485149,0.00495049504950495,0.0495049504950495,0.00495049504950495,0,0.0148514851485149,0,0.0099009900990099,0.0247524752475248,0,0,0.0247524752475248,0,0.673267326732673,0,0.099009900990099,0,0.00495049504950495,0.0396039603960396,0.0198019801980198,0,0,0,0,0,0,0,0,0,0.00495049504950495
10,6570,0.02,0.015,0,0.015,0,0,0,0,0.025,0.02,0,0,0.065,0.005,0.69,0,0.095,0,0,0.025,0.025,0,0,0,0,0,0,0,0,0,0
15,8315,0.00483091787439614,0.0289855072463768,0,0.00966183574879227,0,0.00483091787439614,0.00966183574879227,0,0.00966183574879227,0.0434782608695652,0.00483091787439614,0,0.0434782608695652,0,0.632850241545894,0,0.154589371980676,0,0.00483091787439614,0.0241545893719807,0.0193236714975845,0,0,0,0,0,0,0,0,0.00483091787439614,0
20,8496,0.0242718446601942,0.0145631067961165,0.00970873786407767,0.0388349514563107,0,0,0.0145631067961165,0,0.0145631067961165,0.0388349514563107,0,0,0.0728155339805825,0.0145631067961165,0.572815533980582,0,0.12621359223301,0,0.00485436893203883,0.00970873786407767,0.029126213592233,0,0.00485436893203883,0.00485436893203883,0,0,0,0,0,0.00485436893203883,0
25,8677,0.0149253731343284,0.0348258706467662,0.00497512437810945,0.0945273631840796,0,0,0.00497512437810945,0,0,0.0199004975124378,0,0.00497512437810945,0.0696517412935323,0.00497512437810945,0.611940298507463,0,0.0945273631840796,0,0.00497512437810945,0.0099502487562189,0.0248756218905473,0,0,0,0,0,0,0,0,0,0
30,8858,0.0147058823529412,0.00980392156862745,0.00490196078431373,0.0441176470588235,0,0,0.00490196078431373,0,0.00490196078431373,0.0196078431372549,0,0,0.0196078431372549,0,0.779411764705882,0,0.0637254901960784,0,0,0.00490196078431373,0.0147058823529412,0,0.00490196078431373,0,0.00490196078431373,0,0,0,0,0.00490196078431373,0
35,9039,0.01,0.005,0,0.025,0,0,0.01,0,0,0.05,0,0,0.055,0.005,0.725,0,0.065,0,0,0.03,0.02,0,0,0,0,0,0,0,0,0,0
40,9220,0.0048780487804878,0.0048780487804878,0.0048780487804878,0.0390243902439024,0,0,0,0,0,0.0292682926829268,0,0,0.0292682926829268,0.0048780487804878,0.785365853658537,0,0.0390243902439024,0,0.0048780487804878,0.0097560975609756,0.024390243902439,0,0.0048780487804878,0.0048780487804878,0,0,0,0.0048780487804878,0,0.0048780487804878,0
45,9401,0.00497512437810945,0.00497512437810945,0.00497512437810945,0.0646766169154229,0,0,0.0099502487562189,0,0.00497512437810945,0.0248756218905473,0,0.00497512437810945,0.0497512437810945,0,0.751243781094527,0,0.054726368159204,0,0,0.00497512437810945,0.0149253731343284,0,0,0,0,0,0,0,0,0,0
