"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Asteraceae.undiff.","Cyperaceae","Larix","Picea","Salix","Alnus","Myrica","Pinus","Amaranthaceae","Ericaceae","Herbs.undiff.","Poaceae","Ambrosia.type","Cupressaceae"
0,NA,906,7,121,1,65,1,168,1,308,28,205,1,0,0,0,0,0
5,NA,931,10,108,0,29,1,78,1,440,0,205,0,10,20,29,0,0
10,NA,830,0,57,0,114,19,162,0,57,0,333,1,19,48,10,10,0
15,1447,984,19,38,1,238,1,209,0,67,10,333,0,10,48,10,0,0
20,1627,935,19,48,0,314,0,105,10,209,1,171,0,10,38,10,0,0
25,1808,871,0,58,0,362,0,107,8,91,1,231,0,1,10,1,1,0
27.5,1898,895,9,452,0,27,0,90,27,72,18,172,0,18,9,1,0,0
30,1989,917,1,380,0,94,0,75,66,56,19,197,0,1,19,9,0,0
40,2714,769,8,208,8,46,0,116,15,116,62,146,0,23,15,6,0,0
45,3258,796,8,224,0,78,0,141,16,94,31,180,1,16,1,6,0,0
50,3803,897,9,183,0,70,0,175,9,192,44,183,0,9,13,9,1,0
55,4347,830,12,60,0,226,0,242,0,81,8,177,0,12,0,12,0,0
58,4674,900,163,7,0,147,0,233,8,93,16,225,0,8,0,0,0,0
60,4892,853,16,65,12,89,0,251,8,113,16,259,12,12,0,0,0,0
63,5219,887,33,132,0,50,1,190,17,215,124,124,1,0,0,0,0,0
65,5436,780,8,129,15,38,0,182,15,213,38,137,4,0,0,0,1,0
70,5892,764,8,154,0,31,0,215,8,207,54,77,8,0,1,0,1,0
75,5990,972,9,175,1,38,0,265,19,321,28,95,1,0,1,0,19,0
80,6088,948,21,240,0,21,0,178,21,324,10,115,16,0,1,0,1,0
85,6185,991,29,233,0,19,0,247,1,314,14,114,10,0,0,0,10,0
90,6283,991,1,158,0,19,0,270,9,438,19,75,1,0,0,0,1,0
95,6381,917,17,175,1,46,0,222,9,249,28,166,1,1,0,1,1,0
100,6479,972,1,203,0,10,0,270,5,376,39,48,0,0,0,19,0,1
105,6577,980,15,185,0,1,0,301,19,398,19,39,1,1,0,1,0,0
110,6675,995,10,155,19,5,0,329,10,319,58,87,1,0,0,1,1,0
115,6773,990,18,189,0,5,0,234,5,388,50,80,10,0,0,10,1,0
120,6871,987,19,191,0,29,0,162,29,306,10,220,19,1,0,1,0,0
125,7057,980,10,189,1,10,0,249,1,369,40,80,10,0,0,20,1,0
130,7242,984,31,142,1,20,0,244,31,397,71,20,10,1,1,15,0,0
135,7428,971,20,167,0,20,0,227,15,384,39,79,10,0,0,10,0,0
140,NA,1000,1,153,0,1,0,215,10,429,112,41,26,0,0,10,1,1
