"sample.depths","sample.ages","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Fagus","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Quercus","Apiaceae","Amaranthaceae","Poaceae","Abies.balsamea","Pinus.banksiana.type","Pinus.strobus","Rumex.type","Tsuga.canadensis","Picea.undiff.","Acer.rubrum","Acer.spicatum","Caryophyllaceae","Larix","Picea.glauca.type","Populus.tremuloides.type","Salix","Ulmus","Fraxinus.nigra.type","Juglans.nigra","Acer.saccharum","Corylus.cornuta","Viburnum.edule","Carya.ovata","Castanea.dentata","Pinaceae","Fraxinus.pennsylvanica.type","Myrica.gale","Juglans.cinerea","Asteraceae.subf..Asteroideae.undiff.","Taxus","Tilia","Liliaceae","Ranunculaceae","Acer.saccharinum","Populus.balsamifera.type","Juniperus.type","Rosaceae.cf..Prunus.serotina","Populus.deltoides.type","Populus.undiff.","Viburnum.undiff.","Rosaceae.undiff.","Prunus","Epilobium","Pinus.resinosa.type","Oxytropis.maydelliana.type"
10,305,0.0248447204968944,0.0217391304347826,0.0527950310559006,0.0031055900621118,0.394409937888199,0.0372670807453416,0.015527950310559,0.0217391304347826,0.0031055900621118,0.226708074534162,0.0124223602484472,0.0062111801242236,0.0031055900621118,0.0031055900621118,0.015527950310559,0.0527950310559006,0.015527950310559,0.062111801242236,0.0031055900621118,0.0031055900621118,0.0217391304347826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,761,0.0278745644599303,0.0104529616724739,0.024390243902439,0.0174216027874564,0.369337979094077,0.024390243902439,0.0139372822299652,0,0.00348432055749129,0.240418118466899,0.024390243902439,0.0174216027874564,0,0,0,0.0871080139372822,0.00696864111498258,0.0557491289198606,0.00348432055749129,0.00348432055749129,0.0418118466898955,0.00348432055749129,0.00348432055749129,0.00348432055749129,0.00348432055749129,0.00348432055749129,0.00348432055749129,0.00348432055749129,0.00348432055749129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1218,0.0239294710327456,0.0125944584382872,0,0.00125944584382872,0.452141057934509,0.128463476070529,0.0201511335012594,0.0163727959697733,0.00125944584382872,0.08816120906801,0.0163727959697733,0.0075566750629723,0,0.00125944584382872,0.00125944584382872,0.0554156171284635,0,0.0642317380352645,0,0.0138539042821159,0.044080604534005,0,0,0,0.00125944584382872,0.0151133501259446,0,0,0.008816120906801,0.0100755667506297,0.00125944584382872,0.0125944584382872,0.00125944584382872,0.00125944584382872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1523,0.011965811965812,0.00683760683760684,0.00170940170940171,0.00170940170940171,0.47008547008547,0.041025641025641,0.0290598290598291,0.0153846153846154,0.00341880341880342,0.152136752136752,0.0239316239316239,0.00854700854700855,0,0,0.00170940170940171,0.0598290598290598,0,0.0735042735042735,0,0.0153846153846154,0.041025641025641,0,0,0,0.00512820512820513,0.00170940170940171,0.00512820512820513,0,0.00512820512820513,0,0,0.0170940170940171,0,0,0.00341880341880342,0.00170940170940171,0.00341880341880342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1980,0.0210526315789474,0.00451127819548872,0,0.00150375939849624,0.473684210526316,0.0616541353383459,0.00451127819548872,0.0180451127819549,0,0.112781954887218,0.0210526315789474,0.0165413533834586,0,0,0,0.0526315789473684,0,0.117293233082707,0,0.0120300751879699,0.0360902255639098,0,0,0,0,0.0135338345864662,0,0,0.00902255639097744,0.0075187969924812,0,0.00902255639097744,0.00150375939849624,0,0.00150375939849624,0.00150375939849624,0,0.00150375939849624,0.00150375939849624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2284,0.0117474302496329,0.00587371512481645,0.00293685756240822,0.00440528634361234,0.511013215859031,0.0690161527165932,0.0176211453744493,0.0176211453744493,0,0.110132158590308,0.0411160058737151,0.013215859030837,0,0,0,0.0337738619676946,0.00293685756240822,0.0822320117474303,0,0.00440528634361234,0.0513950073421439,0,0,0.00146842878120411,0,0,0.00293685756240822,0.00146842878120411,0,0.00293685756240822,0,0.00881057268722467,0,0,0,0,0,0.00293685756240822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2589,0.00656455142231947,0.00218818380743982,0.00437636761487965,0.00218818380743982,0.520787746170678,0.0196936542669584,0.0196936542669584,0.0087527352297593,0,0.12035010940919,0.0175054704595186,0.00437636761487965,0,0,0,0.0459518599562363,0,0.150984682713348,0,0.00656455142231947,0.0262582056892779,0,0.00218818380743982,0,0,0.0196936542669584,0,0.00218818380743982,0.00218818380743982,0.00437636761487965,0,0.00656455142231947,0,0,0,0,0,0,0,0.00218818380743982,0.00437636761487965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,3046,0.010482180293501,0.0167714884696017,0.0010482180293501,0.00419287211740042,0.558700209643606,0.0932914046121593,0.0146750524109015,0.00628930817610063,0,0.0618448637316562,0.030398322851153,0.00838574423480084,0,0,0.0010482180293501,0.0345911949685535,0,0.0911949685534591,0,0.0167714884696017,0.0251572327044025,0,0,0,0.00419287211740042,0,0,0,0.00943396226415094,0.0010482180293501,0,0.00733752620545073,0,0,0,0,0.00209643605870021,0,0,0,0.0010482180293501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,3350,0.00543056633048875,0.00387897595034911,0.00232738557020946,0.000775795190069822,0.463149728471683,0.109387121799845,0.0364623739332816,0.00543056633048875,0.00155159038013964,0.0465477114041893,0.0457719162141195,0.0155159038013964,0,0.00155159038013964,0.000775795190069822,0.0356865787432118,0,0.124127230411171,0,0.0256012412723041,0.0325833979829325,0,0,0.000775795190069822,0.00232738557020946,0.0124127230411171,0,0,0.00930954228083786,0.0069821567106284,0,0.00387897595034911,0,0,0.000775795190069822,0.000775795190069822,0,0.00232738557020946,0,0.000775795190069822,0.000775795190069822,0.00232738557020946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,3807,0.00806451612903226,0.00537634408602151,0.00268817204301075,0.00089605734767025,0.568100358422939,0.0224014336917563,0.0412186379928315,0.00537634408602151,0.00089605734767025,0.043010752688172,0.0600358422939068,0.0134408602150538,0,0,0.00089605734767025,0.014336917562724,0.00089605734767025,0.134408602150538,0,0.0116487455197133,0.0313620071684588,0.00089605734767025,0,0,0.00089605734767025,0,0.00089605734767025,0.00089605734767025,0.007168458781362,0.0116487455197133,0,0.00537634408602151,0.00089605734767025,0,0.0017921146953405,0,0.00089605734767025,0.00089605734767025,0,0.00089605734767025,0,0,0.00089605734767025,0.00089605734767025,0,0,0,0,0,0,0,0,0,0,0,0,0
