"depth","best.age","min.age","max.age"
663,-20,-47,13
667,-14,-43,18
671,-8,-39,23
675,-2,-35,28
679,4,-32,33
683,9,-29,38
688,14,-27,45
692,18,-26,50
696,21,-24,56
700,24,-23,60
705,27,-21,66
709,31,-18,72
714,37,-13,80
718,44,-5,90
726,67,17,115
732,93,43,144
736,116,63,168
740,144,88,199
744,178,116,236
748,218,150,281
752,264,191,334
754,290,213,363
758,346,263,426
762,409,319,497
766,480,379,573
770,558,446,658
774,642,519,749
778,732,596,845
782,827,678,947
786,928,763,1054
790,1033,853,1168
794,1142,946,1286
798,1254,1042,1407
802,1368,1140,1529
806,1481,1240,1652
810,1593,1341,1773
814,1702,1440,1887
818,1808,1538,1996
822,1910,1637,2101
826,2008,1733,2201
830,2104,1828,2296
834,2197,1923,2389
838,2288,2016,2477
842,2375,2108,2562
846,2461,2199,2645
850,2545,2288,2725
858,2707,2468,2883
862,2785,2556,2960
866,2863,2641,3034
870,2939,2726,3108
874,3015,2809,3179
878,3090,2894,3253
882,3164,2979,3327
886,3239,3064,3401
890,3314,3148,3474
894,3389,3233,3549
898,3465,3321,3626
902,3542,3406,3701
906,3621,3490,3776
910,3700,3574,3851
914,3782,3661,3929
918,3865,3746,4007
922,3951,3832,4087
926,4039,3920,4171
930,4129,4011,4260
934,4222,4102,4350
938,4316,4195,4444
942,4413,4287,4537
946,4511,4382,4633
950,4610,4476,4729
954,4711,4571,4828
958,4813,4667,4928
962,4915,4766,5032
966,5019,4867,5138
970,5123,4967,5244
974,5227,5067,5352
978,5332,5169,5462
982,5436,5271,5572
986,5540,5375,5684
990,5645,5476,5793
994,5749,5579,5904
998,5854,5682,6015
1002,5959,5785,6125
1006,6064,5889,6235
1010,6170,5994,6345
1014,6277,6101,6456
1018,6384,6208,6566
1022,6493,6318,6678
1026,6603,6428,6789
1030,6714,6540,6901
1034,6827,6653,7014
1038,6941,6768,7128
1042,7056,6884,7244
1046,7173,7000,7361
1050,7290,7116,7479
1054,7409,7232,7597
1058,7530,7348,7717
1062,7651,7465,7840
1066,7773,7580,7963
1070,7895,7695,8087
1074,8019,7810,8214
1078,8143,7927,8344
1082,8268,8044,8475
1086,8393,8159,8606
1090,8519,8273,8738
1094,8645,8387,8872
1098,8772,8502,9009
1102,8899,8617,9147
1106,9026,8732,9287
1110,9153,8844,9425
