"sample.depths","sample.ages","Abies.balsamea","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Apiaceae","Armeria.maritima","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium","Betula","Botrychium","Brassicaceae","Caprifoliaceae.undiff.","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","cf..Oxyria.digyna","Cornus.sericea","Corylus.cornuta","Cyperaceae","Diphasiastrum.tristachyum.type","Dryas","Dryopteris","Equisetum","Ericaceae.undiff.","Eriocaulon","Fabaceae.undiff.","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Impatiens","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Lamiaceae","Larix","Lycopodiella.inundata","Lycopodium.annotinum.type","Lycopodium.clavatum","Menyanthes.trifoliata","Myrica.gale","Nemopanthus.mucronatus","Nuphar","Onagraceae","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Oxytropis.maydelliana.type","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Plantago","Poaceae","Polygonum.viviparum","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potamogetonaceae.Triglochin.undiff.","Potentilla.palustris.type","Prunus.pensylvanica","Prunus.virginiana","Quercus","Ranunculaceae.undiff.","Rhamnus.cathartica","Rosaceae.cf..Prunus.serotina","Rosaceae.undiff.","Rubiaceae","Rumex.type","Sagittaria","Salix.herbacea.type","Salix.undiff.","Salix.vestita.type","Sambucus","Saxifraga","Saxifraga.oppositifolia.type","Selaginella","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.angustifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Vaccinium","Viburnum.edule","Viburnum.lentago","Viburnum.nudum","Viburnum.opulus","Woodsia.type"
0,96,41,1,0,3,1,24,4,0,2,0,0,0,3,0,0,362,0,0,0,0,0,0,1,0,0,7,10,0,0,0,0,1,1,0,12,1,3,2,0,1,31,0,0,0,0,0,0,3,0,0,1,0,9,0,0,0,0,0,0,18,29,11,0,12,30,0,13,0,0,1,0,0,0,1,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,1,0,0,14,0,0,6,1,55,6,0,0,0,0,1,0
10,574,23,0,0,7,1,50,2,0,0,0,0,2,2,0,0,486,0,0,0,2,0,1,1,0,0,2,23,0,0,0,0,2,0,0,9,4,1,2,0,0,26,3,2,1,0,0,0,0,1,0,1,0,7,0,0,0,0,0,0,25,18,7,0,26,29,0,14,0,0,2,3,0,0,0,0,13,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,18,0,0,8,0,2,3,0,0,0,0,0,0
20,1044,18,1,0,14,2,33,2,0,0,0,0,4,4,0,0,392,0,0,0,0,0,0,3,0,0,1,19,0,0,0,0,2,0,0,18,3,0,2,0,0,27,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,19,10,5,0,21,25,0,13,0,0,0,3,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,13,0,0,0,15,2,0,5,2,3,0,0,0,0,0,0,0
30,1506,27,2,1,3,0,10,2,0,0,0,0,0,2,0,0,191,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,1,0,9,2,0,4,0,0,25,0,1,1,0,2,0,0,0,0,2,0,0,0,1,0,2,0,1,9,14,3,0,11,21,0,9,0,0,1,0,0,0,0,0,8,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,25,1,0,0,0,0,0,0
40,1960,13,0,0,3,0,20,2,0,0,0,0,0,2,0,0,253,0,0,0,2,0,0,1,0,0,0,16,0,0,0,0,0,0,0,17,1,0,3,0,0,13,1,0,0,0,1,0,2,0,0,0,0,2,0,1,0,0,0,0,8,6,2,0,10,17,0,4,0,0,0,1,0,0,0,0,4,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,11,0,0,3,1,1,0,0,0,0,1,0,0
50,2407,17,2,0,11,1,34,1,0,0,0,0,0,0,0,0,422,0,0,0,0,0,0,1,0,0,3,13,0,0,0,0,3,0,0,13,3,3,4,0,0,17,0,4,0,0,3,0,0,0,0,1,0,1,0,0,0,3,0,0,9,9,6,0,21,22,0,3,0,0,0,3,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,12,0,1,4,0,6,1,0,0,0,0,0,0
60,2846,16,0,0,5,2,24,3,0,0,0,0,1,1,0,0,285,0,0,0,0,0,0,1,0,0,2,12,1,0,0,0,1,0,0,11,5,0,0,0,0,7,0,0,0,0,2,0,1,0,0,5,0,0,0,0,0,0,0,0,9,17,2,0,21,28,0,5,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4,0,0,1,2,22,1,0,0,0,0,0,0
70,3278,22,0,0,5,1,18,1,0,0,0,0,1,0,0,0,312,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,16,2,1,1,0,0,13,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,6,12,1,0,37,32,0,7,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,2,0,4,0,25,0,0,0,0,0,0,0
80,3702,5,2,0,9,1,27,5,0,2,0,0,2,1,0,0,503,0,0,0,1,1,0,1,0,0,3,10,0,0,0,0,0,0,0,10,2,2,3,0,3,11,0,1,0,0,2,0,2,0,0,0,0,1,0,0,0,1,0,0,9,5,8,0,40,72,0,6,0,0,0,0,0,0,0,0,17,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,7,4,0,0,6,0,0,4,1,44,7,0,0,0,0,0,0
90,4118,8,1,0,6,0,24,1,0,0,0,0,1,0,0,0,237,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,1,0,0,7,4,1,1,0,0,6,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,5,6,2,0,20,17,0,5,0,0,0,1,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,4,2,0,6,0,2,0,0,0,0,0,0,0
