"sample.depths","sample.ages","Abies","Acer.negundo","Acer.saccharum","Alnus","Betula","Cupressaceae","Ephedra.torreyana.type","Ericaceae","Fagus","Larix","Ostrya","Picea","Pinus","Populus","Quercus","Salix","Sarcobatus.vermiculatus","Tsuga","Ulmus","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiineae.undiff.","Cyperaceae","Poaceae","Rosaceae","Urtica","Adiantum","Dryopteris.type","Equisetum","Lycopodium","Sphagnum","Nymphaea","Sparganium.type","Typha.latifolia"
0,-27,0,0,0,26,21,0,0,0,0,0,0,106,72,0,3,2,0,0,1,2,0,8,2,2,1,4,0,0,0,0,0,0,7,3,0,0
10,118,1,0,0,30,17,0,0,2,0,0,0,94,89,0,0,1,0,0,1,7,0,6,0,2,0,0,0,0,0,0,0,0,9,2,0,0
20,263,0,0,0,25,22,0,0,0,1,0,0,95,83,0,0,0,0,0,1,1,0,7,0,1,0,0,0,0,0,0,0,0,7,4,0,0
30,408,4,0,0,28,30,0,0,0,0,5,0,94,70,0,2,1,0,0,0,5,0,4,1,0,1,1,0,0,0,0,0,0,4,3,0,0
40,553,3,0,0,19,22,0,1,0,0,1,0,116,55,0,0,0,0,0,1,1,0,6,0,0,1,0,0,0,0,0,0,2,11,0,0,0
50,698,0,0,0,13,22,0,0,0,0,2,0,91,79,0,3,1,0,0,1,3,0,4,0,1,0,0,0,0,0,0,0,0,9,1,0,0
60,843,3,0,0,20,31,0,0,0,0,2,1,90,72,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,8,1,0,0
70,987,0,0,0,14,11,0,0,0,0,1,1,94,93,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,11,2,0,0
80,1132,2,0,0,14,15,0,0,0,0,1,0,106,80,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0
90,1277,4,0,0,11,25,0,0,0,0,1,0,90,77,0,2,2,0,0,0,1,0,4,0,1,1,0,0,0,0,0,0,0,4,1,0,0
100,1422,3,0,0,13,20,0,0,0,0,3,0,106,67,0,1,1,0,0,0,1,0,3,0,1,1,0,0,1,0,0,0,1,13,2,0,0
110,1567,3,0,0,8,18,0,0,0,0,3,0,99,76,0,1,0,0,1,0,2,0,2,0,0,0,0,0,1,1,0,0,0,5,0,0,0
120,1712,1,0,0,18,24,0,0,0,0,3,0,106,60,0,2,1,1,1,1,0,0,3,0,0,2,0,0,2,0,0,0,0,2,0,0,0
130,1857,0,0,0,11,24,0,0,0,0,1,0,96,79,0,2,1,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,6,2,0,0
235,3379,5,0,0,5,13,1,0,1,0,0,0,113,67,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0
245,3524,5,0,0,5,17,0,0,0,0,2,0,114,62,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,4,0,0,1
255,3669,4,0,0,7,13,0,0,1,0,2,0,108,73,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1
265,3814,7,0,0,7,19,0,0,0,0,0,0,118,54,0,0,0,0,1,23,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0
285,4104,1,0,0,10,22,0,0,0,0,2,0,104,70,2,0,0,0,0,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0
295,4249,6,0,0,9,21,0,0,0,0,1,0,99,72,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,5,0,0,0
305,4394,5,0,0,5,20,0,0,0,0,0,0,104,70,1,1,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,4,4,0,0,0
315,4539,6,0,0,6,23,0,0,0,0,3,0,88,79,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,1,2,0,0,2,0,0,0
320,4612,6,0,0,9,40,0,0,0,0,1,0,87,63,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,8,0,0,0
335,4829,9,0,0,4,28,1,0,0,0,0,0,84,83,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,6,0,0,0
345,4972,5,0,0,26,48,0,0,0,0,4,0,60,84,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,4,0,0,0
355,5076,4,0,0,15,31,0,0,0,0,3,0,75,85,0,2,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0
365,5180,5,0,0,30,54,0,0,0,0,6,0,48,85,0,3,0,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,2,1,0,0,0
375,5284,10,0,0,21,35,0,0,1,0,2,0,55,97,0,1,1,0,0,0,2,0,10,0,1,1,0,0,0,0,0,0,1,3,2,0,0
385,5388,8,0,0,13,42,0,0,1,0,6,0,50,89,0,3,0,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,2,5,1,0,0
395,5492,3,0,0,18,58,0,0,1,0,1,3,33,99,1,1,1,0,0,0,1,0,6,0,0,2,2,0,0,0,1,0,0,2,1,0,0
405,5596,0,0,1,23,52,0,0,0,0,1,0,39,104,0,1,3,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0
415,5700,4,0,0,14,45,0,0,0,0,1,1,48,100,0,1,0,0,0,1,1,0,5,1,1,1,0,0,0,0,2,0,0,3,0,6,0
425,5803,0,1,0,15,47,0,0,0,0,3,0,51,92,0,2,0,0,0,0,2,0,4,0,1,0,1,0,0,1,0,0,1,0,0,1,0
475,6323,6,0,0,6,23,0,0,0,0,3,0,58,108,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,2,5,0,0,0
485,6427,8,0,0,13,22,0,0,0,0,0,0,69,97,2,2,0,0,0,0,1,0,2,0,0,2,0,0,0,0,1,0,1,7,0,0,0
495,6531,5,0,0,16,59,0,0,0,0,4,0,59,71,2,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,1,3,0,0,0
505,6635,8,0,0,15,31,0,0,0,0,2,0,73,84,0,1,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,2,6,0,0,0
515,6739,5,0,0,16,50,0,0,0,0,1,0,60,85,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,2,0,2,2,0,0,0
525,6843,12,0,0,12,28,0,0,0,0,1,0,49,104,0,4,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,2,4,0,0,0
535,6947,8,0,0,11,24,0,0,0,0,1,0,62,104,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0
545,7051,5,0,0,27,50,0,0,0,0,2,0,38,103,0,0,2,1,0,1,3,0,4,0,1,0,0,0,0,0,0,0,2,1,0,0,0
555,7155,10,0,0,20,40,0,0,0,0,4,0,28,115,0,3,3,0,0,0,2,0,5,2,1,0,0,0,0,0,0,0,2,3,0,0,0
565,7259,2,0,0,19,35,0,0,0,0,3,1,43,114,0,1,1,0,0,0,0,0,4,1,1,4,0,0,0,0,0,1,0,3,0,0,0
575,7363,1,0,0,12,94,0,0,0,0,6,1,32,60,0,3,1,0,0,1,4,0,3,0,1,4,1,0,0,0,0,0,0,2,0,0,0
585,7467,0,1,0,12,82,0,0,0,0,5,0,40,66,0,2,1,0,0,2,1,0,3,0,0,6,0,1,0,1,0,0,1,6,0,0,0
595,7571,0,0,0,19,116,1,0,0,0,1,3,27,49,0,1,0,0,0,0,3,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0
605,7675,1,0,0,20,102,0,0,0,0,0,0,32,60,0,3,1,0,0,0,3,0,2,0,0,5,1,0,0,0,0,0,0,6,0,0,0
615,7778,0,0,0,26,80,0,0,0,0,2,0,41,69,0,2,1,0,0,3,1,1,8,0,0,4,1,0,0,0,0,0,0,2,0,0,0
