"sample.depths","sample.ages","Ambrosia.type","Artemisia","Betula","Cupressaceae","Cyperaceae","Ericaceae","Picea","Alnus","Pinus","Larix","Quercus","Apiaceae","Poaceae","Asteraceae.subf..Asteroideae.undiff.","Salix","Abies","Tsuga","Fagus","Amaranthaceae.undiff.","Fraxinus.pennsylvanica.type","Thalictrum","Iva.xanthifolia.type","Myrica","Populus","Carya","Rumex","Iva.annua.type","Sarcobatus.vermiculatus","Ulmus"
1,46,0.00604229607250755,0.00302114803625378,0.277945619335347,0.00302114803625378,0.102719033232628,0.00906344410876133,0.38368580060423,0.205438066465257,0.00906344410876133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,226,0.00613496932515337,0.00306748466257669,0.211656441717791,0,0.165644171779141,0.00613496932515337,0.346625766871166,0.223926380368098,0.0153374233128834,0.00613496932515337,0.00306748466257669,0.00306748466257669,0.00920245398773006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,426,0.00604229607250755,0.00604229607250755,0.24773413897281,0,0.126888217522659,0.0211480362537764,0.350453172205438,0.18429003021148,0.027190332326284,0.00302114803625378,0,0,0.0241691842900302,0.00302114803625378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,626,0,0,0.205882352941176,0,0.0911764705882353,0.0088235294117647,0.385294117647059,0.241176470588235,0.0382352941176471,0.00294117647058824,0.00294117647058824,0,0.0176470588235294,0,0.00588235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,827,0.003003003003003,0.003003003003003,0.207207207207207,0,0.069069069069069,0.009009009009009,0.474474474474474,0.18018018018018,0.018018018018018,0.021021021021021,0,0,0.006006006006006,0.003003003003003,0.006006006006006,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1027,0.00319488817891374,0.00319488817891374,0.31629392971246,0,0.0990415335463259,0.00638977635782748,0.364217252396166,0.178913738019169,0.00958466453674121,0,0,0,0.0191693290734824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1227,0,0,0.263313609467456,0,0.0650887573964497,0.0177514792899408,0.443786982248521,0.171597633136095,0.00887573964497041,0.00591715976331361,0,0,0.014792899408284,0.0029585798816568,0.00591715976331361,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1427,0,0,0.205047318611987,0.00315457413249211,0.113564668769716,0.00630914826498423,0.43217665615142,0.198738170347003,0.0220820189274448,0.0126182965299685,0.00315457413249211,0,0.00315457413249211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1627,0,0.00325732899022801,0.182410423452769,0,0.0521172638436482,0.00651465798045603,0.537459283387622,0.175895765472313,0.00977198697068404,0.00977198697068404,0,0,0.0195439739413681,0.00325732899022801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1828,0.00325732899022801,0.00651465798045603,0.198697068403909,0,0.0716612377850163,0.00977198697068404,0.534201954397394,0.146579804560261,0.0162866449511401,0.00325732899022801,0,0,0.00651465798045603,0,0,0.00325732899022801,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2028,0,0.00337837837837838,0.216216216216216,0,0.0574324324324324,0.0101351351351351,0.530405405405405,0.155405405405405,0.0101351351351351,0.00337837837837838,0,0,0.0101351351351351,0,0,0,0.00337837837837838,0,0,0,0,0,0,0,0,0,0,0,0
110,2258,0,0,0.170491803278689,0,0.039344262295082,0,0.560655737704918,0.19672131147541,0.0163934426229508,0.00655737704918033,0,0,0.00655737704918033,0,0,0,0,0.00327868852459016,0,0,0,0,0,0,0,0,0,0,0
120,2577,0,0.00290697674418605,0.238372093023256,0,0.0290697674418605,0.0232558139534884,0.38953488372093,0.287790697674419,0.00872093023255814,0.00290697674418605,0.00290697674418605,0,0.00872093023255814,0,0.00290697674418605,0,0,0.00290697674418605,0,0,0,0,0,0,0,0,0,0,0
130,2895,0,0.00325732899022801,0.172638436482085,0,0.0390879478827362,0.00325732899022801,0.521172638436482,0.250814332247557,0,0,0,0,0.00651465798045603,0,0,0.00325732899022801,0,0,0,0,0,0,0,0,0,0,0,0,0
140,3214,0,0,0.218934911242604,0,0.0236686390532544,0.00887573964497041,0.482248520710059,0.242603550295858,0.00591715976331361,0.0029585798816568,0,0,0.00591715976331361,0,0,0,0,0,0.0029585798816568,0.0029585798816568,0.0029585798816568,0,0,0,0,0,0,0,0
150,3533,0,0.00305810397553517,0.220183486238532,0,0.00611620795107034,0,0.474006116207951,0.284403669724771,0.00305810397553517,0.00305810397553517,0,0,0.00611620795107034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,3852,0,0.00584795321637427,0.116959064327485,0,0.0204678362573099,0.0087719298245614,0.485380116959064,0.333333333333333,0,0.00292397660818713,0,0,0.0204678362573099,0,0,0.00292397660818713,0,0,0.00292397660818713,0,0,0,0,0,0,0,0,0,0
170,4171,0,0,0.146103896103896,0,0.00324675324675325,0,0.496753246753247,0.318181818181818,0.0162337662337662,0.012987012987013,0,0,0,0,0.00324675324675325,0,0,0,0,0,0,0.00324675324675325,0,0,0,0,0,0,0
180,4489,0,0,0.151162790697674,0,0.00581395348837209,0,0.444767441860465,0.369186046511628,0.0116279069767442,0.00872093023255814,0,0,0.00581395348837209,0,0,0.00290697674418605,0,0,0,0,0,0,0,0,0,0,0,0,0
190,4808,0,0.00554016620498615,0.313019390581717,0,0.00554016620498615,0.00554016620498615,0.263157894736842,0.379501385041551,0.0110803324099723,0.00554016620498615,0,0,0.00831024930747922,0,0,0.00277008310249307,0,0,0,0,0,0,0,0,0,0,0,0,0
200,5127,0,0,0.297935103244838,0,0,0.0088495575221239,0.126843657817109,0.486725663716814,0.0206489675516224,0.0265486725663717,0.00294985250737463,0,0.0265486725663717,0.00294985250737463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,5434,0,0.0130718954248366,0.42483660130719,0,0.0130718954248366,0.0065359477124183,0.0980392156862745,0.437908496732026,0.00326797385620915,0,0,0,0,0,0.00326797385620915,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,5707,0,0,0.344512195121951,0,0.00914634146341463,0.0152439024390244,0.0579268292682927,0.567073170731707,0.00609756097560976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,5980,0,0.00335570469798658,0.130872483221477,0,0.0100671140939597,0.00335570469798658,0.0469798657718121,0.778523489932886,0.0100671140939597,0.00335570469798658,0,0,0.0100671140939597,0,0.00335570469798658,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,6252,0,0,0.2,0,0.0032258064516129,0,0.0129032258064516,0.767741935483871,0.0032258064516129,0,0,0,0,0,0.0032258064516129,0.0032258064516129,0,0,0,0,0,0,0.0032258064516129,0.0032258064516129,0,0,0,0,0
250,6525,0,0,0.307936507936508,0.00317460317460317,0.0222222222222222,0,0.0222222222222222,0.619047619047619,0.0158730158730159,0,0.00317460317460317,0,0,0,0.00634920634920635,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,6798,0,0.00316455696202532,0.287974683544304,0.00316455696202532,0.177215189873418,0.00949367088607595,0.0316455696202532,0.29746835443038,0.0411392405063291,0,0.00316455696202532,0,0.0759493670886076,0,0.0443037974683544,0.00316455696202532,0,0,0,0.0189873417721519,0,0,0,0.00316455696202532,0,0,0,0,0
265,NA,0.00735294117647059,0.00735294117647059,0.198529411764706,0.00735294117647059,0.099264705882353,0.0147058823529412,0.0441176470588235,0.172794117647059,0.102941176470588,0,0.00367647058823529,0,0.268382352941176,0,0.0551470588235294,0,0,0,0.00735294117647059,0,0,0,0,0.00735294117647059,0.00367647058823529,0,0,0,0
270,NA,0,0.00906344410876133,0.0906344410876133,0,0.093655589123867,0.0362537764350453,0.027190332326284,0.0664652567975831,0.027190332326284,0,0,0,0.622356495468278,0.00906344410876133,0.0120845921450151,0,0,0,0,0,0,0,0,0.00302114803625378,0,0.00302114803625378,0,0,0
275,NA,0.0149700598802395,0.0119760479041916,0.0748502994011976,0,0.0898203592814371,0.0508982035928144,0.0808383233532934,0.0329341317365269,0.116766467065868,0,0,0,0.5,0.00898203592814371,0.00598802395209581,0,0,0,0,0,0,0.0029940119760479,0.0029940119760479,0.0029940119760479,0,0,0.0029940119760479,0,0
