"sample.depths","sample.ages","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Betula","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Quercus","Taxus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Juniperus.type","Poaceae","Abies.balsamea","Acer.saccharum","Campanula.type","Carya.ovata","Pinus.banksiana.type","Pinus.strobus","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Ambrosia.type","Artemisia","Juglans.cinerea","Larix","Populus.tremuloides.type","Tilia","Rosaceae.undiff.","Dalea","Castanea.dentata","Myrica.gale","Acer.spicatum","Corylus.cornuta","Caryophyllaceae","Fabaceae.undiff.","Brassicaceae","Nemopanthus.mucronatus","Viburnum.nudum","Myosotis.type","Thalictrum","Liliaceae","Amaranthaceae","Acer.nigrum","Salix","Galium","Acer.saccharinum","Urticaceae","Carya.cordiformis","Ranunculaceae.undiff.","Pinus.resinosa.type","Mentha.type","Sambucus","Populus.deltoides.type","Viburnum.opulus","Populus.balsamifera.type","Cornus","Onagraceae.undiff.","Shepherdia.canadensis","Elaeagnus.commutata","Potentilla.palustris.type","Epilobium","Asteraceae.subf..Cichorioideae","Ephedra"
10,260,0.0091533180778032,0.0160183066361556,0.0022883295194508,0.386727688787185,0.0068649885583524,0.0045766590389016,0.0411899313501144,0.0068649885583524,0.0022883295194508,0.011441647597254,0.0022883295194508,0.0778032036613272,0.0617848970251716,0.022883295194508,0.0045766590389016,0.0022883295194508,0.0045766590389016,0.0183066361556064,0.0068649885583524,0.0251716247139588,0.0137299771167048,0.0022883295194508,0.0068649885583524,0.0022883295194508,0.185354691075515,0.011441647597254,0.0434782608695652,0.0205949656750572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,649,0,0.0241187384044527,0.00371057513914657,0.380333951762523,0.0241187384044527,0.00371057513914657,0.0463821892393321,0.0111317254174397,0.00371057513914657,0.00185528756957328,0.00371057513914657,0.0612244897959184,0.051948051948052,0.0204081632653061,0.00185528756957328,0.00185528756957328,0.0148423005565863,0.012987012987013,0.00185528756957328,0.0148423005565863,0.00927643784786642,0,0,0,0.207792207792208,0.0241187384044527,0.0352504638218924,0.00927643784786642,0.00185528756957328,0.00185528756957328,0.00185528756957328,0.00556586270871985,0.00185528756957328,0.00371057513914657,0.00371057513914657,0.00185528756957328,0.00371057513914657,0.00371057513914657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1039,0,0.0442307692307692,0.0115384615384615,0.367307692307692,0.0269230769230769,0.00576923076923077,0.0596153846153846,0.00192307692307692,0.00576923076923077,0,0,0.05,0.0615384615384615,0.0115384615384615,0,0.00192307692307692,0.0115384615384615,0.0153846153846154,0.00769230769230769,0.0115384615384615,0.0173076923076923,0,0,0.00769230769230769,0.173076923076923,0.0230769230769231,0.0519230769230769,0.0134615384615385,0,0,0,0.00384615384615385,0.00384615384615385,0,0.00192307692307692,0,0.00192307692307692,0.00192307692307692,0.00192307692307692,0.00384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1299,0.00552486187845304,0.0128913443830571,0.00368324125230203,0.43646408839779,0.0110497237569061,0,0.0478821362799263,0.0110497237569061,0,0,0,0.0405156537753223,0.0386740331491713,0.0184162062615101,0,0.00184162062615101,0.0128913443830571,0.0147329650092081,0.00368324125230203,0.00920810313075507,0.0184162062615101,0,0,0,0.116022099447514,0.0294659300184162,0.134438305709024,0.00736648250460405,0,0,0,0.00920810313075507,0.00184162062615101,0,0,0,0.00184162062615101,0.00552486187845304,0,0,0.00184162062615101,0.00184162062615101,0.00184162062615101,0.00184162062615101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1948,0.00431965442764579,0.0151187904967603,0.00431965442764579,0.49244060475162,0.0215982721382289,0.00215982721382289,0.0431965442764579,0.00863930885529158,0.00863930885529158,0.00215982721382289,0.00215982721382289,0.0172786177105832,0.0151187904967603,0.0453563714902808,0,0,0.00431965442764579,0.0453563714902808,0.00431965442764579,0.00215982721382289,0.0129589632829374,0,0,0,0.151187904967603,0.00647948164146868,0.0669546436285097,0.00215982721382289,0,0,0,0.019438444924406,0,0,0,0,0,0,0,0.00215982721382289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2598,0.00561009817671809,0.0168302945301543,0,0.357643758765778,0.0168302945301543,0.00140252454417952,0.091164095371669,0.0182328190743338,0.00841514726507714,0.00841514726507714,0,0.0196353436185133,0.0546984572230014,0.0140252454417952,0.00280504908835905,0,0.0154277699859748,0.0140252454417952,0.00561009817671809,0.0126227208976157,0.0140252454417952,0,0,0.00280504908835905,0.20617110799439,0.0210378681626928,0.0743338008415147,0.00420757363253857,0,0.00140252454417952,0,0.00981767180925666,0.00140252454417952,0,0,0,0,0,0,0,0,0,0,0,0.00140252454417952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,3247,0.00464396284829721,0.00928792569659443,0.00154798761609907,0.445820433436532,0.00773993808049536,0,0.0712074303405573,0.0170278637770898,0.00464396284829721,0.00773993808049536,0,0.0263157894736842,0.0356037151702786,0.0201238390092879,0.00309597523219814,0,0.00773993808049536,0.0386996904024768,0.00309597523219814,0.00309597523219814,0.0185758513931889,0,0.00309597523219814,0,0.147058823529412,0.0294117647058824,0.0804953560371517,0.00154798761609907,0,0,0.00154798761609907,0.00464396284829721,0.00154798761609907,0.00309597523219814,0,0,0,0,0,0,0,0,0,0,0,0.00154798761609907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3897,0.00980392156862745,0.0235294117647059,0.00196078431372549,0.401960784313726,0.0235294117647059,0.00196078431372549,0.0607843137254902,0.0215686274509804,0.00588235294117647,0.00784313725490196,0,0.0274509803921569,0.0450980392156863,0.0137254901960784,0.00196078431372549,0.00588235294117647,0.00784313725490196,0.00392156862745098,0,0.00980392156862745,0.0156862745098039,0,0.00392156862745098,0.00196078431372549,0.219607843137255,0.00980392156862745,0.0372549019607843,0.00784313725490196,0,0.00196078431372549,0.00196078431372549,0.0137254901960784,0,0,0,0,0.00196078431372549,0,0,0,0,0,0,0,0.00196078431372549,0,0.00196078431372549,0.00196078431372549,0.00196078431372549,0.00196078431372549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,4546,0.00388349514563107,0.0213592233009709,0.00388349514563107,0.469902912621359,0.0116504854368932,0.00388349514563107,0.0271844660194175,0.0116504854368932,0.00388349514563107,0.0058252427184466,0.00194174757281553,0.0135922330097087,0.0194174757281553,0.0252427184466019,0.0058252427184466,0.00194174757281553,0.00776699029126214,0.00194174757281553,0.00970873786407767,0.0058252427184466,0.0155339805825243,0,0,0,0.266019417475728,0.00194174757281553,0.0388349514563107,0.00388349514563107,0,0.00194174757281553,0,0,0.00388349514563107,0,0.00194174757281553,0,0.00194174757281553,0.00194174757281553,0,0,0,0,0,0,0,0,0.00194174757281553,0,0.00194174757281553,0,0.00194174757281553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,5196,0,0.0240549828178694,0,0.403780068728522,0.00515463917525773,0.00171821305841924,0.0360824742268041,0.0103092783505155,0,0,0.00171821305841924,0.0240549828178694,0.0652920962199313,0.0257731958762887,0,0.00171821305841924,0.0103092783505155,0.00171821305841924,0,0.013745704467354,0.0223367697594502,0,0.00171821305841924,0,0.269759450171821,0,0.0549828178694158,0.00515463917525773,0,0.00171821305841924,0,0.00687285223367698,0,0.00343642611683849,0.00171821305841924,0,0,0,0,0.00343642611683849,0,0,0.00171821305841924,0.00171821305841924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
