"sample.depths","sample.ages","upland.sum","Acer.saccharinum","Acer.saccharum","Alnus","Ambrosia","Artemisia","Betula","Ostrya.Carpinus","Carya","Celtis","Cephalanthus","Cerealia","Chenopodiaceae.Amaranthaceae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.subf..Asteroideae.undiff.","Corylus","Brassicaceae","Cyperaceae","Ephedra","Fagus","Fraxinus.americana","Fraxinus.nigra","Poaceae.undiff.","Humulus","Juglans.cinerea","Juglans.nigra","Fabaceae","Liquidambar","Nyssa","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Polygonum.amphibium","Polygonum.lapathifolium","Populus","Quercus","Rumex","Salix","Sarcobatus.vermiculatus","Juniperus.Thuja","Tilia","Tsuga","Ulmus"
1.5,2,477,1,0,0,131,7,1,1,3,0,0,0,7,0,3,0,0,35,0,0,2,0,121,3,0,0,1,0,0,1,2,0,4,1,1,0,0,4,119,5,1,1,1,2,0,19
10,209,442,0,1,4,185,3,2,0,1,1,0,3,7,0,3,1,0,84,0,0,5,0,38,0,0,2,0,0,1,0,0,1,5,0,1,0,0,1,76,3,9,0,1,0,0,4
20,452,670,0,2,2,48,4,7,4,5,1,0,1,2,0,9,0,0,76,0,2,5,3,275,0,0,2,0,1,1,0,11,14,26,0,7,0,0,0,136,0,13,0,0,0,3,10
25,573,533,0,3,1,4,1,1,0,5,0,0,0,1,0,4,0,1,193,0,0,4,2,23,0,0,2,0,1,0,0,16,24,124,0,3,1,1,0,109,0,4,0,0,0,5,0
30,694,376,0,1,0,11,2,0,0,0,0,0,0,3,0,2,0,0,77,0,0,0,0,7,0,0,0,0,0,0,1,16,4,223,0,3,0,0,0,23,0,1,0,0,0,2,0
35,816,233,1,2,0,6,0,0,0,0,0,1,0,3,2,2,0,0,129,0,0,1,0,5,0,0,0,0,0,0,0,0,4,57,0,2,0,0,0,15,0,1,0,0,0,1,1
40,937,345,0,1,0,6,1,2,1,1,0,0,0,2,0,0,1,0,31,0,1,3,2,16,0,0,1,0,1,0,0,1,13,130,0,9,0,0,0,118,0,1,0,0,0,2,1
50,1180,346,2,1,0,1,1,2,0,1,0,0,0,1,0,0,0,0,17,0,0,7,4,23,0,0,1,0,0,1,0,10,19,132,0,12,0,0,0,104,0,6,0,0,0,1,0
60,1423,345,0,2,1,5,5,1,2,1,0,0,0,0,0,5,0,0,13,0,3,7,0,10,0,1,1,0,1,0,0,5,14,90,0,4,0,0,0,168,0,4,0,0,0,1,1
70,1666,368,0,3,0,6,3,1,3,14,0,3,0,5,0,3,0,0,30,0,9,1,1,11,0,1,0,0,1,0,1,41,10,103,0,4,0,0,0,103,0,1,1,0,0,4,5
82,1957,335,0,4,1,9,1,5,1,7,0,0,0,0,0,3,0,0,8,0,1,4,2,17,0,2,1,0,0,0,0,35,18,83,0,5,0,0,0,111,0,5,0,6,0,0,6
87,2079,402,0,1,4,7,4,4,3,8,2,0,0,3,0,1,0,0,30,1,5,3,2,30,0,2,1,0,0,0,1,48,13,98,0,7,0,0,0,113,0,2,0,0,0,2,7
91,NA,357,0,5,0,5,0,1,2,6,0,1,0,2,0,1,0,0,34,0,1,1,0,7,0,0,2,0,0,0,0,44,2,152,0,3,0,0,1,82,0,1,0,1,0,1,2
95,NA,351,0,10,1,5,0,4,1,1,0,1,0,2,0,4,0,0,33,0,1,0,0,5,0,2,0,0,0,0,1,19,4,124,0,5,0,0,1,112,0,4,1,0,0,3,7
