"sample.depths","sample.ages","Acer.rubrum","Acer.saccharum","Alnus","Ambrosia","Artemisia","Betula","Botrychium","Brasenia.schreberi","Campanulaceae","Ostrya.Carpinus","Carya","Celtis","Cephalanthus","Chenopodiaceae.Amaranthaceae","Asteraceae.subf..Cichorioideae","Asteraceae.subf..Asteroideae.undiff.","Cornus","Corylus","Cyperaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Poaceae","Juglans.cinerea","Juglans.nigra","Liquidambar","Lycopodium.annotinum","Myriophyllum","Nuphar","Nymphaea","Osmunda.regalis.O..claytoniana","Pediastrum","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Polygala","Polygonum.amphibium.type","Polygonum.lapathifolium.type","Polypodiaceae","Potamogeton","Pteridium","Quercus","Rumex","Sagittaria","Salix","Sphagnum","Tilia","Tsuga","Typha.latifolia","Typha.angustifolia.Sparganium","Ulmus","Apiaceae","Indeterminable","Unknown","Charcoal"
23,538,0,1,0,81,3,2,0,1,0,0,1,2,4,8,5,0,0,1,63,0,2,0,208,0,2,0,0,1,1,1,0,1,0,3,1,9,1,3,0,0,0,2,12,2,122,2,0,4,0,0,0,51,325,9,1,63,9,5689
30,711,0,5,1,40,3,4,1,0,0,2,2,3,1,7,4,0,0,0,98,1,1,2,111,0,1,0,1,0,6,3,2,1,0,9,3,81,0,7,0,1,0,15,0,6,113,0,1,8,0,0,2,1,4,3,0,105,24,1656
40,959,0,1,0,5,1,0,0,1,0,1,4,0,2,1,4,0,0,0,96,0,1,2,74,0,0,0,0,0,9,1,0,0,0,13,9,110,0,1,0,0,1,38,1,4,55,0,1,0,0,0,0,0,0,1,0,53,7,615
60,1456,0,6,3,7,3,2,0,6,1,0,5,1,0,1,0,1,0,0,82,2,4,0,92,1,0,0,0,0,7,2,0,7,1,35,7,170,0,1,1,0,0,12,0,5,61,0,1,1,0,1,2,0,0,1,0,53,5,239
80,1952,0,4,0,6,2,2,0,3,0,0,3,0,1,2,0,0,0,0,46,0,1,1,47,0,0,0,0,0,2,0,1,1,0,40,10,204,0,3,0,0,0,8,1,1,32,0,0,0,0,0,1,1,0,2,0,62,6,553
82,2002,1,2,1,6,1,6,0,38,0,6,8,0,1,5,6,0,0,0,22,14,4,0,576,1,1,0,0,0,11,8,0,8,0,25,14,42,0,4,0,0,0,1,0,1,150,0,2,0,1,0,1,0,0,7,0,20,7,732
87,2126,0,5,1,10,3,6,0,48,0,4,10,0,0,0,4,0,2,0,26,6,4,3,605,1,3,0,0,0,17,15,0,14,0,30,8,38,0,4,0,0,0,3,0,0,169,0,0,1,0,0,0,0,1,11,1,15,18,539
97,2374,0,2,0,10,3,5,0,32,0,6,12,0,0,2,2,1,0,0,17,7,11,1,342,5,1,0,0,1,6,6,0,10,1,32,18,29,0,5,0,0,0,6,2,4,152,0,4,3,1,0,1,4,0,5,0,7,3,644
104.5,NA,0,2,0,3,4,2,0,0,0,1,3,0,0,1,5,0,0,0,12,2,4,1,14,1,3,1,0,0,2,2,0,0,0,24,12,107,0,3,0,0,0,3,0,0,114,0,0,2,0,1,0,0,0,11,0,17,13,389
107,NA,0,1,1,6,2,0,0,2,0,1,3,0,0,0,3,0,0,0,12,0,1,0,6,0,1,1,0,0,1,0,0,0,1,24,3,154,0,1,0,0,0,13,1,2,23,0,0,0,0,0,1,1,0,5,0,18,8,454
