"sample.depths","sample.ages","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Alnus","Ambrosia","Artemisia","Betula","Brasenia.schreberi","Ostrya.Carpinus","Carya","Celtis","Cephalanthus","Chenopodiaceae.Amaranthaceae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.subf..Asteroideae.undiff.","Corylus","Cyperaceae","Equisetum","Fagus","Fraxinus.americana","Fraxinus.nigra","Poaceae","Ilex.Nemopanthus","Juglans.cinerea","Juglans.nigra","Lamiaceae","Fabaceae","Liquidambar","Morus","Myriophyllum","Nuphar","Nymphaea","Nyssa","Ophioglossum","Osmunda.cinnamomea","Osmunda.regalis.O..claytoniana","Pediastrum","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Polygonum.lapathifolium","Polypodiaceae","Populus","Portulacaceae","Potamogeton","Pteridium","Quercus","Rosaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Thalictrum","Juniperus.Thuja","Tilia","Tsuga","Typha.latifolia","Typha.angustifolia.Sparganium","Ulmus","Apiaceae","Utricularia","Viburnum","Vitis","Indeterminable","Unknown","Charcoal"
1.5,0,0,1,1,1,113,6,5,4,1,1,2,20,2,1,2,0,15,1,1,5,1,192,0,0,0,0,2,0,0,0,25,1,2,0,0,0,1,0,2,1,4,1,2,1,1,3,2,1,0,170,0,0,2,9,0,1,0,0,0,10,23,8,0,0,0,0,15,7,2004
10,195,0,1,0,1,86,3,5,18,6,1,3,4,4,0,7,2,30,8,4,5,1,194,0,3,0,0,0,0,1,0,15,8,0,0,0,0,1,1,1,4,15,1,3,1,7,1,0,0,1,136,0,8,1,3,0,0,0,0,1,1,5,8,1,0,1,0,12,17,1795
20,424,0,0,1,4,89,6,5,20,8,6,1,1,2,2,1,0,23,0,3,6,1,189,0,0,2,1,0,0,1,0,14,9,0,0,0,0,7,0,5,3,10,1,6,0,7,1,1,0,1,136,0,3,3,3,1,0,0,0,1,4,5,9,0,0,0,0,14,4,1940
30,653,0,0,2,1,77,2,9,19,11,10,0,3,4,0,4,3,21,0,5,4,0,160,1,1,1,0,0,2,0,0,15,9,0,0,0,0,1,0,6,6,15,0,4,1,2,0,3,0,1,131,1,1,6,4,0,0,0,0,2,1,6,11,0,0,0,0,20,9,1083
40,882,0,0,2,3,9,5,5,39,6,10,0,2,2,0,3,0,12,0,6,4,2,211,0,2,2,0,0,1,1,0,10,13,0,0,0,0,15,0,9,8,37,0,2,1,4,2,0,1,2,155,0,0,3,6,0,1,0,0,2,1,0,18,0,0,0,0,14,1,573
50,1112,1,0,1,4,14,5,5,33,1,6,1,1,1,0,6,0,30,0,9,3,2,221,0,4,1,0,0,0,0,0,10,15,0,0,0,1,15,0,7,13,34,0,1,0,1,0,0,0,1,174,0,0,5,2,0,0,0,1,2,1,1,11,0,0,0,0,13,13,403
60,1341,1,0,4,1,10,2,2,37,2,11,0,0,1,0,3,1,19,1,11,2,1,225,1,0,3,0,0,0,0,0,15,6,2,0,0,0,19,0,17,13,29,0,4,0,2,0,0,1,2,175,0,0,5,1,0,0,0,0,1,2,0,6,0,1,0,0,20,3,568
70,1570,0,0,5,1,11,2,10,41,5,4,0,1,1,0,3,0,20,0,8,5,2,195,0,0,2,0,0,0,0,1,8,14,0,0,0,0,10,0,12,9,21,0,0,0,5,1,0,0,0,188,0,0,5,0,0,1,1,0,1,0,0,7,1,0,0,0,13,5,592
80,1799,0,6,6,0,4,3,8,38,1,4,0,0,1,0,2,0,26,0,9,3,1,246,0,1,4,0,0,0,0,1,15,14,0,0,0,0,17,0,12,28,37,0,4,0,5,0,0,0,0,172,0,0,4,1,0,0,1,0,2,0,0,3,0,0,0,0,17,9,427
88,1982,0,0,3,1,6,3,8,28,3,12,1,1,2,0,7,1,22,0,9,5,1,227,0,2,0,0,0,1,0,0,12,6,1,1,2,0,9,0,19,16,28,0,1,0,4,0,0,0,1,178,0,0,0,0,0,1,0,1,1,0,1,7,0,1,0,1,9,6,557
100,2257,0,1,4,1,6,5,7,65,1,14,0,1,0,0,5,0,23,0,10,6,2,232,0,0,2,0,0,0,0,1,7,10,0,0,0,0,14,0,9,22,40,0,2,0,0,0,0,0,1,168,0,0,4,2,0,0,0,0,0,0,0,8,0,1,0,0,20,6,345
110,2486,0,0,1,1,15,6,3,44,2,7,0,2,2,0,3,0,22,1,10,4,0,203,0,2,8,0,0,0,0,0,4,13,0,0,0,0,22,0,12,8,45,0,2,0,6,1,0,1,1,169,0,0,3,1,0,0,0,1,0,0,0,4,1,0,0,0,7,9,451
120,2715,0,0,5,3,9,3,4,53,7,11,2,1,1,0,5,0,21,0,2,2,2,212,0,1,3,0,1,0,0,0,4,9,0,0,0,0,26,1,8,18,35,0,3,0,1,1,0,0,0,168,0,0,4,0,0,0,0,3,0,0,1,16,0,2,0,0,17,7,579
130,2944,0,1,0,5,4,6,7,27,1,10,0,0,2,0,4,0,21,0,6,2,2,128,0,3,1,0,0,0,0,0,1,4,0,0,0,0,17,0,14,12,63,0,3,1,8,0,0,0,0,178,0,0,1,0,0,0,0,0,1,2,1,9,1,0,0,0,5,20,578
140,3174,0,0,1,1,4,2,1,0,0,3,0,0,1,1,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,176,0,0,0,23,0,0,0,1,19,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,13,1793
