"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fraxinus.undiff.","Juglans.cinerea","Larix","Asteraceae.subf..Cichorioideae","Picea","Quercus","Salix","Sarcobatus.vermiculatus","Tilia","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Ephedra.torreyana.type","Fraxinus.americana.type","Pinus","Populus","Poaceae","Acer.saccharum","Fraxinus.nigra","Impatiens","Thalictrum","Rosaceae","Abies","Ostrya.Carpinus","Acer.negundo","Rumex","Iva.xanthifolia","Carya","Iva.annua","Ephedra.nevadensis.type","Xanthium","Acer.rubrum","Dalea.purpurea","Tsuga","Platanus","Amorpha","Lamiaceae","Ranunculus","Fagus","Juglans.nigra","Dalea.candida.type","Plantago","Apiaceae","Brassicaceae","Shepherdia.argentea","Celtis","Shepherdia.canadensis","Ericaceae"
1,1,358,6,56,16,3,3,4,4,1,2,1,3,26,1,1,1,1,6,14,24,1,3,172,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,26,375,7,26,11,3,5,5,3,0,2,0,6,28,4,0,0,3,2,15,35,0,1,193,7,12,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,39,327,7,25,12,4,0,4,2,0,4,0,4,11,3,0,0,2,0,18,22,0,0,198,1,5,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,52,381,7,24,5,3,3,3,3,0,4,0,6,8,0,0,0,1,4,10,13,0,3,267,2,5,3,0,0,1,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,64,330,5,23,3,1,0,0,1,0,3,0,2,13,0,0,0,1,2,17,12,0,1,238,0,5,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,122,306,5,23,2,0,0,4,1,0,2,0,1,7,0,0,0,3,1,7,4,0,0,228,3,8,2,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,327,352,7,19,1,3,0,0,2,0,4,0,10,14,0,0,0,1,2,5,4,0,2,263,1,1,0,0,0,2,0,2,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,533,340,7,27,0,2,2,1,2,0,1,0,8,10,3,1,1,0,3,16,5,0,2,235,2,3,2,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,738,358,8,15,0,3,1,4,1,0,2,0,7,9,2,1,0,2,3,12,7,0,1,271,1,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,943,389,11,24,0,2,1,4,0,0,3,0,2,14,0,0,0,1,0,14,6,0,0,292,2,7,2,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,1148,387,7,16,0,5,1,6,27,0,2,0,7,7,2,0,0,2,3,8,4,0,0,271,2,6,0,1,0,1,0,2,3,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,1354,338,12,22,1,1,1,5,0,1,6,0,9,17,0,0,1,3,1,9,3,0,1,236,2,2,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
