"sample.depths","sample.ages","Acer","Alnus","Ambrosia","Arceuthobium","Asteraceae..high.spine.","Asteraceae..low.spine.","Betula","Brassicaceae","Carya","Caryophyllaceae","Castanea","Cephalanthus","Chenopodiaceae.Amaranthaceae","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fagus","Fraxinus","Galium","Hypericum","Ilex","Juglans","Larix","Morus","Myrica","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Poaceae","Polygonum","Quercus","Rhus","Rosaceae.trees","Rumex","Salix","Thalictrum","Tilia","Tsuga","Ulmus","Vitis"
1,-14,0.010752688172043,0,0.0150537634408602,0,0,0.0021505376344086,0.0795698924731183,0.0021505376344086,0.0021505376344086,0,0,0,0,0,0,0.0043010752688172,0.0537634408602151,0.0021505376344086,0.0129032258064516,0,0.219354838709677,0,0.0043010752688172,0,0,0.0021505376344086,0.0021505376344086,0,0,0.0236559139784946,0.0989247311827957,0.208602150537634,0.0064516129032258,0.0365591397849462,0,0.197849462365591,0,0,0,0,0,0,0.0129032258064516,0.0021505376344086,0
11,277,0.00967741935483871,0.0129032258064516,0.067741935483871,0,0,0.0193548387096774,0.161290322580645,0.0032258064516129,0.0064516129032258,0,0.00967741935483871,0.0064516129032258,0,0.0161290322580645,0.0193548387096774,0.0516129032258065,0.0225806451612903,0.0161290322580645,0.0032258064516129,0,0,0.00967741935483871,0,0,0,0.0129032258064516,0,0,0.0064516129032258,0.0064516129032258,0.032258064516129,0.12258064516129,0,0.17741935483871,0,0.180645161290323,0,0,0.0032258064516129,0,0,0,0.0193548387096774,0.0032258064516129,0
21,567,0.018796992481203,0.0037593984962406,0.0225563909774436,0,0.018796992481203,0.0714285714285714,0.0413533834586466,0,0,0,0,0,0,0.018796992481203,0.0112781954887218,0.191729323308271,0.0112781954887218,0.0300751879699248,0.0037593984962406,0,0.0037593984962406,0,0.0037593984962406,0,0,0.018796992481203,0,0,0.0075187969924812,0.0150375939849624,0.0225563909774436,0.139097744360902,0,0.0676691729323308,0,0.221804511278195,0,0,0.0075187969924812,0,0,0,0.0451127819548872,0.0037593984962406,0
25,683,0.00943396226415094,0.0125786163522013,0,0,0,0.0377358490566038,0.059748427672956,0,0.0188679245283019,0,0,0.00628930817610063,0,0.00943396226415094,0,0.172955974842767,0.00314465408805031,0.0251572327044025,0.00628930817610063,0.00314465408805031,0,0.00314465408805031,0,0,0,0,0.00314465408805031,0,0,0.0188679245283019,0.0125786163522013,0.179245283018868,0,0.122641509433962,0,0.254716981132075,0,0,0,0.00314465408805031,0,0,0.0251572327044025,0.0125786163522013,0
29,800,0.0124610591900312,0.00623052959501558,0.00934579439252336,0,0,0.0373831775700935,0.0529595015576324,0,0.0186915887850467,0,0,0.0965732087227414,0,0.00934579439252336,0,0.0404984423676012,0.00623052959501558,0.0218068535825545,0.00311526479750779,0,0,0.00311526479750779,0,0,0,0.00934579439252336,0,0.00311526479750779,0,0.00934579439252336,0.0124610591900312,0.087227414330218,0,0.146417445482866,0.00311526479750779,0.38006230529595,0,0,0,0.00311526479750779,0,0,0.0249221183800623,0.00311526479750779,0
33,916,0.0101781170483461,0.0279898218829517,0.00508905852417303,0.00254452926208651,0,0.0432569974554707,0.104325699745547,0,0.0101781170483461,0,0.00254452926208651,0.119592875318066,0,0.0127226463104326,0,0.0178117048346056,0.0127226463104326,0.0356234096692112,0.00254452926208651,0,0,0.00254452926208651,0,0,0,0.0152671755725191,0.00254452926208651,0.00508905852417303,0.00254452926208651,0.00508905852417303,0.00763358778625954,0.0585241730279898,0,0.11704834605598,0,0.320610687022901,0,0.00254452926208651,0,0.0254452926208651,0.00254452926208651,0,0.0203562340966921,0.00508905852417303,0
37,1032,0.00236406619385343,0.016548463356974,0,0,0,0.0401891252955083,0.0803782505910166,0,0.00709219858156028,0,0,0.1725768321513,0,0.00709219858156028,0,0.0118203309692671,0.00472813238770686,0.0260047281323877,0.00236406619385343,0,0,0,0.00472813238770686,0,0,0.00709219858156028,0.00945626477541371,0,0,0.00236406619385343,0.00709219858156028,0.0898345153664303,0,0.177304964539007,0.00236406619385343,0.283687943262411,0,0,0,0.0260047281323877,0,0,0.016548463356974,0.00236406619385343,0
41,1148,0.0151975683890578,0.0182370820668693,0,0,0,0.0060790273556231,0.0486322188449848,0,0.0060790273556231,0,0,0.0516717325227964,0,0.0151975683890578,0,0.0425531914893617,0.033434650455927,0.0790273556231003,0.00911854103343465,0,0,0,0,0,0,0.00911854103343465,0.00911854103343465,0.00303951367781155,0,0.0121580547112462,0.0060790273556231,0.148936170212766,0,0.115501519756839,0.00303951367781155,0.337386018237082,0,0,0,0.0151975683890578,0,0,0.0121580547112462,0.00303951367781155,0
45,1264,0.0119521912350598,0.0099601593625498,0.00199203187250996,0,0,0.0219123505976096,0.115537848605578,0,0.0159362549800797,0,0.00199203187250996,0.097609561752988,0,0.0099601593625498,0,0.0199203187250996,0.0179282868525896,0.0318725099601594,0.00398406374501992,0,0,0,0,0,0,0.0119521912350598,0.00597609561752988,0.00199203187250996,0.00199203187250996,0,0.00597609561752988,0.0796812749003984,0.00398406374501992,0.113545816733068,0,0.356573705179283,0.00199203187250996,0,0,0.0239043824701195,0,0.00199203187250996,0.0278884462151394,0.00199203187250996,0
48,1352,0.0118577075098814,0.0138339920948617,0,0,0,0.0197628458498024,0.0810276679841897,0.00395256916996047,0.00395256916996047,0,0.00197628458498024,0.0889328063241107,0.00197628458498024,0.00790513833992095,0.00197628458498024,0.0869565217391304,0.00197628458498024,0.0217391304347826,0.0158102766798419,0,0,0,0.00592885375494071,0,0.00197628458498024,0.0217391304347826,0.00197628458498024,0.00197628458498024,0.00395256916996047,0.0276679841897233,0.0158102766798419,0.0889328063241107,0,0.132411067193676,0.00197628458498024,0.270750988142292,0,0,0.00395256916996047,0.0118577075098814,0,0,0.0375494071146245,0.00790513833992095,0
