"depth","best.age","min.age","max.age"
10,215,116,314
50,505,380,629
85,790,622,955
110,1011,825,1189
140,1296,1106,1476
190,1814,1648,1980
210,2035,1883,2190
250,2497,2370,2624
290,2982,2874,3093
310,3231,3127,3336
350,3738,3633,3838
390,4251,4144,4357
410,4508,4399,4615
450,5018,4908,5127
470,5270,5161,5378
490,5519,5413,5625
510,5764,5661,5867
550,6239,6142,6335
590,6692,6599,6785
610,6909,6814,7002
650,7323,7223,7423
690,7710,7599,7821
710,7893,7777,8012
750,8240,8112,8369
790,8566,8430,8699
810,8723,8587,8857
850,9030,8895,9162
890,9337,9209,9466
910,9494,9369,9622
950,9828,9700,9954
980,10103,9971,10235
1010,10410,10269,10551
1050,10887,10728,11045
1090,11467,11292,11643
1110,11806,11624,11991
1130,12183,11995,12378
1150,12603,12406,12808
1185,13458,13224,13692
1215,14331,14022,14606
1225,14654,14308,14948
1240,15172,14755,15500
1255,15732,15222,16103
1270,16337,15716,16766
1290,NA,NA,NA
1310,NA,NA,NA
1350,NA,NA,NA
1390,NA,NA,NA
1410,NA,NA,NA
1450,NA,NA,NA
1490,NA,NA,NA
