"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Adiantum","Alisma","Allium","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Amelanchier.type","Amorpha.type","Anemone.canadensis.type","Apiaceae","Aquilapollenites","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.tribe.Cynareae","Athyrium.filix.femina","Avena.type","Avena.Triticum","Betula","Brasenia.schreberi","Brassica","Brassicaceae.undiff.","Campanula.rotundifolia.type","Carya","Caryophyllaceae.undiff.","Ceanothus","Celtis","Cephalanthus","Cerealia.undiff.","cf..Parnassia","Corylus","Cupressaceae","Cyperaceae","Dalea.candida","Dalea.purpurea.type","Dalea.undiff.","Dryopteris.type","Engelhardtia.type","Ephedra.trifurca.type","Ephedra.viridis.type","Equisetum","Ericaceae","Euphorbia","Fabaceae.undiff.","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica","Fraxinus.undiff.","Galium","Gaura","Humulus","Huperzia.lucidula","Indeterminable","Isoëtes","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Larix","Lemna","Liliaceae.undiff.","Lycopodiaceae.undiff.","Lycopus.type","Morus","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Parthenocissus","Pediomelum.type","Phlox","Picea","Pinaceae..vesiculate..undiff.","Pinaceae.undiff.","Pinus.edulis.type","Pinus.subg..Pinus","Pinus.subg..Strobus.undiff.","Pinus.undiff.","Plantago.major.type","Plantago.undiff.","Platanus","Poaceae.undiff.","Polygonum.amphibium","Polygonum.aviculare.type","Polygonum.bistortoides.type","Polygonum.lapathifolium.type","Populus.balsamifera.type","Populus.tremuloides.type","Potamogeton","Prunus.type","Pteridium.type","Quercus","Ranunculaceae..pericolpate.","Ranunculaceae..tricolpate..undiff.","Ranunculaceae.undiff.","Rhus","Rosaceae.undiff.","Rumex","Ruppia.maritima","Sagittaria","Salix","Salsola","Sanguisorba","Sarcobatus.vermiculatus","Secale.type","Selaginella.densa.type","Shepherdia.argentea","Shepherdia.canadensis","Sparganium.type","Sphaeralcea","Sphagnum","Stellaria","Stuckenia","Symphoricarpos.type","Thalictrum","Tidestromia.type","Tilia","Triticum.type","Tsuga","Typha.latifolia","Ulmus","Unknown","Unknown..monolete..undiff.","Unknown..trilete..undiff.","Unknown.undiff.","Urtica.type","Utricularia","Viburnum.lentago","Vitis","Xanthium","Zea.mays","Zigadenus"
1296,-32,0,3,0,0,0,0,0,0,6,1,71,97,0,0,0,0,0,55.5,8,4,1,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0,4,1,22,1,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,2,0,2,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21.5,0,0,1,88,0,0,0,0,0,4,1,0,0,17,0,0,0,0,2,0,12,0,7,12,0,1,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,0,2,0,0
1304,-16,0,6,0,0,0,0,0,0,2,1,55,123,0,0,0,0,0,37.5,8,1,0,0,0,0,5,0,0,4,0,0,0,1,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,1,0,3,7,0,0,0,1,0,2,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,47,0,0,0,71,0,0,0,0,0,0,0,0,0,24,0,0,0,0,2,3,1,0,4,21,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,1,9,0,0,1,0,0,0,0,0,1,0,0
1312,1,0,5,0,0,0,0,0,0,8,1,24,73,0,0,0,0,0,46.5,14,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,2,0,12,0,3,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,3,0,1,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,3,0,36,4,0,0,52,0,0,0,0,0,1,0,0,0,15,0,0,0,0,6,1,13.5,0,4,62,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0,7,0,0,1,0,1,0,0,0,1,0,0
1320,18,1,3,0,0,1,0,0,0,10,0,117,163,0,0,0,3,0,76,21,2,0,0,5,0,6,0,4,5,0,0,0,0,0,0,0,0,2,4,45,0,1,0,1,0,0,0,0,0,0,1,0,6,2,0,0,0,0,0,8,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,1,2,38,0,0,0,100,0,0,0,0,0,0,3,0,0,23,0,0,0,0,8,1,10,0,1,45,0,1,0,3,0,0,3,0,0,0,1,0,0,0,0,10,0,4,4,0,0,0,0,0,0,0,0,18,1,0
1324,26,0,3,0,0,0,0,0,0,23,0,44,122,0,0,0,0,0,71,20,0,0,0,6,3,4,0,2.5,1,0,0,0,0,0,0,2,0,2,5,36,0,0,0,3,0,0,0,0,0,0,1,0,4,2,0,0,0,0,0,2,0,1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24.5,0,1,0,60,0,2,0,0,0,1,0,0,0,19,0,1,0,0,0,2,11,1,2,62,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,7,2,0,3,0,0,0,0,0,1,2.5,0
1328,35,0,2,0,1,0,0,0,0,4,0,33,55,0,1,0,0,0,73,6,0,0,0,6,3,3,0,2,2.5,0,0,0,0,0,0,1,0,0,5,21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,41,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,17,0,1,0,57,0,0,0,0,0,1,0,0,0,9,0,0,0,0,3,1,1,0,0,43,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,3,0,0,0,0,0,3,3,0
1332,43,0,1,0,0,0,0,0,1,9,0,52,73.5,0,1,0,0,0,86.5,26,0,0,0,4,1,10,0,0,1,0,0,0,0,0,0,0,0,0,7,36,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,15,0,0,0,1,0,0,0,2,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,51,0,1,0,87,0,1,0,0,0,0,0,0,0,15,0,2,0,0,0,4,6.5,0,8,25,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,9,2,0,2,0,0,0,0,0,3,2,0
1336,51,0,0,0,0,0,0,0,0,3,5,49,52,0,1,0,0,1,130,24,0,0,0,7,0,8,0,0,0,0,0,0,0,0,0,1,0,4,2,29,2,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,4,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,1,62,0,0,1,89,0,0,0,0,0,1,1,0,1,20,0,0,0,0,1,1,2,0,3,19,0,3,0,0,0,0,2,0,0,0,0,0,7,0,0,15,0,0,2,0,0,1,0,0,0,0,0,0,0,0
1340,60,0,1,0,0,0,0,0,0,13,1,20,25,0,2,0,0,0,87.5,16,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,56,0,0,0,9,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,1,0,1,4,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0.5,0,0,0,1,1,35.5,0,0,0,116,0,0,0,0,0,0,1,0,0,13,0,1.5,0,0,0,1,65.5,1,3,1,0,2,1,0,0,0,1,0,0,0,9,0,0,0,0,1,0,0,5,0,0,4,0,0,0,0,0,0,1,0
1344,78,0,0,0,0,0,0,0,0,11,0,12,20,0,0,0,0,0,103,14,0,0,0,0,0,11,1,0,4,0,0,0,0,1,0,0,0,1,1,26,0,2,0,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,3,0,0,0,2,2,32,0,0,0,134,0,0,0,0,0,1,0,0,0,13,0,0,0,0,2,1,56,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2,2,0,0,5,1,0,0,0,0,1,0,0
