"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Amaranthaceae.undiff.","Cyperaceae","Picea","Quercus","Salix","Sarcobatus.vermiculatus","Tsuga","Alnus","Ambrosia","Poaceae","Humulus","Pinus.banksiana.P..resinosa","Cupressaceae","Ericaceae","Larix","Asteraceae.subf..Asteroideae.undiff.","Myrica","Abies","Ulmus","Corylus","Ostrya.Carpinus","Thalictrum","Populus","Fraxinus.nigra","Fraxinus.americana.type","Apiaceae","Juglans.cinerea","Iva.annua","Rosaceae","Iva.xanthifolia","Xanthium","Caryophyllaceae","Elaeagnus","Shepherdia.canadensis","Carya","Ephedra.torreyana.type","Ranunculus"
1,31,300,8,15,2,2,50,2,2,2,1,25,3,3,1,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,570,300,3,29,1,2,38,0,1,0,0,27,1,6,0,185,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1169,300,1,26,1,3,39,5,1,1,0,38,2,1,0,176,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1767,300,6,43,0,0,27,2,2,0,0,44,1,6,0,164,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2366,300,6,41,0,0,26,1,0,0,0,39,3,3,0,176,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2964,302,9,34,2,1,44,2,0,0,0,45,2,3,0,149,2,1,2,1,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,3563,300,14,45,2,0,22,3,2,0,0,68,3,4,0,132,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,4161,300,7,50,1,1,19,0,2,0,0,58,2,6,0,142,0,3,2,1,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,4760,300,9,61,2,0,29,0,0,2,0,59,2,4,0,124,0,1,0,2,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
90,5359,301,9,62,3,0,22,3,2,0,0,57,2,3,0,134,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,5957,300,3,39,1,1,26,4,0,0,0,42,6,6,0,163,0,1,1,0,1,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6556,300,8,75,7,1,27,2,1,0,0,67,4,2,0,100,1,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,6967,301,9,44,5,1,12,2,2,0,0,63,4,4,0,148,0,0,0,2,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,7192,300,10,52,4,1,16,3,4,0,0,52,5,11,0,132,5,0,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
140,7417,300,7,64,5,2,6,1,1,1,0,48,10,3,0,143,3,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
150,7641,300,13,57,3,3,11,2,0,0,0,35,13,4,0,150,5,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,7866,300,18,48,4,2,10,2,0,2,0,40,17,9,0,136,1,1,1,3,0,0,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
170,8091,300,14,90,7,0,13,5,6,0,0,41,12,6,0,92,3,0,2,3,0,0,1,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0
180,8316,300,6,60,6,1,10,3,4,0,0,48,17,5,0,126,9,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
190,8540,300,4,79,7,0,10,4,4,2,0,31,11,10,0,130,1,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
200,8765,300,5,53,4,2,12,1,2,1,0,45,3,4,0,155,2,0,2,0,2,0,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
210,8990,300,9,69,8,1,15,1,1,1,0,73,10,3,0,106,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,9214,300,11,89,3,0,27,1,2,0,0,72,5,4,0,82,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
230,9439,299,25,127,18,0,19,3,5,1,0,24,15,4,0,39,2,0,0,4,8,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0
240,9664,301,16,83,3,5,38,1,1,3,0,5,4,2,0,119,6,0,4,2,4,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0
250,9889,300,21,70,3,10,73,4,4,0,0,2,8,5,0,54,13,0,4,3,2,0,3,0,0,0,19,0,1,0,0,0,1,0,0,0,0,0,0,0,0
260,10113,300,24,55,7,8,71,4,5,2,0,0,7,6,0,47,18,1,7,3,9,0,6,0,0,0,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0
265,NA,300,42,54,8,5,24,6,5,0,0,2,16,7,0,41,10,0,2,3,37,1,7,0,2,0,25,0,0,0,0,1,0,0,0,0,1,0,1,0,0
270,NA,300,32,16,9,27,27,4,7,1,0,2,9,4,0,72,15,1,0,1,42,0,6,0,0,0,23,0,0,0,1,0,0,0,0,0,0,1,0,0,0
275,NA,299,24,23,7,23,33,12,0,0,0,3,8,3,0,108,5,0,0,2,9,0,18,0,1,1,15,0,0,0,0,0,0,0,0,0,0,2,0,1,1
