"depth","best.age","min.age","max.age"
1,-20,-30,-11
5,32,21,41
10,97,84,109
12,123,109,136
13,136,122,150
15,162,146,177
20,226,207,245
30,356,327,381
40,486,449,519
50,616,568,655
60,745,689,793
70,875,810,931
80,1005,930,1068
90,1135,1049,1205
95,1200,1110,1274
100,1264,1170,1343
110,1394,1290,1480
115,1459,1350,1549
120,1524,1410,1618
128,1628,1506,1727
129,1641,1518,1741
130,1654,1531,1756
131,1667,1543,1770
132,1680,1555,1783
134,1706,1579,1811
136,1731,1603,1838
138,1757,1626,1865
140,1783,1651,1893
142,1809,1675,1921
146,1861,1722,1975
150,1913,1771,2031
155,1978,1831,2099
160,2043,1891,2168
165,2108,1951,2237
170,2173,2012,2306
180,2302,2131,2443
190,2432,2252,2581
195,2497,2311,2649
210,2692,2492,2856
226,2899,2684,3076
