"sample.depths","sample.ages","Sample.volume..ml.","Eucalyptus.suspension..volume.added..ml.","Eucalyptus.suspension..concentration..grains.ml.","Eucalyptus.spike..number.counted.","Picea","Pinus.strobus","Pinus.banksiana","Pinus.undiff.","Abies","Tsuga","Larix","Thuja","Betula","Populus","Quercus","Ulmus","Fagus","Carya","Acer","Fraxinus","Tilia","Juglans","Ostrya.Carpinus","Castanea","Other.trees","Juniperus.type","Juniperus.Thuja","Alnus.undiff.","Alnus.viridis.subsp..crispa","Alnus.incana","Salix","Corylus","Elaeagnus","Shepherdia.argentea","Shepherdia.canadensis","Myrica","Cornus","Other.shrubs","Ericaceae","Poaceae","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Ambrosia","Artemisia","Rubus","Chenopodiaceae","Apiaceae","Fabaceae","Dryas","Potentilla","Rosaceae.undiff.","Saxifragaceae","Caryophyllaceae","Ranunculaceae.undiff.","Thalictrum","Caltha","Polygonum","Urticaceae","Oxyria.Digyna","Rumex","Iris.versicolor","Plantago","Other.herbs","Isoëtes","Lycopodiaceae.undiff.","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodiella.inundata","Huperzia.lucidula","Lycopodium.obscurum","Equisetum","Pteridophyta.undiff.","Botrychium","Pteridium","Polypodiaceae","Other.ferns","Unknown","Cyperaceae","Typha","Sparganium","Potamogeton","Nuphar","Nymphaea","Myriophyllum","Sphagnum","Bryophyta.undiff.","Menyanthes.trifoliata","Osmunda","Callitriche","Nymphoides","Dryopteris","Eriocaulon.aquaticum","Other.aquatics","Stratiotes.aloides","X.s.Pollen.Sum"
0,-40,1,0,115400,228,57,18,8,7,32,6,4,0,71,1,11,3,6,1,1,1,0,0,2,1,0,0,0,0,7,11,0,1,0,0,0,9,0,0,6,54,2,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,17,0,0,2,0,1,0,7,1,0,0,11,0,3,3,1,0,0,2,0,0,12,0,0,4,0,0,0,1,0,0,346
12,112,1,0,119000,144,113,13,7,8,60,6,0,0,80,0,5,1,4,0,1,3,0,0,0,0,0,0,0,0,16,8,2,0,0,0,0,5,0,0,1,19,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,10,0,0,0,0,0,0,0,0,0,0,4,0,6,2,0,0,0,0,4,0,5,0,2,0,0,0,0,0,0,0,371
32,366,1,0,119000,123,133,37,5,6,83,17,1,0,65,0,8,0,5,1,1,1,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,5,0,0,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,392
52,619,1,0,119000,114,98,29,10,3,36,24,2,0,90,1,8,1,9,1,0,2,0,0,0,0,0,0,0,0,5,6,2,1,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,12,0,0,0,0,0,0,4,1,0,0,4,0,3,0,0,0,0,1,2,0,7,0,0,1,0,0,0,0,0,0,339
72,873,1,0,119000,159,63,30,3,10,50,20,3,0,106,0,7,0,14,1,3,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,14,0,1,0,0,0,0,2,1,0,0,5,0,4,0,0,0,0,0,1,0,9,0,0,0,0,0,0,2,0,0,329
82,1000,1,0,119000,149,106,48,4,6,68,28,6,0,143,0,10,0,20,1,2,2,0,0,1,0,0,0,0,0,3,7,1,0,0,0,0,6,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,21,0,0,1,0,1,0,5,0,0,0,9,0,5,0,0,0,0,0,1,0,8,0,1,4,0,0,0,3,0,0,477
90,1112,1,0,136400,210,81,19,4,14,81,37,4,0,267,1,10,0,30,0,3,5,0,0,0,0,0,0,1,0,2,19,0,0,0,0,0,8,0,0,6,2,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,0,0,0,0,0,0,7,0,0,0,8,0,4,1,0,0,2,5,1,0,6,0,0,1,0,0,0,0,0,0,604
100,1281,1,0,136400,240,58,24,13,7,54,29,5,0,331,0,28,2,36,0,6,4,0,0,3,0,0,0,2,0,3,11,2,0,0,0,0,9,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,2,0,3,0,4,0,0,0,17,0,4,2,0,0,0,4,2,0,9,0,0,3,0,0,0,0,0,0,638
110,1450,1,0,136400,223,73,12,9,10,56,32,8,0,262,2,26,0,36,0,3,3,0,0,0,0,0,0,1,0,1,15,0,0,0,0,0,10,0,0,2,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,1,0,6,2,0,0,7,0,4,0,0,0,0,1,2,0,5,0,0,2,0,0,0,0,0,0,573
120,1619,1,0,136400,304,52,20,5,10,53,30,2,0,333,2,21,4,21,0,4,5,0,0,0,0,0,0,2,0,9,17,0,0,0,0,0,9,0,0,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0,0,1,0,2,0,2,1,0,0,7,0,2,1,0,0,0,2,1,0,8,0,0,1,0,0,0,0,0,0,610
