"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus.incana","Alnus.viridis.subsp..crispa","Aquifoliaceae","Betula","Carya","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Juglans.cinerea","Juglans.nigra","Larix","Myricaceae","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Salix","Tilia","Tsuga","Ulmus","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Caryophyllaceae","Chenopodiaceae.Amaranthaceae","Cyperaceae","Plantago.lanceolata","Poaceae","Polygonum","Huperzia.lucidula","Lycopodium.annotinum","Lycopodium.clavatum","Pteridium","Sphagnum","Menyanthes.trifoliata","Myriophyllum","Nuphar","Nymphaea","Sagittaria","Typha.latifolia","Typha.Sparganium.undiff.","Spore..monolete."
0,-49,12,2,2,12,0,1,55,1,0,2,0,0,1,1,0,1,0,1,0,25,30,43,98,11,0,0,21,0,6,2,0,0,1,5,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,4
4,-18,6,3,3,7,0,0,86,0,1,2,0,0,0,1,0,0,0,2,1,29,22,63,99,9,0,0,15,3,3,6,1,0,4,1,0,3,0,0,0,0,1,1,0,0,0,0,0,0,2,5
8,14,8,0,4,6,0,0,53,0,0,1,0,0,0,0,0,0,0,0,0,42,33,39,102,7,0,0,21,3,9,4,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
12,45,6,2,2,6,0,4,86,2,0,0,0,0,0,0,0,0,0,1,0,45,31,34,95,12,1,0,21,3,15,2,1,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8
16,76,8,0,2,8,0,0,86,0,0,2,0,0,0,0,0,0,0,2,0,38,22,50,95,11,3,0,18,1,15,6,1,0,4,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,8
17,85,9,0,0,12,2,0,91,0,1,2,0,0,0,1,0,0,0,0,0,31,18,48,95,9,0,0,19,3,9,6,1,0,3,0,0,6,0,2,0,0,0,1,0,0,1,0,0,0,0,4
19,100,8,0,3,6,0,2,64,0,0,1,1,0,0,0,0,0,0,1,0,46,15,62,110,8,0,0,20,4,8,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
20,113,9,0,5,10,0,0,55,0,0,1,0,0,1,0,0,0,0,1,0,23,26,77,77,10,0,0,21,6,3,2,0,0,0,2,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,3
21,127,8,0,5,9,0,1,70,0,0,0,0,0,0,1,0,1,0,1,0,18,20,69,80,7,1,0,15,5,3,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,5
25,181,6,0,2,9,0,0,66,1,0,2,0,1,0,0,0,0,0,0,0,31,23,22,115,7,1,0,21,3,3,2,2,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,6
26,194,5,0,0,16,0,0,67,1,0,1,0,0,0,0,0,0,0,0,0,28,20,12,124,12,0,0,20,4,2,1,1,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,1
40,383,6,1,2,8,0,0,77,0,1,3,1,0,0,0,0,0,0,2,1,15,16,72,52,12,0,0,9,1,3,6,0,0,0,0,0,3,0,1,0,0,2,0,0,0,2,0,0,0,0,5
54,572,3,0,1,3,0,0,58,0,1,0,0,0,0,0,0,0,0,1,0,11,14,86,70,7,0,0,17,1,2,2,1,0,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3
68,761,6,0,1,4,0,0,52,0,0,1,0,0,0,0,0,0,0,0,0,18,11,61,85,5,0,0,21,0,1,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
82,950,5,0,1,5,1,2,54,1,0,2,0,0,0,0,0,0,0,1,0,13,27,68,57,2,0,0,25,2,1,1,1,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1
96,1138,6,3,0,3,0,0,54,0,1,0,0,0,0,0,0,0,0,0,0,19,20,82,74,4,1,0,31,2,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
110,1330,8,0,2,2,2,1,64,0,0,0,1,0,0,1,0,0,0,0,0,10,13,83,48,3,0,0,26,4,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,4
124,1566,0,0,3,1,0,0,77,0,0,4,0,0,0,1,0,0,0,0,0,4,13,93,43,5,0,0,10,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
130,1666,4,0,4,4,1,0,66,0,0,0,0,0,0,0,0,0,0,1,0,13,5,83,71,2,0,0,12,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
