"depth","best.age","min.age","max.age"
380,NA,NA,NA
390,NA,NA,NA
400,NA,NA,NA
410,NA,NA,NA
415,NA,NA,NA
420,NA,NA,NA
423,NA,NA,NA
425,NA,NA,NA
427,NA,NA,NA
429,NA,NA,NA
430,NA,NA,NA
431,NA,NA,NA
432,NA,NA,NA
433,NA,NA,NA
434,11415,11196,11703
435,11609,11238,12022
436,11686,11359,12046
437,11763,11475,12077
438,11840,11583,12116
439,11917,11687,12163
440,11994,11776,12217
441,12071,11864,12294
442,12148,11934,12372
443.5,12247,12040,12464
444,12277,12077,12487
444.5,12308,12114,12511
445,12338,12151,12536
445.5,12369,12188,12562
446,12399,12223,12586
446.5,12430,12257,12611
447,12460,12290,12636
447.5,12491,12323,12662
449,12582,12418,12745
450,12643,12478,12803
451,12704,12536,12864
452,12765,12590,12929
453,12826,12639,12998
454,12886,12685,13071
455,12937,12739,13116
456,12977,12802,13138
457.5,13037,12872,13186
458,13057,12888,13205
458.5,13077,12900,13224
459,13097,12910,13245
459.5,13117,12920,13270
460,13137,12928,13298
460.5,13157,12936,13330
461,13172,12961,13338
462,13202,13009,13357
463,13233,13057,13382
464,13263,13098,13408
465,13293,13135,13439
466,13323,13170,13477
467,13353,13199,13515
468,13383,13223,13557
470,13444,13256,13644
471.5,13489,13276,13716
472,NA,NA,NA
473.5,NA,NA,NA
474,NA,NA,NA
475,NA,NA,NA
480,NA,NA,NA
485,NA,NA,NA
