"depth","best.age","min.age","max.age"
152,28,-2,58
156,44,16,72
166,84,50,117
186,252,212,294
207,453,396,507
221,586,514,652
235,720,632,800
245,815,715,905
250,863,756,958
260,958,838,1063
280,1148,1002,1275
300,1339,1168,1491
320,1530,1322,1707
345,1768,1522,1976
360,1911,1643,2138
382,2121,1819,2375
400,2292,1964,2568
410,2388,2044,2675
417,2454,2101,2751
427,2550,2181,2858
440,2674,2285,2998
450,2769,2365,3104
465,3032,2703,3345
480,3320,3021,3598
495,3607,3329,3850
505,3799,3540,4030
520,4086,3848,4308
526,4201,3966,4420
531,4297,4065,4516
536,4393,4163,4613
540,4469,4242,4693
550,4661,4435,4893
560,4852,4627,5098
570,5044,4816,5304
590,5427,5174,5730
600,5631,5370,5948
605,5752,5496,6058
610,5873,5623,6167
615,5994,5747,6279
620,6115,5868,6396
625,6236,5988,6513
650,6841,6579,7107
660,7083,6814,7354
665,7204,6931,7479
675,7446,7163,7733
690,7809,7507,8118
705,8172,7842,8506
715,8414,8065,8771
725,8656,8284,9036
735,8898,8502,9302
737,8946,8547,9357
740,9019,8612,9437
750,9261,8829,9705
765,9624,9153,10109
770,9745,9261,10243
775,9866,9368,10378
785,10108,9583,10648
786.5,10144,9616,10689
788,10180,9648,10729
790,10229,9691,10783
791.5,10265,9723,10824
793,10301,9755,10864
795,10331,9797,10883
805,10482,9998,10981
820,10708,10279,11142
830,10859,10455,11272
835,10934,10538,11343
840,11009,10616,11417
842,11039,10646,11447
845,11084,10691,11493
847,11115,10720,11524
850,11160,10764,11573
865,11386,10967,11840
875,11536,11087,12031
885,11687,11195,12229
895,11841,11327,12406
905,12008,11556,12500
915,12175,11766,12602
925,12341,11965,12727
935,12508,12145,12879
945,12674,12303,13056
955,12841,12439,13259
