"sample.depths","sample.ages","Alnus.viridis.type","Artemisia","Betula","Cyperaceae","Ericaceae","Larix","Picea.mariana.type","Pinus.undiff.","Asteraceae.subf..Asteroideae.undiff.","Amaranthaceae","Poaceae","Corylus.cornuta","Pinus.banksiana.type","Picea.undiff.","Saxifragaceae.undiff.","Alnus.incana.type","Ambrosia.type","Fraxinus.nigra.type","Picea.glauca.type","Quercus","Rosaceae.undiff.","Juniperus.type","Pinus.strobus","Juniperus.communis.Thuja.occidentalis.type","Salix.undiff.","Fagus","Populus.tremuloides.type","Abies.balsamea","Ulmus","Pinus.resinosa.type","Myrica.gale","Fraxinus.pennsylvanica.type","Saxifraga.oppositifolia.type","Tsuga.canadensis","Brassicaceae","Potentilla.palustris.type","Acer.rubrum","Caryophyllaceae","Epilobium","Acer.saccharum","Ribes","Salix.vestita.type","Juglans.cinerea","Sambucus","Populus.balsamifera.type","Shepherdia.canadensis","cf..Oxyria.digyna"
3,81,0.204633204633205,0.00579150579150579,0.185328185328185,0.121621621621622,0.0135135135135135,0.00386100386100386,0.218146718146718,0.00579150579150579,0.00965250965250965,0.00193050193050193,0.00965250965250965,0.00193050193050193,0.0250965250965251,0.191119691119691,0.00193050193050193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,678,0.136923076923077,0.0107692307692308,0.170769230769231,0.0923076923076923,0.0123076923076923,0.0123076923076923,0.310769230769231,0.0246153846153846,0.00307692307692308,0,0.0107692307692308,0,0.04,0.147692307692308,0,0.00307692307692308,0.00307692307692308,0.00153846153846154,0.00307692307692308,0.00153846153846154,0.00153846153846154,0.00461538461538462,0.00307692307692308,0.00461538461538462,0.00153846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1356,0.116740088105727,0.0110132158590308,0.16079295154185,0.0616740088105727,0.013215859030837,0.00881057268722467,0.365638766519824,0.0110132158590308,0.00220264317180617,0.00440528634361234,0.00440528634361234,0,0.0198237885462555,0.193832599118943,0,0.00440528634361234,0,0,0,0.00220264317180617,0,0.0066079295154185,0.00440528634361234,0,0.00220264317180617,0.00220264317180617,0.00220264317180617,0.00220264317180617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1979,0.18407960199005,0.0165837479270315,0.187396351575456,0.0248756218905473,0.0066334991708126,0.0033167495854063,0.45273631840796,0.00829187396351575,0,0,0.00497512437810945,0,0.0298507462686567,0.0746268656716418,0,0.0033167495854063,0,0,0,0,0,0,0,0,0.0033167495854063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2491,0.20480404551201,0.00758533501896334,0.187104930467762,0.0442477876106195,0.00632111251580278,0.00252844500632111,0.312262958280657,0.00632111251580278,0.00126422250316056,0,0.0088495575221239,0.00126422250316056,0.0088495575221239,0.183312262958281,0,0.00252844500632111,0.00126422250316056,0,0,0,0,0.0139064475347661,0.00379266750948167,0,0.00126422250316056,0,0,0,0.00126422250316056,0.00126422250316056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2783,0.314634146341463,0.0121951219512195,0.246341463414634,0.0439024390243902,0.0024390243902439,0,0.253658536585366,0.0024390243902439,0.0024390243902439,0,0.0195121951219512,0,0.0121951219512195,0.0609756097560976,0,0.0048780487804878,0.0048780487804878,0,0,0.00731707317073171,0,0.0048780487804878,0,0,0.0048780487804878,0,0,0,0,0,0.0024390243902439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2964,0.309302325581395,0.00697674418604651,0.186046511627907,0.0325581395348837,0.00581395348837209,0.00581395348837209,0.281395348837209,0.00581395348837209,0,0,0.00697674418604651,0,0.0162790697674419,0.124418604651163,0,0.00465116279069767,0.00116279069767442,0,0,0.00116279069767442,0,0.00581395348837209,0.00116279069767442,0.00116279069767442,0,0.00116279069767442,0,0,0,0,0,0.00116279069767442,0.00116279069767442,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,3144,0.321931589537223,0.00201207243460765,0.211267605633803,0.03420523138833,0.00402414486921529,0.00603621730382294,0.329979879275654,0.00201207243460765,0,0,0.0100603621730382,0,0.0120724346076459,0.0583501006036217,0,0,0,0,0,0,0,0.00603621730382294,0,0,0,0,0,0,0,0,0,0,0,0.00201207243460765,0,0,0,0,0,0,0,0,0,0,0,0,0
200,3324,0.345199568500539,0.00215749730312837,0.147788565264293,0.0183387270765912,0.00215749730312837,0.00215749730312837,0.329018338727077,0.00215749730312837,0.00107874865156419,0.00107874865156419,0.00431499460625674,0.00107874865156419,0.00862998921251348,0.116504854368932,0,0.00323624595469256,0.00107874865156419,0,0,0.00107874865156419,0,0.00431499460625674,0.00107874865156419,0,0.00323624595469256,0,0,0,0.00107874865156419,0,0.00107874865156419,0,0,0,0.00107874865156419,0.00107874865156419,0,0,0,0,0,0,0,0,0,0,0
225,3504,0.369281045751634,0.00163398692810458,0.209150326797386,0.011437908496732,0,0.00490196078431373,0.336601307189543,0,0.00163398692810458,0.00163398692810458,0.011437908496732,0,0.00163398692810458,0.0392156862745098,0,0,0.00326797385620915,0.00163398692810458,0,0,0,0,0.00326797385620915,0,0.00163398692810458,0,0,0,0,0,0,0,0,0,0,0,0.00163398692810458,0,0,0,0,0,0,0,0,0,0
250,3684,0.398290598290598,0.00170940170940171,0.152136752136752,0.0239316239316239,0.00341880341880342,0.00512820512820513,0.335042735042735,0.00170940170940171,0,0,0.00683760683760684,0,0.00512820512820513,0.0512820512820513,0,0.00170940170940171,0,0,0,0.00341880341880342,0,0.00341880341880342,0,0,0.00341880341880342,0,0.00170940170940171,0,0.00170940170940171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
