"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus","Ambrosia","Amorpha.canescens","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brasenia.schreberi","Brassicaceae","Carya","Celtis","cf..Ceanothus","cf..Cephalanthus","cf..Lysimachia.thyrsiflora","cf..Sambucus","Chenopodium.type","Corylus","Cupressaceae","Cyperaceae","Dalea.purpurea","Dryopteris.type","Ephedra","Equisetum","Euphorbia","Fabaceae.undiff.","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Humulus.Cannabis.sativa","Impatiens.capensis","Indeterminable","Indeterminable.undiff.","Isoëtes","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Laportea.type","Larix","Lycopus.type","Morus","Myrica.gale","Myriophyllum.sibiricum.type","Nuphar","Nymphaea","Ophioglossum.cf..O..vulgatum","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Polygonum.lapathifolium.type","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Pteridium.type","Quercus","Ranunculaceae","Rosaceae","Rubiaceae","Rumex","Sagittaria","Salix","Sparganium.type","Tidestromia","Tilia","Tsuga.canadensis","Typha.latifolia","Ulmus","Unknown","Unknown..trilete.","Urtica.type","Utricularia","Vitis","Woodsia","Xanthium","Zanthoxylum"
1160,NA,0,0,0,0,0,14,4,0,0,5,2,0,11,1,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,1,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,13,26,51,0,0,75,0,0,11,4,0,29,0,0,0,0,2,3,2,0,0,1,5,3,0,0,0,0,0,0,0,0
1166,6387,0,0,0,1,0,8,7,0,0,8,3,0,9,2,0,1,0,0,0,0,0,4,1,0,14,0,10,0,1,0,0,5,0,0,0,8,8,0,0,0,0,0,0,1,0,0,0,0,2,2,0,5,0,10,60,67,0,0,35,0,0,6,3,2,20,0,0,0,0,0,9,0,0,1,0,2,1,0,0,0,1,0,0,0,0
1170,6444,0,1,0,0,0,20,5,0,0,8,5,0,12,0,1,0,0,0,0,0,0,4,0,1,15,0,2,0,0,0,0,5,0,0,0,4,4,0,1,0,1,0,0,1,0,0,0,0,1,2,0,5,1,16,45,43,0,0,32,0,0,9,2,10,24,0,0,0,0,0,4,0,0,1,0,1,1,1,0,0,0,0,0,1,0
1176,6531,0,0,0,4,0,23,9,0,0,8,5,0,14,1,0,0,1,0,0,0,0,2,1,0,10,0,3,0,2,0,0,2,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,13,20,47,0,0,30,1,0,17,7,1,31,0,1,0,0,1,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0
1180,6588,0,0,0,0,0,4,3,2,1,7,5,1,8,0,0,0,0,0,0,1,0,2,2,0,16,0,19,0,0,0,0,0,1,0,0,16,16,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,2,7,23,71,0,0,35,0,0,9,2,3,17,0,0,0,0,2,2,4,0,0,0,2,4,0,0,0,0,0,0,0,0
1186,6675,0,0,0,1,0,18,6,0,1,9,8,0,12,0,0,0,0,0,0,0,0,5,2,2,13,0,13,0,3,0,0,5,0,0,0,7,7,2,0,0,0,0,0,1,0,0,0,0,0,3,0,4,0,18,59,85,0,0,91,0,0,15,6,3,37,0,0,0,0,1,5,0,0,0,0,4,5,0,0,0,0,0,0,0,0
1190,6733,0,0,0,1,0,10,10,4,0,7,12,0,19,1,0,0,1,0,0,0,0,7,1,3,27,0,11,0,0,0,0,5,0,0,0,9,9,2,1,0,0,0,0,2,0,0,0,1,3,0,0,7,1,14,58,83,0,0,34,0,0,13,5,7,44,0,2,0,0,1,3,0,0,1,0,2,8,0,0,0,0,0,0,0,0
1196,6819,0,0,0,1,0,20,9,0,0,12,7,0,29,0,1,1,0,0,1,0,0,2,0,2,21,0,10,0,1,0,0,7,0,0,0,3,3,3,1,0,1,0,0,2,0,0,0,0,2,2,0,7,1,15,63,68,0,0,25,0,0,26,5,4,35,0,0,1,0,1,12,0,0,0,1,5,6,1,0,1,0,1,0,0,0
1200,6877,0,0,0,2,0,11,4,0,0,15,2,0,9,0,0,0,0,0,0,0,0,2,1,1,3,0,7,0,1,0,0,4,0,0,0,19,19,0,0,0,0,1,0,2,0,1,0,0,1,1,0,14,0,9,54,33,0,0,12,0,1,9,6,1,40,0,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0
1206,6963,1,0,1,0,0,29,7,0,0,5,2,0,28,2,2,0,0,0,0,0,0,3,1,6,9,0,1,0,1,0,0,6,0,0,0,7,7,2,0,0,0,0,0,1,0,1,0,0,0,1,0,5,0,4,35,17,0,0,16,0,0,13,4,1,28,0,1,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0
1210,7021,0,0,0,0,0,12,4,0,1,8,3,0,18,0,0,0,0,0,0,0,0,13,4,0,11,0,2,0,1,0,0,12,0,0,0,5,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,13,1,7,32,48,0,0,11,0,0,7,2,3,43,0,0,0,0,0,3,0,0,0,0,1,10,0,0,0,0,0,0,0,0
1213,7064,0,0,0,0,0,21,5,0,0,3,3,0,16,2,0,0,0,0,0,0,0,7,2,1,5,1,1,0,0,0,0,5,0,0,0,5,5,3,0,0,0,0,0,0,0,0,0,0,2,2,0,14,0,6,54,21,0,0,10,0,0,6,0,0,46,0,0,0,0,1,2,0,0,0,0,0,9,1,0,0,0,0,0,0,0
1216,7108,0,0,0,1,0,15,6,0,0,7,4,0,20,0,0,0,0,0,0,0,0,3,2,0,7,0,2,0,4,0,0,5,0,0,0,11,11,0,1,0,0,0,0,0,0,0,0,0,1,3,0,17,0,8,41,32,0,0,7,0,0,5,1,0,53,0,0,0,0,0,2,1,0,0,0,0,6,0,0,0,0,0,0,0,0
1220,7165,1,0,1,0,0,17,13,1,1,6,3,0,27,1,0,0,0,0,0,0,0,3,2,0,12,0,0,0,1,0,0,6,0,0,0,9,9,2,2,0,1,1,0,0,0,1,0,0,2,0,0,11,1,14,15,28,0,1,15,0,0,11,5,3,47,0,0,0,0,0,4,1,0,0,0,0,9,0,0,0,0,0,0,0,1
