"depth","best.age","min.age","max.age"
102,10235,9809,10604
112,10566,10162,10956
120,10830,10236,11413
130,10953,10511,11424
140,11362,10872,11887
150,12056,11634,12472
160,12750,12155,13273
170,13204,12666,13739
180,13388,12888,13915
190,13572,12900,14398
200,13755,12803,14963
210,13838,12995,14913
220,13920,13169,14877
230,14003,13320,14851
240,14085,13437,14831
250,14167,13543,14849
260,14250,13625,14903
270,14332,13681,14991
280,14414,13706,15116
290,NA,NA,NA
300,NA,NA,NA
310,NA,NA,NA
320,NA,NA,NA
330,NA,NA,NA
