"sample.depths","sample.ages","Abies","Acer.saccharum.type","Acer.rubrum","Acer.saccharinum.type","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Carya","Corylus","Cupressaceae","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Platanus","Quercus","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Rosaceae.undiff.","Myrica","Populus","Poaceae","Rumex","Cornus","Acer.undiff.","Cannabaceae","Amaranthaceae.undiff.","Liquidambar","Tilia","Ericaceae","Juglans.nigra","Vitis","Castanea","Juglans.cinerea","Thalictrum","Morus","Galium","Plantago","Aquifoliaceae","Sarcobatus.vermiculatus","Urtica.type","Ranunculaceae.undiff.","Iva.xanthifolia.type","Shepherdia.canadensis","Celtis","Herbs.undiff.","Onagraceae","Dryas.type"
1,11,0.012987012987013,0.00742115027829314,0.00371057513914657,0.00185528756957328,0.0204081632653061,0.0371057513914657,0.0222634508348794,0.00742115027829314,0.215213358070501,0.00185528756957328,0.00185528756957328,0.0241187384044527,0.00742115027829314,0.00371057513914657,0.00371057513914657,0.00185528756957328,0.00185528756957328,0.00742115027829314,0.0593692022263451,0.270871985157699,0.196660482374768,0.00371057513914657,0.025974025974026,0.00371057513914657,0.00371057513914657,0.00185528756957328,0.00371057513914657,0.00185528756957328,0.0241187384044527,0.00927643784786642,0.012987012987013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,216,0.00770712909441233,0.00963391136801541,0,0,0.0385356454720617,0.0308285163776493,0.046242774566474,0.00770712909441233,0.267822736030829,0,0.00385356454720617,0.0192678227360308,0.00192678227360308,0.00192678227360308,0.00578034682080925,0,0.00192678227360308,0.00578034682080925,0.0443159922928709,0.211946050096339,0.192678227360308,0,0.023121387283237,0.00385356454720617,0.00578034682080925,0.00192678227360308,0.0134874759152216,0.00192678227360308,0.00578034682080925,0.0250481695568401,0.0154142581888247,0.00385356454720617,0.00192678227360308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,365,0.00853242320819113,0,0,0,0.0426621160409556,0.0477815699658703,0.00853242320819113,0.00170648464163823,0.245733788395904,0,0.00511945392491468,0.0358361774744027,0.0136518771331058,0.0136518771331058,0.00170648464163823,0.00341296928327645,0.0119453924914676,0.015358361774744,0.0426621160409556,0.235494880546075,0.18259385665529,0.00170648464163823,0.0170648464163823,0.00170648464163823,0.0136518771331058,0.00170648464163823,0.0102389078498294,0,0.0068259385665529,0.00853242320819113,0.0068259385665529,0,0,0.0068259385665529,0.00170648464163823,0.00341296928327645,0.00170648464163823,0.00170648464163823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,551,0.011070110701107,0.007380073800738,0,0,0.0202952029520295,0.011070110701107,0.0055350553505535,0.0018450184501845,0.201107011070111,0.0055350553505535,0.0018450184501845,0.0350553505535055,0.0018450184501845,0.0055350553505535,0.003690036900369,0,0.0092250922509225,0.018450184501845,0.0461254612546125,0.169741697416974,0.333948339483395,0.0055350553505535,0.0498154981549815,0.0018450184501845,0.0055350553505535,0.003690036900369,0.011070110701107,0,0.0055350553505535,0.0055350553505535,0.007380073800738,0,0.0018450184501845,0,0,0.0018450184501845,0,0,0.007380073800738,0.0018450184501845,0.0018450184501845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,738,0.00431034482758621,0,0,0,0.0172413793103448,0.021551724137931,0.0021551724137931,0.00646551724137931,0.209051724137931,0,0.00646551724137931,0.0560344827586207,0.00431034482758621,0.00646551724137931,0.00431034482758621,0,0.0021551724137931,0.0237068965517241,0.0280172413793103,0.193965517241379,0.286637931034483,0,0.0301724137931034,0.0021551724137931,0.0172413793103448,0,0.0237068965517241,0,0.00862068965517241,0.0129310344827586,0.00646551724137931,0,0.0021551724137931,0.0107758620689655,0,0.0021551724137931,0,0.0021551724137931,0.00862068965517241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,926,0.0236051502145923,0,0,0,0.0300429184549356,0.0257510729613734,0.00643776824034335,0.00643776824034335,0.169527896995708,0,0.00858369098712446,0.0150214592274678,0.00214592274678112,0.00858369098712446,0.00858369098712446,0.00214592274678112,0.00214592274678112,0.0515021459227468,0.0278969957081545,0.21244635193133,0.233905579399142,0.00429184549356223,0.0600858369098712,0.00429184549356223,0.0128755364806867,0,0.00858369098712446,0,0.0278969957081545,0.00643776824034335,0.0128755364806867,0,0.00429184549356223,0.0150214592274678,0,0.00429184549356223,0,0,0,0.00429184549356223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1114,0.00237529691211401,0.0142517814726841,0.00475059382422803,0,0.0118764845605701,0.0118764845605701,0.00712589073634204,0.00237529691211401,0.173396674584323,0,0.00475059382422803,0.0190023752969121,0.00475059382422803,0.00475059382422803,0.00237529691211401,0,0.00237529691211401,0.00712589073634204,0.0570071258907363,0.220902612826603,0.3729216152019,0.00237529691211401,0.0285035629453682,0.00237529691211401,0.00950118764845606,0.00237529691211401,0.00950118764845606,0,0.00712589073634204,0.00475059382422803,0.00712589073634204,0,0,0,0,0,0,0,0,0,0,0.00237529691211401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1304,0.00530973451327434,0,0,0,0.0230088495575221,0.0141592920353982,0.00176991150442478,0.0123893805309735,0.2,0.00176991150442478,0.0088495575221239,0.0902654867256637,0.00707964601769911,0.00707964601769911,0.00530973451327434,0.00530973451327434,0.00530973451327434,0.0230088495575221,0.0548672566371681,0.166371681415929,0.23716814159292,0.00353982300884956,0.0247787610619469,0,0.0141592920353982,0.00530973451327434,0.0212389380530973,0,0.0106194690265487,0.00707964601769911,0.015929203539823,0,0.00176991150442478,0.0088495575221239,0.00176991150442478,0.00353982300884956,0,0,0.0106194690265487,0,0,0,0.00176991150442478,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1495,0.0114155251141553,0.0136986301369863,0.00228310502283105,0,0.0159817351598174,0.0136986301369863,0.0045662100456621,0.00228310502283105,0.162100456621005,0.00228310502283105,0,0.0342465753424658,0.00684931506849315,0.00684931506849315,0,0.00228310502283105,0.0045662100456621,0.0091324200913242,0.0365296803652968,0.150684931506849,0.410958904109589,0.00228310502283105,0.0388127853881279,0.00228310502283105,0.00228310502283105,0,0.0091324200913242,0,0.0273972602739726,0.00684931506849315,0.0091324200913242,0,0,0,0,0.00228310502283105,0,0,0.0091324200913242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1687,0.0043010752688172,0,0,0,0.0150537634408602,0.0172043010752688,0.0043010752688172,0.0064516129032258,0.21505376344086,0.0021505376344086,0.0043010752688172,0.0129032258064516,0.00860215053763441,0.0150537634408602,0,0.0043010752688172,0.0064516129032258,0.00860215053763441,0.0172043010752688,0.208602150537634,0.344086021505376,0.0021505376344086,0.0408602150537634,0.0043010752688172,0.0064516129032258,0.0021505376344086,0.0150537634408602,0,0.0172043010752688,0.0021505376344086,0.00860215053763441,0,0,0.0043010752688172,0,0,0,0,0,0,0,0,0,0.0021505376344086,0,0,0,0,0,0,0,0,0,0,0,0,0
