"sample.depths","sample.ages","upland.sum","Abies","Betula","Ericaceae","Picea","Alnus","Pinus","Portulacaceae","Poaceae","Ambrosia.type","Artemisia","Quercus","Cyperaceae","Fraxinus","Caryophyllaceae","Asteraceae.undiff.","Salix"
0.5,42,220,21,14,2,157,21,5,0,0,0,0,0,0,0,0,0,0
10,192,237,27,20,2,161,18,6,1,2,0,0,0,0,0,0,0,0
20,349,211,21,17,3,156,9,5,0,0,0,0,0,0,0,0,0,0
30,507,223,39,20,3,138,14,8,0,0,1,0,0,0,0,0,0,0
40,665,241,30,17,0,180,7,3,0,0,1,1,2,0,0,0,0,0
50,822,211,35,13,2,146,8,6,0,1,0,0,0,0,0,0,0,0
60,980,260,57,24,1,158,13,6,0,1,0,0,0,0,0,0,0,0
70,1138,212,49,21,3,123,13,0,0,0,0,0,0,3,0,0,0,0
100,1611,207,35,11,2,140,15,4,0,0,0,0,0,0,0,0,0,0
110,1768,226,37,23,3,144,15,3,0,0,0,0,0,0,1,0,0,0
120,1926,212,38,19,3,136,12,3,0,0,0,0,0,1,0,0,0,0
130,2084,219,33,22,1,142,15,6,0,0,0,0,0,0,0,0,0,0
140,2241,222,42,17,1,147,14,1,0,0,0,0,0,0,0,0,0,0
150,2399,213,26,21,0,150,12,2,0,0,1,1,0,0,0,0,0,0
160,2557,249,41,18,3,164,16,2,0,0,2,1,0,2,0,0,0,0
170,2714,234,47,28,1,138,18,2,0,0,0,0,0,0,0,0,0,0
179,2856,218,47,14,0,137,14,3,0,1,0,0,0,2,0,0,0,0
200,3187,228,48,15,2,154,6,1,0,0,0,0,1,1,0,0,0,0
210,3345,214,33,21,0,149,10,1,0,0,0,0,0,0,0,0,0,0
220,3502,226,47,24,1,141,10,1,0,0,1,0,0,1,0,0,0,0
230,3660,225,42,26,0,140,13,2,0,0,0,0,0,2,0,0,0,0
240,3818,209,35,18,0,140,15,0,0,0,0,0,0,0,0,1,0,0
250,3975,213,44,25,0,121,20,2,0,0,0,0,0,1,0,0,0,0
260,4133,226,46,29,0,132,17,1,0,0,0,0,0,1,0,0,0,0
270,4291,241,42,36,0,142,20,0,0,0,0,1,0,0,0,0,0,0
280,4448,235,36,48,0,123,23,1,0,0,1,0,0,0,0,0,3,0
315,5000,225,44,22,0,139,17,3,0,0,0,0,0,0,0,0,0,0
325,5158,201,30,32,0,117,20,2,0,0,0,0,0,0,0,0,0,0
335,5315,214,39,37,0,119,19,0,0,0,0,0,0,0,0,0,0,0
345,5473,200,32,33,0,93,41,1,0,0,0,0,0,0,0,0,0,0
355,NA,213,31,34,0,75,71,1,0,0,0,0,0,1,0,0,0,0
365,NA,238,33,43,0,101,42,5,0,0,1,0,0,11,0,0,0,2
374,NA,229,25,41,0,122,36,2,0,0,0,0,0,3,0,0,0,0
