"depth","best.age","min.age","max.age"
350,562,527,611
360,579,543,629
370,596,559,648
380,614,576,667
390,631,592,686
400,648,609,705
410,665,624,723
420,683,641,742
430,700,657,760
440,774,733,828
450,851,808,897
460,928,884,974
470,1004,957,1051
480,1081,1030,1130
490,1158,1103,1211
500,1235,1176,1293
510,1312,1247,1374
520,1389,1318,1456
530,1466,1390,1540
540,1543,1460,1624
550,1619,1530,1709
560,1696,1599,1793
565,1790,1693,1887
570,1968,1874,2058
575,2146,2050,2233
580,2323,2226,2412
585,2501,2402,2593
590,2678,2577,2776
600,3033,2930,3153
610,3388,3284,3535
615,3566,3455,3734
620,3743,3627,3926
625,3921,3799,4117
630,4098,3971,4308
635,4276,4142,4500
640,4453,4311,4692
650,4860,4737,5066
660,5289,5194,5434
665,5504,5418,5620
670,5719,5643,5807
675,5933,5861,6005
680,6148,6076,6249
690,6414,6343,6521
700,6611,6544,6706
710,6807,6743,6889
720,7004,6942,7069
730,7200,7141,7263
740,7397,7336,7460
750,7594,7529,7659
760,7790,7725,7862
770,7987,7920,8067
780,8183,8112,8270
790,8380,8304,8490
800,8576,8496,8700
810,8824,8685,8962
820,9088,8818,9353
830,9351,8933,9760
840,9647,9440,9864
846,9824,9622,10132
