"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus","Betula","Carya","Corylus","Cupressaceae","Diervilla","Ericaceae","Fagus","Fraxinus","Juglans.nigra","Larix","Ostrya","Picea","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Salix","Tilia","Tsuga","Ulmus","Ambrosia","Artemisia","Asteraceae.undiff.","Chenopodiaceae","Cyperaceae","Epilobium","Poaceae","Poaceae.1","Polygonum","Rosaceae","Equisetum","Sphagnum","Brasenia.schreberi","Nuphar","Potamogeton","Typha","Spore..monolete.","Spore..trilete.","Indeterminable"
350,562,52,1,2,41,301,0,0,0,0,2,0,0,0,0,0,147,22,372,14,4,0,8,3,19,4,1,6,10,0,3,3,0,0,0,3,0,0,0,0,1,1,7
360,579,38,1,1,46,292,0,2,0,0,0,0,2,0,0,0,86,47,367,12,1,0,13,3,23,6,0,2,12,0,6,6,0,0,0,1,12,4,0,0,0,8,4
370,596,67,2,6,43,311,0,0,0,0,0,2,1,0,0,0,128,43,421,30,2,0,18,7,25,8,2,9,13,0,7,7,0,0,0,1,13,7,0,0,0,4,12
380,614,59,6,2,31,301,0,4,0,0,1,1,2,0,2,1,123,55,320,17,0,0,4,1,17,9,0,1,17,0,6,6,0,0,0,0,9,6,0,0,0,0,13
390,631,89,2,1,24,293,3,4,0,0,0,0,5,1,6,2,139,39,276,13,1,0,13,6,6,10,2,0,4,0,1,1,0,0,0,1,13,10,3,0,1,8,14
400,648,33,1,0,25,179,3,9,0,0,0,0,4,0,0,2,47,24,118,11,0,0,12,4,4,11,3,0,1,0,0,0,0,0,1,4,6,1,0,0,3,8,15
410,665,63,4,11,28,340,0,4,0,0,0,3,3,0,0,1,83,29,231,22,2,1,2,4,3,8,2,2,5,0,0,0,0,0,0,0,14,2,4,0,1,1,16
420,683,62,1,4,48,335,0,4,0,0,0,0,1,0,0,6,95,47,243,20,0,0,12,3,5,11,2,0,15,0,7,7,0,3,0,4,34,8,4,2,0,3,8
430,700,43,1,14,42,319,1,9,0,0,0,2,4,0,0,0,60,33,204,18,1,1,12,4,4,14,0,3,7,0,4,4,0,2,0,3,19,7,2,0,0,2,13
440,774,50,1,3,31,316,1,3,1,0,0,1,4,0,0,0,58,34,233,15,2,1,15,2,7,12,0,1,4,0,2,2,0,0,0,4,33,4,1,1,0,4,14
