"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Amorpha.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.undiff.","Betula","Brassicaceae","Cannabaceae","Carya","Caryophyllaceae","Celtis","Cerealia","Corylus","Cupressaceae","Cyperaceae","Dalea","Ephedra","Ericaceae","Fabaceae.undiff.","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Herbs.undiff.","Impatiens","Indeterminable","Iva.annua.type","Iva.undiff.","Iva.xanthifolia.type","Juglans.cinerea","Juglans.undiff.","Lamiaceae","Larix","Liliaceae","Liquidambar","Lycopodium.type","Malvaceae","Menyanthes.trifoliata","Morus","Nuphar","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae.undiff.","Polemoniaceae","Polygonaceae.undiff.","Populus","Quercus","Ranunculaceae.undiff.","Rhamnaceae.Vitaceae","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Shepherdia","Sphagnum","Thalictrum","Tilia","Trees.undiff.","Tsuga","Typha.Sparganium","Ulmus","Unknown"
2,5,0,0,0,1,0,2,29,133,0,0,6,3,0,0,1,1,4,0,0,0,0,0,0,5,0,0,0,0,0,12,0,0,0,6,0,0,0,3,2,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,1,24,0,0,0,57,0,0,1,0,2,0,0,0,1,0,0,0,1,10,1
5,13,0,0,0,1,0,0,22,176,0,0,6,6,0,0,0,0,4,1,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,4,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,36,0,0,0,60,0,0,0,0,6,0,0,0,0,0,0,0,0,12,1
10,25,0,0,0,1,0,1,33,231,0,0,4,0,0,4,0,1,1,1,0,1,0,0,0,5,0,0,0,1,0,13,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,31,0,0,1,51,1,0,1,0,13,0,0,0,2,1,0,0,1,9,3
15,38,0,0,0,0,0,0,15,196,0,0,7,4,0,0,1,1,0,1,0,1,0,0,0,7,0,0,0,1,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,32,0,0,1,35,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
20,50,0,0,0,1,0,0,9,166,0,0,10,6,0,0,3,2,1,1,0,0,0,0,0,12,0,0,0,1,0,5,0,0,0,11,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,4,0,0,18,0,0,18,0,0,0,59,0,0,3,1,2,0,0,0,1,0,0,0,0,11,1
25,62,0,0,0,0,0,2,16,112,1,1,20,12,0,0,5,0,0,1,0,0,1,0,0,34,0,0,0,1,0,2,0,0,0,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,8,1,0,1,11,0,4,33,0,0,0,57,0,0,3,0,4,0,0,0,2,1,0,0,0,8,2
30,75,0,0,0,0,0,2,7,124,1,0,15,8,0,0,4,2,0,3,0,0,0,0,1,25,0,0,0,2,0,4,0,0,0,5,3,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,0,0,15,0,1,29,0,0,0,64,0,0,0,0,5,0,0,0,0,2,0,0,0,6,0
35,87,0,1,0,3,0,0,9,88,0,0,28,21,0,0,2,0,0,6,0,0,0,1,0,35,0,0,0,1,0,1,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,2,19,0,1,41,0,0,0,64,0,0,1,0,2,1,0,0,0,0,0,0,1,6,1
40,100,0,0,0,3,0,2,6,24,0,0,33,16,0,0,5,1,0,4,0,0,0,1,0,76,0,0,0,1,1,3,0,0,0,13,1,0,1,0,2,1,0,0,0,0,0,0,0,0,4,4,0,1,21,0,5,45,1,0,0,75,1,0,2,0,6,1,0,0,2,2,0,0,10,6,3
50,229,1,0,0,2,0,0,10,68,0,0,22,23,0,0,6,0,0,1,0,0,0,0,0,51,0,0,0,0,0,4,0,0,0,7,3,0,0,0,4,0,0,0,0,0,0,0,0,0,2,3,0,1,20,0,1,59,0,0,0,67,0,0,0,0,2,1,0,0,0,0,0,0,2,3,4
