"sample.depths","sample.ages","Acer","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brassicaceae","Carya","Caryophyllaceae","Celtis","Cephalanthus","Corylus","Cupressaceae.undiff.","Cyperaceae","Fabaceae.undiff.","Fagus","Fraxinus","Juglans","Liliaceae","Liquidambar","Liriodendron","Myriophyllum","Nuphar","Nymphaeaceae.undiff.","Nyssa","Ostrya.Carpinus","Phlox","Picea","Pinus","Platanus","Poaceae","Polygonum","Populus","Prunus","Quercus","Robinia.type","Rosaceae.undiff.","Sagittaria","Salix","Sambucus","Sarcobatus.vermiculatus","Sparganium.type","Taxodium","Tilia","Typha.latifolia","Ulmus","Unknown","Utricularia","Vitis"
20,NA,0,0,41,27,0,0,24,0,0,4,0,0,1,0,31,40,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,0,163,0,0,0,68,0,0,0,7,0,0,4,0,0,3,4,15,0,0
30,NA,0,0,35,20,1,0,41,0,0,8,0,0,5,0,7,34,0,0,2,2,0,1,0,0,1,0,0,1,0,0,15,0,156,0,0,0,85,0,0,1,4,0,0,2,0,0,2,1,14,0,0
40,NA,0,0,20,13,5,1,38,0,0,10,0,0,5,0,8,35,0,0,3,1,0,1,0,0,0,0,1,0,0,0,18,0,162,0,3,0,75,0,0,0,9,5,0,1,1,0,0,4,13,0,0
50,NA,2,1,2,13,0,0,10,0,0,10,0,0,26,0,20,47,0,0,3,2,1,10,0,0,0,0,5,0,1,0,9,0,166,0,1,1,76,0,0,3,15,4,0,1,1,0,6,4,15,0,2
60,5868,2,0,3,10,1,0,14,0,0,11,0,0,22,0,13,15,0,0,8,0,0,3,0,0,1,0,1,0,1,0,9,0,183,5,4,0,76,0,0,3,17,0,0,0,0,0,0,2,10,0,4
70,6319,0,0,1,6,1,0,10,0,0,15,0,0,5,0,8,16,0,0,6,1,0,3,0,0,1,0,1,0,0,0,9,1,237,0,0,0,83,1,0,3,2,0,1,0,0,0,1,3,5,0,1
80,6770,0,0,0,11,1,0,15,0,0,8,0,0,2,0,3,12,0,1,7,1,0,3,0,0,9,0,0,0,0,0,4,3,277,0,2,0,48,3,0,0,0,0,0,0,2,0,0,3,5,0,1
90,7159,1,0,0,4,1,0,6,0,0,11,0,0,0,0,1,26,0,0,6,2,0,2,0,0,3,0,0,0,0,0,1,0,277,1,0,0,73,0,0,0,3,0,0,0,0,0,3,2,0,0,0
100,7359,0,0,35,15,0,0,15,0,0,6,0,0,4,1,11,14,0,0,6,0,0,3,0,0,1,0,0,1,0,0,16,0,193,0,0,0,66,1,0,0,4,0,2,0,2,0,2,1,17,0,1
105,7459,1,0,36,6,1,0,18,0,0,8,1,0,4,0,7,0,2,1,2,1,0,2,0,0,0,0,0,1,0,0,10,0,232,0,0,0,53,0,0,0,4,0,2,0,0,1,0,0,7,0,0
110,7559,2,0,3,7,0,0,19,0,0,11,0,0,3,0,7,37,0,0,3,0,0,2,0,0,3,0,0,0,0,0,2,1,269,0,2,0,58,1,0,0,3,0,0,0,2,0,1,1,4,0,0
120,7760,1,0,9,12,0,0,19,0,0,7,0,1,0,0,4,33,0,0,4,0,0,2,0,0,5,0,0,0,1,0,1,0,271,0,1,0,56,0,0,1,2,0,0,0,0,0,0,4,5,0,0
130,7960,2,0,5,21,1,0,11,1,0,8,0,0,0,0,0,19,0,0,1,1,0,4,0,0,4,0,0,0,0,0,5,1,261,0,0,0,65,1,0,1,2,0,0,0,0,0,1,7,4,0,0
140,8169,0,0,3,10,3,0,11,0,0,11,0,0,0,0,8,36,0,0,3,1,0,1,0,0,3,0,0,1,0,0,4,1,286,0,1,0,51,0,0,6,2,0,0,0,0,0,1,1,2,1,0
150,8405,0,0,1,9,2,0,13,1,0,10,0,0,2,0,7,44,0,0,0,0,0,2,0,0,5,0,0,0,0,0,2,1,275,0,1,0,65,1,0,1,2,0,0,0,0,0,0,1,5,0,0
160,8640,0,0,0,14,1,0,17,0,0,13,0,0,3,0,5,36,0,0,2,0,0,4,0,0,1,0,0,0,0,1,2,1,290,2,0,0,34,0,0,1,1,0,0,0,0,0,0,1,0,0,0
170,8876,2,0,0,20,1,1,13,0,0,4,0,0,0,0,4,12,0,0,2,0,0,1,0,0,2,0,0,0,0,0,4,1,269,0,2,0,60,0,0,1,4,0,0,0,1,0,0,4,7,0,0
