"sample.depths","sample.ages","Ambrosia.type","Carya","Cephalanthus","Amaranthaceae.undiff.","Cyperaceae","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Fraxinus","Pinus","Poaceae","Cupressaceae.undiff.","Liquidambar","Ostrya.Carpinus","Apiaceae","Juglans","Artemisia","Nyssa","Sambucus","Taxodium","Populus","Vitis","Alnus","Acer","Liliaceae","Phlox","Prunus","Polygonum","Platanus","Sarcobatus.vermiculatus","Robinia.type","Fagus","Corylus","Caryophyllaceae","Fabaceae.undiff.","Tilia","Celtis","Betula","Picea","Liriodendron","Rosaceae.undiff.","Brassicaceae"
20,NA,0.0635294117647059,0.00941176470588235,0.00235294117647059,0.0964705882352941,0.0941176470588235,0.16,0.0164705882352941,0.0564705882352941,0.00941176470588235,0.00705882352941176,0.0282352941176471,0.383529411764706,0.0729411764705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,NA,0.0478468899521531,0.0191387559808612,0.0119617224880383,0.083732057416268,0.0813397129186603,0.203349282296651,0.00956937799043062,0.0980861244019139,0.00239234449760766,0.00478468899521531,0.0358851674641148,0.373205741626794,0.0167464114832536,0.00239234449760766,0.00239234449760766,0.00239234449760766,0.00478468899521531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,NA,0.0311004784688995,0.0239234449760766,0.0119617224880383,0.0478468899521531,0.083732057416268,0.179425837320574,0.0215311004784689,0.090909090909091,0.00956937799043062,0.00717703349282297,0.0430622009569378,0.38755980861244,0.0191387559808612,0.00239234449760766,0,0.0119617224880383,0.00239234449760766,0.00239234449760766,0.00239234449760766,0.0119617224880383,0.00239234449760766,0.00717703349282297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,NA,0.0300925925925926,0.0231481481481481,0.0601851851851852,0.00462962962962963,0.108796296296296,0.175925925925926,0.0347222222222222,0.0231481481481481,0.00925925925925926,0.00694444444444444,0.0208333333333333,0.384259259259259,0.0462962962962963,0.0231481481481481,0,0,0.00462962962962963,0,0.0115740740740741,0.00925925925925926,0.00231481481481481,0.00231481481481481,0.00462962962962963,0.00231481481481481,0.00462962962962963,0.00231481481481481,0.00231481481481481,0.00231481481481481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,5868,0.0247524752475248,0.0272277227722772,0.0544554455445545,0.00742574257425743,0.0371287128712871,0.188118811881188,0.0420792079207921,0.0346534653465347,0.00495049504950495,0.0198019801980198,0.0222772277227723,0.452970297029703,0.0321782178217822,0.00742574257425743,0,0.00247524752475248,0,0,0.00247524752475248,0,0,0.0099009900990099,0.0099009900990099,0,0.00495049504950495,0,0.00247524752475248,0,0.0123762376237624,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,6319,0.0145985401459854,0.0364963503649635,0.0121654501216545,0.0024330900243309,0.0389294403892944,0.201946472019465,0.0048661800486618,0.024330900243309,0.0072992700729927,0.0145985401459854,0.0218978102189781,0.576642335766423,0.0194647201946472,0.0072992700729927,0,0.0024330900243309,0.0024330900243309,0,0.0024330900243309,0,0,0,0.0024330900243309,0,0,0,0,0,0,0.0024330900243309,0.0024330900243309,0.0024330900243309,0,0,0,0,0,0,0,0,0,0,0
80,6770,0.027027027027027,0.0196560196560197,0.00491400491400491,0,0.0294840294840295,0.117936117936118,0,0.0368550368550369,0.00737100737100737,0.0171990171990172,0.00982800982800983,0.68058968058968,0.00737100737100737,0.00737100737100737,0,0.00245700245700246,0.00245700245700246,0,0,0,0.00491400491400491,0.00491400491400491,0.00245700245700246,0,0,0,0,0,0,0.00737100737100737,0,0.00737100737100737,0.00245700245700246,0,0,0,0,0,0,0,0,0,0
90,7159,0.00959232613908873,0.026378896882494,0,0,0.0623501199040767,0.175059952038369,0.00719424460431655,0.0143884892086331,0.00479616306954436,0.0143884892086331,0.00239808153477218,0.664268585131894,0.00239808153477218,0.00479616306954436,0,0.00239808153477218,0.00479616306954436,0,0,0,0,0,0,0,0.00239808153477218,0,0,0,0.00239808153477218,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,7359,0.0377833753148615,0.0151133501259446,0.0100755667506297,0.08816120906801,0.035264483627204,0.16624685138539,0.0100755667506297,0.0377833753148615,0.00251889168765743,0.0151133501259446,0.0403022670025189,0.486146095717884,0.0277078085642317,0.0075566750629723,0.00251889168765743,0,0,0,0,0,0.00503778337531486,0,0.00251889168765743,0,0,0,0,0,0,0,0.00503778337531486,0.00251889168765743,0,0.00251889168765743,0,0,0,0,0,0,0,0,0
105,7459,0.0152671755725191,0.0203562340966921,0.0101781170483461,0.0916030534351145,0,0.134860050890585,0.0101781170483461,0.0458015267175573,0,0.00508905852417303,0.0254452926208651,0.590330788804071,0.0178117048346056,0.00508905852417303,0.00254452926208651,0.00254452926208651,0.00254452926208651,0,0,0,0,0,0,0,0.00254452926208651,0,0,0,0,0,0.00508905852417303,0,0.00254452926208651,0,0.00254452926208651,0.00508905852417303,0.00254452926208651,0,0,0,0,0,0
110,7559,0.0161662817551963,0.0254041570438799,0.0069284064665127,0.0069284064665127,0.0854503464203233,0.133949191685912,0.0069284064665127,0.0438799076212471,0.0023094688221709,0.0069284064665127,0.0046189376443418,0.621247113163972,0.0161662817551963,0.0046189376443418,0,0,0,0,0,0,0.0046189376443418,0.0046189376443418,0,0,0.0046189376443418,0,0,0,0,0.0023094688221709,0,0.0023094688221709,0,0,0,0,0,0,0,0,0,0,0
120,7760,0.0280373831775701,0.0163551401869159,0,0.0210280373831776,0.0771028037383178,0.130841121495327,0.00467289719626168,0.044392523364486,0.00934579439252336,0.00934579439252336,0.00233644859813084,0.633177570093458,0.00934579439252336,0.00467289719626168,0,0,0,0,0,0,0,0.00233644859813084,0,0,0.00233644859813084,0,0.00233644859813084,0,0,0,0,0,0,0,0,0,0,0.00233644859813084,0,0,0,0,0
