"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Alnus","Ambrosia","Amorpha.canescens","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brassicaceae","Carya","Caryophyllaceae","Celtis","cf..Ceanothus","Chenopodium.type","Corylus","Cupressaceae","Cyperaceae.undiff.","Dryopteris.type","Ericaceae","Fabaceae.cf..Melilotus.officinalis","Fabaceae.cf..Trifolium","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Indeterminable","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Larix","Lycopodiaceae.cf..Diphasiastrum.complanatum","Lycopodiaceae.cf..Lycopodium.clavatum","Myrica.gale","Myriophyllum.sibiricum.type","Myriophyllum.verticillatum.type","Nuphar","Nymphaea","Osmunda.claytoniana","Ostrya.Carpinus","Phacelia.hastata.type","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Polygonum.lapathifolium.type","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Pteridium.type","Quercus","Rhynchospora.alba","Rosaceae","Rumex.acetosa.type","Rumex.undiff.","Sagittaria","Salix","Selaginella.rupestris","Sparganium.type","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Ulmus","Unknown","Unknown..trilete.","Urtica.type","Utricularia","Vitis"
180,-15,0,0,0,0,0,9,28,0,0,1,1,0,14,0,0,0,0,0,3,1,0,11,0,2,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,5,5,57,1,1,17,1,0,2,10,1,57,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0
184,5,0,0,0,0,0,5,20,1,0,5,1,0,18,0,1,0,0,0,3,1,0,10,0,0,0,0,2,0,6,0,1,0,0,0,0,0,0,1,0,4,0,0,2,0,0,10,1,49,0,0,8,0,0,2,2,0,25,0,0,0,0,0,2,1,1,0,0,0,1,1,1,0,0,0,0
190,35,0,0,0,1,0,16,21,0,0,5,2,0,20,0,0,0,0,0,11,1,0,9,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,9,3,76,0,0,12,0,0,2,4,0,29,0,0,0,0,0,2,0,1,1,0,0,0,6,0,0,0,0,1
194,55,0,0,0,0,0,11,27,0,0,6,4,0,13,0,0,0,0,0,1,1,1,5,0,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,2,3,1,0,4,0,0,21,2,59,0,0,8,0,1,3,2,1,28,0,0,1,0,0,2,0,1,1,0,0,1,6,0,0,0,0,0
196,65,1,0,0,1,1,6,15,0,0,3,2,0,18,0,1,0,0,0,6,0,0,10,0,0,0,0,3,1,1,0,1,0,0,1,0,0,0,0,7,0,0,0,4,0,1,13,6,75,0,0,19,1,0,1,7,0,39,0,0,0,0,0,3,0,1,2,0,0,0,3,0,0,1,0,1
200,85,1,0,0,0,0,9,17,1,0,11,1,0,16,0,1,0,0,0,2,2,0,23,0,0,0,0,2,1,5,1,1,0,0,1,0,0,0,0,0,3,0,0,9,0,1,28,7,88,0,0,14,0,0,3,11,1,36,0,0,0,0,0,1,0,2,0,0,0,0,3,0,0,0,0,0
206,115,0,0,0,0,1,12,15,0,0,8,1,0,22,0,1,0,0,0,1,1,0,10,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,5,0,0,5,4,80,0,0,8,0,0,1,7,0,30,0,0,0,0,0,0,0,1,0,1,1,0,3,0,0,1,1,0
210,135,0,0,0,0,3,12,6,0,0,10,4,0,34,0,0,1,0,0,2,3,1,14,1,0,0,0,2,1,7,0,0,0,0,1,0,0,0,0,2,2,1,0,11,0,3,5,8,127,0,0,19,0,0,0,22,1,34,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0,1,1,0
214,190,1,0,0,0,4,9,4,1,0,6,1,0,26,0,0,0,0,0,0,1,0,12,1,0,0,0,2,0,7,0,1,0,0,0,0,0,0,0,1,4,0,0,10,0,1,7,9,90,0,0,6,0,0,0,6,1,29,0,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0
216,217,1,0,0,0,2,6,6,0,0,7,5,0,28,0,0,0,0,0,2,1,0,8,0,0,0,0,2,1,3,0,1,1,1,0,0,0,0,0,1,3,1,0,6,0,1,3,2,108,0,0,22,0,0,0,13,0,26,0,0,0,0,0,2,0,1,1,1,0,0,2,0,0,0,0,0
