"depth","best.age","min.age","max.age"
4,118,110,124
24,708,656,746
44,1298,1202,1367
64,1888,1748,1989
84,2478,2294,2611
104,3068,2841,3233
124,3658,3387,3855
144,4247,3932,4476
164,4837,4479,5098
184,5427,5025,5720
204,5915,5579,6168
224,6398,6135,6624
244,6881,6665,7090
264,7364,7153,7578
284,7846,7607,8090
304,8499,8253,8746
324,9359,9135,9586
344,10220,9969,10458
354,10650,10375,10909
364,11080,10777,11368
374,11511,11172,11831
384,11941,11566,12300
394,12371,11958,12771
404,NA,NA,NA
414,NA,NA,NA
424,NA,NA,NA
434,NA,NA,NA
444,NA,NA,NA
454,NA,NA,NA
464,NA,NA,NA
480,NA,NA,NA
510,NA,NA,NA
540,NA,NA,NA
