"depth","best.age","min.age","max.age"
1,2,-53,54
10,265,212,316
20,557,504,609
30,849,793,904
40,1141,1080,1201
50,1433,1365,1497
60,1725,1651,1796
70,2017,1934,2094
80,2309,2218,2393
90,2601,2501,2692
100,2893,2784,2991
110,3185,3067,3291
120,3477,3350,3592
130,3769,3633,3892
140,4061,3915,4192
150,4353,4197,4493
160,4645,4479,4793
170,4937,4761,5094
180,5229,5042,5395
190,5521,5324,5696
195,5667,5464,5846
200,5812,5606,5997
205,6614,6439,6794
210,7416,7197,7662
215,8218,7905,8574
220,8471,8221,8744
225,8723,8505,8949
230,8976,8741,9210
235,9229,8934,9523
240,9777,9604,9954
245,10325,10183,10483
250,NA,NA,NA
255,NA,NA,NA
260,NA,NA,NA
270,NA,NA,NA
280,NA,NA,NA
290,NA,NA,NA
300,NA,NA,NA
320,NA,NA,NA
330,NA,NA,NA
340,NA,NA,NA
350,NA,NA,NA
360,NA,NA,NA
370,NA,NA,NA
380,NA,NA,NA
390,NA,NA,NA
400,NA,NA,NA
410,NA,NA,NA
420,NA,NA,NA
430,NA,NA,NA
