"sample.depths","sample.ages","Ambrosia.type","Carya","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Ilex","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Liliaceae","Fabaceae","Myrica","Pinus","Poaceae","Urtica","Boehmeria","Celtis","Salix","Fraxinus","Asteraceae.subf..Cichorioideae","Apiaceae","Brassicaceae","Polygonum","Phacelia","Plantago","Malvaceae","Artemisia","Liquidambar","Mimosaceae","Juglans","Xyris","Cephalanthus","Primula","Betula","Ericaceae","Corylus","Rhus","Amaranthaceae","Viburnum","Nyssa","Ostrya.Carpinus","Tilia","Campanulaceae","Cornus","Acer","Impatiens","Lamiaceae","Convolvulaceae","Castanea","Galium","Planera.aquatica","Rhamnus","Ranunculaceae","Picea","Onagraceae"
5,183,0.0393258426966292,0.00842696629213483,0.00561797752808989,0.00280898876404494,0.0280898876404494,0.202247191011236,0.584269662921348,0.0308988764044944,0.0196629213483146,0.00842696629213483,0.00280898876404494,0.00280898876404494,0.00842696629213483,0.00561797752808989,0.0168539325842697,0.00561797752808989,0.0280898876404494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,399,0.0659630606860158,0.0079155672823219,0.0184696569920844,0,0.0237467018469657,0.0923482849604222,0.308707124010554,0.0738786279683377,0.0184696569920844,0,0,0.0079155672823219,0.176781002638522,0.00527704485488127,0.0237467018469657,0.00263852242744063,0.158311345646438,0.00527704485488127,0.00263852242744063,0.0079155672823219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,529,0.00510204081632653,0.0076530612244898,0,0,0.354591836734694,0.00255102040816327,0.165816326530612,0.0459183673469388,0,0,0,0.0127551020408163,0,0.00255102040816327,0.0816326530612245,0,0.318877551020408,0,0,0.00255102040816327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,831,0.170542635658915,0.0775193798449612,0.00516795865633075,0,0.0852713178294574,0,0.17312661498708,0.0775193798449612,0.00258397932816537,0,0,0,0.00258397932816537,0.0129198966408269,0.351421188630491,0,0.0129198966408269,0,0,0,0.00258397932816537,0.00775193798449612,0.0155038759689922,0.00258397932816537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1263,0.14441416893733,0.0163487738419619,0,0,0.231607629427793,0,0.128065395095368,0.0681198910081744,0.00272479564032698,0.00817438692098093,0,0.00544959128065395,0.00272479564032698,0,0.245231607629428,0,0.103542234332425,0,0.00544959128065395,0,0,0.0163487738419619,0.0163487738419619,0,0.00272479564032698,0.00272479564032698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1809,0.0248618784530387,0.0414364640883978,0.00276243093922652,0,0.417127071823204,0,0.179558011049724,0.0580110497237569,0,0,0,0.00276243093922652,0,0.0110497237569061,0.154696132596685,0,0.00552486187845304,0,0,0.00276243093922652,0.00276243093922652,0.074585635359116,0.0193370165745856,0,0,0,0.00276243093922652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2468,0.0284974093264249,0.072538860103627,0,0,0.264248704663212,0,0.163212435233161,0.0906735751295337,0,0,0,0,0,0.00518134715025907,0.290155440414508,0,0,0.00259067357512953,0.00259067357512953,0.00259067357512953,0,0.0544041450777202,0.0233160621761658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,3126,0.0295698924731183,0.0725806451612903,0,0,0.475806451612903,0,0.172043010752688,0.0456989247311828,0.00268817204301075,0,0,0,0,0.0134408602150538,0.166666666666667,0,0,0.00268817204301075,0,0,0,0.0134408602150538,0.00268817204301075,0,0,0,0,0.00268817204301075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,3785,0.0112359550561798,0.0421348314606742,0,0,0.48876404494382,0,0.112359550561798,0.0393258426966292,0,0,0,0,0,0,0.280898876404494,0,0.0168539325842697,0,0,0,0,0.00561797752808989,0,0,0.00280898876404494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,4444,0.0190217391304348,0.0543478260869565,0,0,0.315217391304348,0,0.228260869565217,0.078804347826087,0.00543478260869565,0,0,0.00271739130434783,0,0.00815217391304348,0.239130434782609,0,0.0353260869565217,0,0,0,0,0.00543478260869565,0,0.00815217391304348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
