"sample.depths","sample.ages","Abies","Acer","Alnus","Betula","Carya","Castanea","Cephalanthus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Myricaceae","Nyssa","Ostrya.Carpinus","Picea","Pinus.undiff.","Pinus.strobus","Platanus","Quercus","Rhus","Salix","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae.Amaranthaceae","Cyperaceae","Fabaceae","Galium","Liliaceae","Plantago","Poaceae","Rumex","Saxifragaceae","Thalictrum","Urticaceae","Botrychium","Equisetum","Lycopodium","Osmunda","Polypodiaceae","Selaginella","Myriophyllum","Nuphar","Nymphaea","Potamogeton","Sagittaria","Typha","Typha.Sparganium.undiff.","Spore..monolete.","Spore..trilete.","Sporormiella","Indeterminable","Unknown"
0,-45,1,9,25,27,14,9,16,0,0,0,3,2,1,0,0,0,1,0,0,3,24,56,9,1,196,0,1,0,1,31,6,0,4,0,1,15,0,0,6,4,1,0,0,0,17,0,2,0,0,0,0,0,156,2,0,0,1,1,0,0,0,0,347,19,0,120,21
10,965,3,5,30,16,21,4,52,0,0,0,13,1,0,3,0,0,0,0,1,5,19,47,14,3,175,0,1,0,4,26,19,0,6,0,1,7,0,0,4,9,0,0,1,0,81,0,0,0,2,0,2,0,95,0,0,0,1,4,0,0,0,0,283,5,0,13,3
20,1973,0,9,25,23,18,4,26,0,0,0,7,0,3,1,0,0,0,0,1,5,0,15,7,0,246,0,1,0,1,41,7,0,2,0,1,7,0,0,2,5,1,0,0,0,146,0,0,0,0,0,2,0,50,0,0,0,0,0,0,0,0,0,187,2,1,42,6
30,2982,0,20,8,15,9,3,14,0,0,0,21,5,0,3,0,0,0,0,5,3,1,11,11,13,262,0,1,0,1,33,6,0,4,0,0,5,0,0,0,43,0,0,0,0,556,0,0,0,0,0,1,0,8,0,0,2,0,2,0,1,1,0,37,0,0,3,3
40,3991,0,5,10,30,7,4,5,1,0,0,40,6,0,3,0,1,0,0,0,6,0,7,9,12,236,0,0,0,1,31,6,0,6,0,0,2,0,0,1,48,0,0,1,0,1408,0,0,0,1,0,0,0,4,0,0,0,0,10,0,0,3,0,11,0,0,2,1
50,4999,0,7,13,25,11,1,4,0,0,0,25,6,0,1,0,1,0,0,2,3,0,8,7,5,236,0,0,0,1,41,13,0,9,0,1,3,0,0,1,29,0,0,0,0,568,0,0,0,0,0,2,0,4,0,0,0,2,6,0,0,0,0,16,0,2,2,2
60,6008,0,4,5,25,9,1,3,1,0,0,36,5,0,1,1,0,2,0,4,6,0,11,5,6,258,0,1,0,1,21,8,0,6,0,1,1,0,0,2,1,0,0,0,0,467,0,0,1,0,0,0,0,2,0,0,0,1,7,0,0,0,0,14,0,0,3,0
70,7017,0,7,8,39,6,1,0,0,0,1,24,8,0,1,0,1,1,0,2,6,0,10,11,6,236,0,0,0,0,29,6,0,2,1,0,7,0,0,0,38,0,0,0,0,382,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,7,1,0,0,1
80,8025,0,2,9,23,5,1,4,0,0,0,23,2,0,1,0,1,2,0,0,8,0,12,30,2,231,0,2,0,1,50,12,0,1,0,0,0,0,0,0,16,0,0,0,0,370,0,0,0,0,0,2,0,0,0,0,0,4,5,0,0,0,0,21,0,0,24,2
90,9034,0,4,6,32,5,2,0,1,0,0,14,14,0,3,0,1,0,0,1,5,0,35,5,0,267,0,1,0,0,37,2,0,4,0,0,2,0,0,0,21,0,0,0,0,425,0,0,0,0,0,1,0,0,1,0,1,0,11,1,0,1,0,11,0,0,13,1
100,10043,11,16,13,91,0,0,0,5,0,2,3,28,0,0,0,1,0,0,1,7,9,50,241,1,41,0,0,0,0,9,3,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,2,0,0,0,0,0,0,8,3,0,0,0
110,11051,16,1,69,137,0,0,0,9,0,0,1,16,0,0,0,3,0,0,0,9,37,70,28,0,17,0,1,0,0,6,3,0,2,0,3,1,0,0,0,1,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,7,0,6,0
120,12071,19,0,34,110,0,0,0,1,1,0,0,2,0,0,0,0,0,2,0,4,113,73,54,0,11,0,1,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,1,0,4,0,0,2,0
130,13092,6,0,65,94,0,0,0,3,0,0,0,6,0,0,0,1,0,0,0,10,81,104,17,0,21,0,2,2,0,4,0,0,1,0,1,0,0,0,0,8,0,0,0,0,3,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,1,1,1,0,2,0
155,15846,5,1,2,42,0,0,0,1,0,0,0,2,0,0,0,1,0,1,0,9,143,155,3,0,29,0,8,1,0,0,2,0,1,0,2,1,0,0,0,16,0,0,0,0,1,0,0,3,2,0,0,1,1,0,0,0,0,0,0,0,0,2,17,3,2,5,0
180,NA,4,1,4,32,0,0,4,0,0,0,0,5,0,0,0,4,0,0,0,17,402,149,0,0,47,0,8,0,0,2,3,0,4,0,3,2,0,0,2,23,0,0,0,1,10,0,0,0,1,0,2,1,1,0,0,0,0,0,1,0,1,2,33,10,2,3,0
200,NA,5,0,1,36,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,24,197,112,10,0,40,1,13,19,0,0,1,0,3,0,3,9,0,0,0,28,0,0,0,0,9,0,3,2,0,0,1,0,1,0,0,1,0,0,2,0,0,4,13,6,3,14,0
222,NA,1,1,27,33,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,3,126,185,1,0,9,0,19,1,0,0,0,1,1,1,5,5,2,1,0,72,0,0,0,0,9,2,0,4,0,0,0,1,1,0,1,0,0,0,2,0,0,0,7,1,18,39,1
247,NA,5,0,30,7,4,0,0,1,0,0,0,2,0,0,0,0,0,0,0,5,100,218,0,0,16,0,15,0,0,0,4,0,3,0,4,6,0,0,1,89,1,2,0,0,4,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,5,2,12,17,3
272,NA,0,0,22,7,2,0,1,1,0,0,0,1,0,0,0,0,0,0,2,2,93,256,0,0,14,0,9,1,0,1,2,1,0,0,5,4,0,0,1,80,0,0,0,0,1,0,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,9,5,21,15,0
297,NA,0,1,11,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,98,167,0,0,4,0,8,0,0,0,2,0,2,0,6,3,0,0,1,80,0,0,0,0,4,0,3,1,0,0,0,5,0,0,0,0,0,0,0,0,1,1,2,6,2,19,1
320,NA,0,1,18,6,5,0,0,2,0,2,1,0,1,0,0,0,0,0,0,1,93,245,0,0,13,0,14,0,0,0,3,0,1,0,7,5,0,0,0,77,0,0,0,0,17,0,3,3,1,0,1,1,2,2,1,0,0,0,0,0,0,0,7,4,6,6,3
