"sample.depths","sample.ages","Abies","Acer","Alnus","Betula","Carya","Castanea","Cephalanthus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Myricaceae","Nyssa","Ostrya.Carpinus","Picea","Pinus.undiff.","Pinus.strobus","Platanus","Quercus","Rhus","Salix","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae.Amaranthaceae","Cyperaceae","Fabaceae","Galium","Liliaceae","Plantago","Poaceae","Rumex","Saxifragaceae","Thalictrum","Urticaceae"
0,-45,0.00205761316872428,0.0185185185185185,0.051440329218107,0.0555555555555556,0.0288065843621399,0.0185185185185185,0.0329218106995885,0,0,0,0.00617283950617284,0.00411522633744856,0.00205761316872428,0,0,0,0.00205761316872428,0,0,0.00617283950617284,0.0493827160493827,0.11522633744856,0.0185185185185185,0.00205761316872428,0.403292181069959,0,0.00205761316872428,0,0.00205761316872428,0.0637860082304527,0.0123456790123457,0,0.00823045267489712,0,0.00205761316872428,0.0308641975308642,0,0,0.0123456790123457,0.00823045267489712,0.00205761316872428,0,0,0,0.0349794238683128,0,0.00411522633744856,0,0
10,965,0.00523560209424084,0.0087260034904014,0.0523560209424084,0.0279232111692845,0.0366492146596859,0.00698080279232112,0.0907504363001745,0,0,0,0.0226876090750436,0.00174520069808028,0,0.00523560209424084,0,0,0,0,0.00174520069808028,0.0087260034904014,0.0331588132635253,0.0820244328097731,0.0244328097731239,0.00523560209424084,0.305410122164049,0,0.00174520069808028,0,0.00698080279232112,0.0453752181500873,0.0331588132635253,0,0.0104712041884817,0,0.00174520069808028,0.012216404886562,0,0,0.00698080279232112,0.0157068062827225,0,0,0.00174520069808028,0,0.141361256544503,0,0,0,0.00349040139616056
20,1973,0,0.0149006622516556,0.0413907284768212,0.0380794701986755,0.0298013245033113,0.00662251655629139,0.043046357615894,0,0,0,0.0115894039735099,0,0.00496688741721854,0.00165562913907285,0,0,0,0,0.00165562913907285,0.00827814569536424,0,0.0248344370860927,0.0115894039735099,0,0.407284768211921,0,0.00165562913907285,0,0.00165562913907285,0.0678807947019868,0.0115894039735099,0,0.0033112582781457,0,0.00165562913907285,0.0115894039735099,0,0,0.0033112582781457,0.00827814569536424,0.00165562913907285,0,0,0,0.241721854304636,0,0,0,0
30,2982,0,0.0189933523266857,0.00759734093067426,0.0142450142450142,0.00854700854700855,0.00284900284900285,0.01329534662868,0,0,0,0.0199430199430199,0.00474833808167141,0,0.00284900284900285,0,0,0,0,0.00474833808167141,0.00284900284900285,0.000949667616334283,0.0104463437796771,0.0104463437796771,0.0123456790123457,0.248812915479582,0,0.000949667616334283,0,0.000949667616334283,0.0313390313390313,0.0056980056980057,0,0.00379867046533713,0,0,0.00474833808167141,0,0,0,0.0408357075023742,0,0,0,0,0.528015194681861,0,0,0,0
40,3991,0,0.00264970853206147,0.00529941706412295,0.0158982511923688,0.00370959194488606,0.00211976682564918,0.00264970853206147,0.000529941706412295,0,0,0.0211976682564918,0.00317965023847377,0,0.00158982511923688,0,0.000529941706412295,0,0,0,0.00317965023847377,0,0.00370959194488606,0.00476947535771065,0.00635930047694754,0.125066242713302,0,0,0,0.000529941706412295,0.0164281928987811,0.00317965023847377,0,0.00317965023847377,0,0,0.00105988341282459,0,0,0.000529941706412295,0.0254372019077901,0,0,0.000529941706412295,0,0.746157922628511,0,0,0,0.000529941706412295
50,4999,0,0.00685602350636631,0.0127326150832517,0.0244857982370225,0.0107737512242899,0.000979431929480901,0.0039177277179236,0,0,0,0.0244857982370225,0.0058765915768854,0,0.000979431929480901,0,0.000979431929480901,0,0,0.0019588638589618,0.0029382957884427,0,0.00783545543584721,0.00685602350636631,0.00489715964740451,0.231145935357493,0,0,0,0.000979431929480901,0.0401567091087169,0.0127326150832517,0,0.00881488736532811,0,0.000979431929480901,0.0029382957884427,0,0,0.000979431929480901,0.0284035259549461,0,0,0,0,0.556317335945152,0,0,0,0
60,6008,0,0.00447928331466965,0.00559910414333707,0.0279955207166853,0.0100783874580067,0.00111982082866741,0.00335946248600224,0.00111982082866741,0,0,0.0403135498320269,0.00559910414333707,0,0.00111982082866741,0.00111982082866741,0,0.00223964165733483,0,0.00447928331466965,0.00671892497200448,0,0.0123180291153415,0.00559910414333707,0.00671892497200448,0.288913773796193,0,0.00111982082866741,0,0.00111982082866741,0.0235162374020157,0.0089585666293393,0,0.00671892497200448,0,0.00111982082866741,0.00111982082866741,0,0,0.00223964165733483,0.00111982082866741,0,0,0,0,0.522956326987682,0,0,0.00111982082866741,0
70,7017,0,0.00840336134453781,0.00960384153661465,0.0468187274909964,0.00720288115246098,0.00120048019207683,0,0,0,0.00120048019207683,0.0288115246098439,0.00960384153661465,0,0.00120048019207683,0,0.00120048019207683,0.00120048019207683,0,0.00240096038415366,0.00720288115246098,0,0.0120048019207683,0.0132052821128451,0.00720288115246098,0.283313325330132,0,0,0,0,0.0348139255702281,0.00720288115246098,0,0.00240096038415366,0.00120048019207683,0,0.00840336134453781,0,0,0,0.0456182472989196,0,0,0,0,0.458583433373349,0,0,0,0
80,8025,0,0.00247524752475248,0.0111386138613861,0.0284653465346535,0.00618811881188119,0.00123762376237624,0.00495049504950495,0,0,0,0.0284653465346535,0.00247524752475248,0,0.00123762376237624,0,0.00123762376237624,0.00247524752475248,0,0,0.0099009900990099,0,0.0148514851485149,0.0371287128712871,0.00247524752475248,0.285891089108911,0,0.00247524752475248,0,0.00123762376237624,0.0618811881188119,0.0148514851485149,0,0.00123762376237624,0,0,0,0,0,0,0.0198019801980198,0,0,0,0,0.457920792079208,0,0,0,0
90,9034,0,0.00450958286358512,0.00676437429537768,0.0360766629086809,0.0056369785794814,0.00225479143179256,0,0.00112739571589628,0,0,0.0157835400225479,0.0157835400225479,0,0.00338218714768884,0,0.00112739571589628,0,0,0.00112739571589628,0.0056369785794814,0,0.0394588500563698,0.0056369785794814,0,0.301014656144307,0,0.00112739571589628,0,0,0.0417136414881623,0.00225479143179256,0,0.00450958286358512,0,0,0.00225479143179256,0,0,0,0.0236753100338219,0,0,0,0,0.479143179255919,0,0,0,0
100,10043,0.0204841713221601,0.0297951582867784,0.0242085661080074,0.169459962756052,0,0,0,0.00931098696461825,0,0.0037243947858473,0.00558659217877095,0.0521415270018622,0,0,0,0.00186219739292365,0,0,0.00186219739292365,0.0130353817504655,0.0167597765363128,0.0931098696461825,0.4487895716946,0.00186219739292365,0.0763500931098696,0,0,0,0,0.0167597765363128,0.00558659217877095,0,0,0,0.0037243947858473,0,0,0,0.00186219739292365,0.00186219739292365,0,0,0,0,0,0,0,0,0.00186219739292365
110,11051,0.0367816091954023,0.00229885057471264,0.158620689655172,0.314942528735632,0,0,0,0.0206896551724138,0,0,0.00229885057471264,0.0367816091954023,0,0,0,0.00689655172413793,0,0,0,0.0206896551724138,0.0850574712643678,0.160919540229885,0.064367816091954,0,0.0390804597701149,0,0.00229885057471264,0,0,0.0137931034482759,0.00689655172413793,0,0.00459770114942529,0,0.00689655172413793,0.00229885057471264,0,0,0,0.00229885057471264,0.00229885057471264,0,0,0,0.00229885057471264,0,0,0.00689655172413793,0
120,12071,0.0429864253393665,0,0.0769230769230769,0.248868778280543,0,0,0,0.00226244343891403,0.00226244343891403,0,0,0.00452488687782805,0,0,0,0,0,0.00452488687782805,0,0.00904977375565611,0.255656108597285,0.165158371040724,0.122171945701357,0,0.0248868778280543,0,0.00226244343891403,0.0294117647058824,0,0.00452488687782805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00452488687782805,0,0,0,0
