"sample.depths","sample.ages","Abies","Acer","Alisma","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carpinus","Carya","Caryophyllaceae","Celtis","Cornus","Corylus","Cupressaceae","Cyperaceae","Elaeagnus","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus","Juglans","Lamiaceae","Larix","Lycopodiaceae","Myrica","Myriophyllum","Nuphar","Nymphaea","Picea","Pinus","Plantago","Poaceae","Polypodiaceae","Populus","Potamogeton","Potentilla","Pterocarya","Quercus","Ranunculaceae.undiff.","Rhus","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Saxifragaceae","Shepherdia.canadensis","Sparganium","Symphoricarpos","Thalictrum","Tsuga","Typha.latifolia","Ulmus","Unknown..trilete.","Urticaceae"
0,-14,2,0,0,214,18,8,4,84,4,0,440,2,0,0,0,0,26,4,54,0,4,0,0,0,0,4,0,0,0,6,2,0,2,192,140,0,72,0,0,2,0,0,6,0,0,6,0,0,36,2,2,4,0,2,0,2,8,8,0
10,86,2,0,0,116,10,8,0,44,10,0,264,0,0,0,0,0,4,0,2,0,0,0,0,0,2,0,0,0,0,2,2,0,0,108,56,2,28,0,0,0,0,0,6,0,0,2,0,0,16,0,0,0,0,2,0,2,0,0,0
20,187,0,0,0,142,12,12,2,96,16,0,344,0,0,0,0,0,14,4,42,0,0,0,0,0,0,0,0,0,0,0,4,8,0,142,104,2,70,2,0,2,0,0,0,0,0,6,0,0,20,0,0,6,0,2,0,0,2,2,0
30,287,0,2,0,136,10,2,0,52,4,0,260,0,0,2,0,0,14,0,16,0,2,0,4,0,0,0,0,0,0,0,6,6,2,118,66,0,60,0,0,2,0,0,2,0,0,12,0,0,42,0,0,0,0,2,0,2,4,4,0
45,437,6,0,0,104,182,6,0,64,8,2,326,2,0,0,0,0,8,2,18,0,0,4,0,0,0,0,0,0,0,0,0,4,0,200,78,0,54,0,0,2,0,0,16,2,0,2,0,0,26,0,2,2,0,0,0,2,6,8,0
55,537,14,2,0,122,8,14,0,64,10,0,424,0,0,0,0,0,20,2,34,0,2,0,0,0,6,0,0,0,0,8,0,0,0,244,74,2,44,0,0,0,0,0,16,0,0,2,0,0,26,0,2,0,0,4,0,2,4,4,0
65,638,6,8,0,130,6,14,0,86,10,0,378,0,0,0,0,0,18,0,20,0,2,0,2,0,8,0,0,0,0,6,0,2,8,220,80,0,54,0,0,4,0,0,8,0,0,18,4,0,50,2,0,2,0,2,0,2,8,8,0
75,738,4,4,0,138,20,10,0,92,20,0,400,0,0,0,0,0,18,0,40,0,0,0,2,0,0,0,0,0,0,2,0,0,0,306,88,0,42,0,0,0,0,0,8,0,0,0,0,0,26,0,0,2,0,4,0,2,2,14,0
85,838,2,4,0,170,16,4,0,106,24,0,326,0,0,0,0,0,22,0,28,0,6,0,0,2,0,0,0,0,0,2,0,2,6,152,98,4,42,0,0,0,0,0,6,0,0,4,0,0,54,0,0,2,0,0,0,0,2,12,0
95,939,4,0,0,144,6,14,0,56,26,0,348,0,0,0,0,0,22,0,18,0,6,0,0,0,2,0,0,0,0,0,0,4,2,146,76,0,66,0,0,4,0,0,12,0,0,8,0,0,42,0,0,2,0,0,0,0,2,0,0
105,1039,4,0,4,170,10,6,0,82,20,0,444,0,0,0,0,0,20,0,24,0,0,0,0,4,0,0,0,0,0,6,0,2,0,194,64,0,52,0,0,0,0,0,4,0,0,6,0,0,40,0,0,4,0,6,0,6,0,4,0
120,1189,0,0,0,86,16,10,0,86,10,0,402,0,0,0,0,0,16,2,16,0,0,0,0,0,0,0,0,0,0,0,0,2,2,210,44,0,36,0,0,0,0,0,10,0,0,6,0,0,0,0,0,0,0,0,0,6,6,6,0
130,1289,2,2,0,108,12,4,0,64,8,0,350,4,0,0,0,0,24,0,24,0,0,0,0,0,2,0,0,0,0,8,0,4,0,150,60,2,48,2,0,0,0,0,8,0,0,0,0,0,28,0,0,0,0,4,0,0,0,6,0
140,1390,8,2,4,186,28,6,2,114,18,0,374,0,2,0,0,0,42,0,38,0,2,2,0,0,6,2,0,2,0,8,0,4,2,110,68,0,88,0,0,0,4,0,22,0,0,14,0,0,52,2,0,4,0,0,0,14,2,8,0
155,1540,2,0,0,88,14,14,0,82,6,0,330,0,0,0,0,0,14,0,16,0,0,0,0,2,2,0,0,0,0,0,0,4,0,160,40,0,68,0,0,2,0,0,2,0,2,2,0,0,16,0,0,4,0,4,0,8,0,2,0
165,1640,8,4,6,170,6,10,4,116,14,0,406,0,0,0,0,0,24,0,44,0,8,0,0,0,2,0,0,0,0,8,0,2,2,164,80,0,104,0,0,4,4,0,12,0,0,14,2,0,50,0,0,6,0,0,0,6,2,6,0
175,1741,6,2,0,86,14,2,0,54,12,0,466,2,0,2,0,0,14,0,20,0,2,2,2,0,0,0,0,0,0,8,0,0,2,206,42,0,36,0,0,6,0,0,4,2,0,6,2,0,22,2,0,6,0,0,0,8,0,0,0
185,1841,12,0,2,126,18,2,0,56,14,0,432,4,0,0,0,0,14,0,28,0,0,0,0,0,0,0,0,0,0,2,0,0,2,140,56,0,66,0,0,2,0,0,4,0,0,16,0,0,36,0,0,2,0,0,0,4,2,0,0
