"depth","best.age","min.age","max.age"
551,19,16,25
559,428,380,474
569,940,838,1037
578,1400,1250,1544
583,1656,1478,1825
593,2168,1935,2388
598,2424,2165,2670
608,2811,2667,2985
618,3184,3044,3321
628,3666,3524,3814
638,4312,4177,4437
648,4958,4738,5116
658,5574,5325,5748
668,6120,5974,6271
673,6393,6245,6542
678,6666,6505,6827
683,6938,6752,7120
684,6993,6802,7181
689,7234,7054,7411
691,7326,7154,7491
694,7462,7303,7616
696,7554,7400,7699
699,7690,7545,7830
704,7918,7780,8057
709,8146,8006,8296
714,8374,8226,8551
719,NA,NA,NA
722,NA,NA,NA
