"sample.depths","sample.ages","upland.sum","Acer.negundo","Ambrosia.type","Amorpha.type","Artemisia","Betula","Amaranthaceae.undiff.","Cyperaceae","Fraxinus.nigra.type","Fraxinus.undiff.","Poaceae.undiff.","Iva.xanthifolia.type","Asteraceae.subf..Cichorioideae","Quercus","Rumex","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Pinus","Rubiaceae","Corylus","Thalictrum","Tilia","Urtica.type","Alnus","Ranunculus","Iva.annua.type","Elymus","Juglans.cinerea","Ostrya.Carpinus","Picea","Sarcobatus.vermiculatus","Populus","Dalea.candida","Dalea.purpurea","Abies","Lamiaceae","Cupressaceae","Platanus","Plantago","Rhamnaceae.Vitaceae.undiff.","Acer.saccharum.type","Carya","Ericaceae","Rosaceae","Cornus","Polygonum","Apiaceae","Larix","Humulus","Ephedra","Malvaceae","Parthenocissus","Shepherdia.canadensis","Epilobium.type","Juglans.nigra","Brassicaceae","Fagus","Shepherdia.argentea","Caryophyllaceae"
190,0,301,2,113,1,13,1,46,9,1,6,30,24,1,24,1,6,1,9,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,147,301,0,94,1,24,4,58,18,0,12,35,19,1,12,1,4,4,3,0,0,2,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,293,302,0,71,0,25,1,25,26,0,3,51,8,0,29,0,6,12,7,15,0,0,1,3,0,2,1,1,3,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,440,302,0,55,0,40,5,5,53,0,3,48,1,0,26,0,7,12,5,25,0,1,1,1,0,5,2,0,0,0,3,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,586,298,1,20,1,45,5,20,28,0,2,69,0,1,43,1,7,8,4,33,0,0,0,2,0,2,0,0,0,1,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,733,300,0,14,0,34,15,8,42,0,0,64,1,0,41,0,5,9,7,48,0,0,0,1,0,4,0,0,1,0,0,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,879,304,0,37,0,26,12,8,28,1,3,74,0,0,37,1,7,12,9,31,0,0,1,3,0,4,1,2,1,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,1026,303,0,23,0,55,7,9,22,0,3,47,0,0,72,0,6,12,7,29,1,0,0,2,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,1172,298,0,33,0,43,4,12,33,0,1,34,2,1,53,0,5,13,6,39,0,0,0,5,0,9,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,1319,303,3,35,1,46,4,11,39,0,7,59,0,0,29,0,7,12,9,23,0,1,1,3,0,1,4,0,1,0,0,1,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,1465,301,0,25,0,39,3,16,37,0,1,67,0,0,38,0,2,13,9,39,0,1,0,1,0,5,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,1612,300,1,30,0,54,2,12,28,2,0,55,0,0,36,0,10,11,5,39,0,1,0,2,3,4,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,1758,300,0,43,0,56,7,12,30,0,4,48,0,0,34,0,2,10,12,30,1,1,0,4,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,1905,304,0,35,2,44,5,16,25,2,1,68,1,0,34,0,2,10,10,34,0,0,1,3,0,3,2,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
330,2051,301,0,44,2,43,4,15,37,0,3,55,0,0,22,0,5,19,7,23,0,0,0,4,0,6,0,2,0,0,1,3,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
340,2198,304,0,34,0,70,2,16,22,0,0,52,2,0,23,0,10,14,8,33,0,0,0,1,0,3,4,0,0,0,3,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
350,2344,303,0,11,0,39,2,12,33,1,4,88,0,0,25,1,9,7,7,51,0,0,1,0,0,1,3,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
360,2491,301,0,23,1,62,3,13,30,1,2,68,2,0,28,0,7,16,7,27,0,1,0,0,0,2,1,2,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
