"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Alnus","Ambrosia","Artemisia","Betula","Botrychium","Brasenia.schreberi","Caltha","Caprifoliaceae.undiff.","Ostrya.Carpinus","Carya","Caryophyllaceae","Celtis","Cephalanthus","Chenopodiaceae.Amaranthaceae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.subf..Asteroideae.undiff.","Corylus","Brassicaceae","Cyperaceae","Ephedra","Equisetum","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Galium","Poaceae","Ilex.Nemopanthus","Isoëtes","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix","Fabaceae.undiff.","Liquidambar","Lycopodium.annotinum","Lycopodium.clavatum","Diphasiastrum.complanatum","Huperzia.lucidula","Menyanthes.trifoliata","Morus","Nuphar","Nymphaea","Nyssa","Ophioglossum","Osmunda.cinnamomea","Osmunda.regalis.O..claytoniana","Pediastrum","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Polygonum.lapathifolium","Polygonum.viviparum","Polypodiaceae","Populus","Potamogeton","Pteridium","Quercus","Ranunculaceae.undiff.","Robinia","Rosaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Sarracenia","Sphagnum","Thalictrum","Juniperus.Thuja","Tilia","Tilletia","Tsuga","Typha.latifolia","Typha.angustifolia.Sparganium","Ulmus","Apiaceae","Utricularia","Viburnum","Indeterminable","Unknown","Charcoal"
5,-13,0,0,0,2,0,211,1,3,0,0,0,0,3,6,0,4,3,9,0,10,0,0,1,0,0,16,1,7,0,0,24,0,0,0,2,0,8,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,5,6,2,0,0,0,1,0,0,59,0,5,0,12,0,6,0,0,0,0,3,0,0,0,0,2,7,1,0,0,17,1,521
100,367,0,0,1,5,2,6,1,2,0,0,0,0,8,24,0,0,0,0,0,2,0,0,7,1,0,3,14,2,4,0,3,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,7,0,6,0,0,0,0,4,1,205,0,0,0,0,0,1,0,0,190,1,0,6,134,0,4,0,6,0,0,0,10,7,477
210,808,0,3,0,3,3,5,0,2,0,0,0,0,11,27,0,0,0,1,0,2,0,0,52,0,0,19,26,4,1,0,3,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,4,0,3,0,0,0,0,0,4,191,0,0,0,0,0,1,0,0,15,2,0,7,2,1,0,0,18,0,0,0,6,2,291
300,1168,0,0,0,4,1,80,0,2,0,0,0,0,8,11,0,0,0,2,0,1,1,0,6,0,0,6,14,3,1,0,8,0,0,1,2,0,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,5,0,5,0,0,1,1,0,1,140,0,0,0,0,0,4,0,0,49,1,0,3,80,0,0,1,17,0,0,0,12,2,361
390,1528,0,2,0,4,2,65,0,4,0,0,0,0,6,15,0,0,1,4,0,4,2,0,9,0,0,14,24,7,2,1,11,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,1,4,0,0,2,0,2,6,161,2,0,0,3,0,2,0,0,31,1,0,2,32,1,0,0,10,0,0,0,13,3,358
480,1888,0,2,0,4,1,19,2,2,0,0,0,0,9,17,0,0,0,3,0,2,0,0,3,0,0,20,32,10,1,1,14,1,0,6,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,5,3,0,4,0,0,0,0,0,2,148,0,0,0,0,0,1,0,2,15,1,0,9,16,0,1,0,17,0,0,0,14,4,314
554,2184,0,0,0,10,1,12,4,3,0,0,2,0,6,26,0,0,0,1,0,0,0,1,4,0,0,21,42,4,2,0,3,0,0,2,2,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,4,5,0,1,0,0,1,3,0,4,179,0,0,0,0,0,0,0,0,8,2,1,6,1,1,0,1,15,0,0,0,20,5,520
579,2427,0,0,0,1,2,4,1,4,0,0,0,0,3,24,0,0,3,1,0,0,1,0,6,0,0,16,8,5,3,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,2,5,3,0,7,0,0,1,0,0,1,251,0,0,1,0,0,0,0,0,3,0,0,2,0,1,0,0,9,0,0,0,16,8,255
609,2760,0,0,0,4,1,1,4,0,0,0,0,0,4,19,0,0,1,0,0,1,1,0,13,0,0,15,1,4,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,22,0,0,0,275,0,0,3,0,12,1,0,0,0,1,0,1,0,0,0,0,6,0,0,0,19,4,167
639,3094,0,0,0,3,3,11,4,3,1,0,0,0,1,20,0,1,5,0,0,1,2,0,24,0,0,44,8,1,1,0,22,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,5,0,6,0,0,38,0,0,6,245,0,0,1,0,0,4,0,0,23,2,0,0,0,0,0,0,9,1,0,0,29,25,433
