"depth","best.age","min.age","max.age"
0,-30,-49,-10
4,18,-10,48
5,30,-4,64
6,42,2,82
7,55,9,100
8,67,15,119
9,79,21,137
10,91,27,156
20,293,198,391
30,577,461,697
40,861,704,1023
50,1145,938,1355
60,1429,1170,1690
70,1713,1400,2026
80,1997,1630,2364
90,2281,1860,2704
100,2565,2089,3043
110,2849,2318,3382
120,3134,2547,3722
130,3418,2775,4062
140,3696,3117,4277
150,3971,3530,4415
160,4246,3933,4571
170,4520,4291,4752
180,4795,4570,5022
190,5665,5463,5863
200,6534,6315,6766
210,7404,7125,7700
220,8274,7902,8644
230,9029,8687,9378
240,9709,9446,9984
250,10388,10137,10642
260,11068,10749,11377
270,11437,11186,11691
280,11805,11541,12050
290,12174,11844,12469
295,12359,11980,12696
300,NA,NA,NA
302,NA,NA,NA
310,NA,NA,NA
320,NA,NA,NA
