"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Aquifoliaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya","Castanea","Celtis","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fagus","Fraxinus","Herbs.undiff.","Juglans","Larix","Liquidambar","Lycopodium.type","Myrica","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Poaceae","Polygonaceae.undiff.","Populus","Quercus","Rhamnaceae.Vitaceae","Rosaceae.undiff.","Rumex","Salix","Sanguisorba","Sarcobatus.vermiculatus","Shepherdia","Sphagnum","Taxus","Thalictrum","Tilia","Trees.undiff.","Tsuga","Typha.Sparganium","Ulmus"
0,-30,3,12,13,1,56,0,0,0,74,1,0,0,5,4,3,0,4,6,3,3,1,0,4,2,18,18,15,24,11,0,27,1,7,45,0,1,6,5,0,0,0,0,1,1,0,1,3,0,20
4,18,3,12,41,0,40,0,1,1,70,2,0,0,0,4,2,0,21,20,3,1,0,0,3,0,22,8,15,22,21,0,43,0,5,34,0,2,10,4,0,0,0,0,0,0,2,2,17,0,13
5,30,2,5,24,1,37,0,1,1,56,0,0,0,1,3,1,0,4,6,5,5,0,0,0,2,10,12,21,12,21,2,41,0,1,18,0,0,7,4,0,0,0,2,0,0,3,0,8,0,9
6,42,1,6,22,2,26,0,2,1,64,5,0,0,1,1,2,0,11,6,1,2,0,0,2,0,11,6,18,35,15,0,37,0,4,38,1,1,6,3,0,0,0,0,0,0,1,0,5,1,10
7,55,2,3,14,0,30,0,1,1,54,4,0,0,0,3,1,0,4,4,5,2,0,0,3,0,12,8,16,25,13,0,30,0,0,19,0,0,7,1,0,2,0,0,0,0,0,0,9,0,11
8,67,3,9,19,3,35,0,0,1,70,3,0,0,2,8,0,0,13,8,9,2,2,0,0,1,11,14,15,35,12,0,39,0,1,23,0,1,5,4,0,0,0,0,0,0,2,0,12,0,11
9,79,3,4,16,1,9,0,0,1,35,1,0,0,2,2,0,0,6,4,3,4,1,0,1,0,12,15,21,36,13,0,18,0,2,14,0,0,10,2,0,0,0,0,0,0,2,0,37,0,12
10,91,4,8,5,1,6,0,2,0,62,0,0,0,0,3,2,0,20,13,1,5,1,0,0,0,10,17,20,86,33,0,8,0,1,26,0,1,4,2,0,0,0,0,0,0,5,0,23,1,11
20,293,5,27,8,0,1,0,1,2,68,2,0,0,0,11,1,0,24,12,5,5,1,0,1,0,13,13,7,69,15,0,3,0,2,9,0,0,0,2,0,0,0,0,0,0,5,0,36,0,26
30,577,2,14,5,0,1,0,0,0,72,1,0,0,1,1,2,0,21,13,2,3,1,0,1,0,7,8,13,82,27,0,0,0,2,37,0,1,1,0,0,0,0,0,0,0,2,0,29,1,16
40,861,3,12,13,0,2,0,1,1,58,0,0,0,0,1,0,0,24,11,4,1,0,0,1,0,10,7,2,63,18,0,1,0,1,30,0,0,0,1,0,0,0,0,2,0,5,0,49,0,18
50,1145,2,14,12,0,0,0,1,1,52,1,0,0,0,4,2,0,29,8,1,2,1,0,1,0,15,6,4,46,12,0,1,0,2,14,0,0,0,2,0,0,0,0,0,1,3,0,61,0,15
60,1429,0,27,6,2,0,0,0,0,86,1,0,0,0,1,1,0,88,8,1,1,4,0,0,1,15,4,8,28,18,0,0,0,0,23,0,0,0,0,0,0,0,1,0,0,4,0,81,0,18
70,1713,1,14,3,0,1,0,1,0,75,1,0,0,0,1,0,0,56,8,0,1,0,0,1,0,11,3,9,36,17,0,3,0,0,33,0,0,0,0,0,0,0,0,1,0,6,0,59,0,16
80,1997,5,26,8,0,1,0,0,0,100,2,0,0,0,1,2,0,47,13,3,7,0,0,1,0,16,6,8,44,23,0,0,0,2,26,0,1,0,0,0,0,0,0,0,0,6,0,55,0,11
90,2281,4,36,2,0,0,0,3,2,102,3,0,0,0,3,0,0,96,16,6,5,1,0,0,0,22,0,5,43,19,0,0,0,0,28,0,1,0,1,0,0,0,0,2,0,3,0,71,0,23
100,2565,6,46,10,0,1,0,1,2,131,1,0,0,0,3,0,0,113,20,5,4,1,0,0,0,20,6,18,59,22,0,0,0,2,37,0,1,0,2,0,0,0,2,0,0,9,2,85,0,25
110,2849,4,48,12,0,1,0,3,0,93,1,0,0,0,9,0,0,82,22,8,7,0,0,0,0,29,7,30,52,21,0,3,0,4,33,0,1,0,0,0,0,0,2,1,1,3,0,61,0,35
120,3134,0,52,9,0,0,0,0,0,147,3,0,0,0,4,1,0,108,14,2,10,0,0,1,0,28,8,9,37,20,1,1,0,1,36,0,1,0,1,0,0,0,1,1,0,8,0,98,0,42
130,3418,1,31,6,0,1,0,0,1,106,2,0,0,0,1,2,0,62,26,4,2,1,1,0,0,32,3,11,78,18,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,3,0,47,0,36
140,3696,2,27,15,0,0,0,1,1,108,2,0,0,0,10,1,0,38,16,2,6,1,0,0,0,14,5,14,33,17,0,0,0,0,53,0,0,0,0,0,0,0,0,2,0,5,0,20,0,14
150,3971,1,38,11,2,0,0,0,1,123,0,0,0,1,10,0,0,82,31,1,8,0,0,1,1,29,3,18,75,21,0,1,0,2,91,0,0,1,0,0,0,0,1,1,0,5,0,34,1,18
160,4246,0,29,13,0,1,0,1,0,100,3,0,0,0,10,1,0,67,18,4,6,0,0,0,0,14,3,11,72,13,0,0,0,3,62,0,0,2,0,0,0,0,0,2,0,4,0,21,0,29
170,4520,0,32,11,0,1,0,0,0,130,4,0,0,0,21,0,0,46,21,4,4,2,0,0,0,21,3,32,53,34,0,1,0,2,74,0,0,0,0,0,0,0,1,1,0,3,0,17,0,31
180,4795,0,20,12,1,1,0,4,0,105,1,0,0,1,3,0,0,40,18,4,5,5,0,0,0,12,1,29,51,23,0,0,0,1,47,0,1,0,0,0,0,0,0,1,0,2,0,29,0,22
190,5665,0,15,7,0,0,0,1,0,70,2,0,0,0,6,1,0,26,8,7,0,0,0,0,1,7,3,11,47,16,0,0,0,0,32,0,0,0,0,0,0,0,0,1,0,3,0,195,0,15
200,6534,0,21,5,0,1,0,0,0,65,0,0,0,0,7,1,0,30,8,4,3,0,0,1,0,16,2,20,41,21,0,1,0,2,33,0,0,0,0,0,0,0,1,1,0,1,0,77,0,19
210,7404,0,26,9,0,2,1,0,0,118,2,0,0,1,4,2,0,22,23,4,0,0,0,0,1,17,0,32,63,26,0,1,0,3,40,0,0,0,0,0,0,0,0,1,0,6,0,149,0,18
220,8274,0,11,7,0,1,0,1,0,86,1,0,0,0,7,0,0,14,30,5,1,1,0,0,0,35,3,29,78,34,0,0,0,7,99,0,1,0,2,0,0,0,0,1,0,2,0,67,0,21
230,9029,4,14,11,1,2,0,0,1,103,1,0,0,3,3,4,0,5,27,1,0,2,0,1,2,42,2,105,194,76,0,1,0,13,123,0,0,1,2,0,0,0,0,3,0,0,0,8,1,43
240,9709,1,3,8,0,0,0,3,0,99,0,0,0,0,2,4,0,1,11,2,0,3,0,0,2,12,4,94,127,59,0,5,0,10,48,0,0,0,1,0,0,0,0,2,0,1,1,6,0,14
250,10388,7,2,6,1,1,0,2,0,145,2,0,0,2,6,0,0,0,18,3,0,0,0,0,1,10,13,139,77,60,0,4,0,9,37,0,0,0,0,0,0,0,0,0,0,0,0,1,1,16
260,11068,5,15,4,1,3,0,1,0,117,1,1,0,1,2,4,0,3,17,6,1,3,0,0,2,20,9,138,133,69,0,3,0,5,90,0,1,0,0,0,0,0,0,2,1,0,0,13,0,25
270,11437,1,2,6,1,1,0,4,0,91,0,0,0,2,0,0,0,0,11,2,0,2,0,0,4,8,33,89,7,25,0,6,0,23,26,0,2,0,4,0,0,0,0,1,0,0,0,1,2,10
280,11805,0,1,5,0,6,0,8,1,19,1,0,0,1,4,2,0,1,9,3,1,4,0,2,2,19,56,29,10,17,0,6,0,39,31,1,0,0,3,0,0,1,0,0,0,0,0,0,0,10
290,12174,1,3,5,0,2,0,3,0,32,1,0,1,1,9,6,0,1,2,4,1,0,0,1,2,7,88,36,23,7,0,0,0,33,25,0,0,0,3,0,0,1,0,0,0,0,0,2,2,5
295,12359,1,0,8,0,1,0,4,2,32,0,0,0,0,2,15,0,0,2,3,1,0,0,5,2,5,17,40,25,13,0,3,0,104,4,0,1,0,13,0,0,2,0,0,0,0,0,1,0,1
300,NA,1,0,16,1,0,0,14,2,37,1,1,0,0,1,27,1,0,1,6,0,0,0,4,2,6,13,49,24,16,1,10,0,19,13,0,4,0,34,1,1,4,0,0,1,0,0,6,0,6
302,NA,0,0,18,0,1,0,20,3,12,0,0,0,3,1,15,0,0,1,8,0,0,0,1,1,6,23,79,3,15,1,4,0,3,8,0,17,2,5,0,0,0,0,0,0,0,0,2,0,1
310,NA,0,0,43,0,1,0,21,1,14,0,0,0,4,0,6,0,0,4,14,0,0,0,0,0,5,21,18,2,21,0,5,0,3,8,0,0,1,6,0,0,1,0,0,0,0,0,2,0,3
320,NA,0,1,16,1,0,0,25,3,19,0,0,0,0,0,10,0,0,2,8,0,0,0,2,1,1,12,70,1,24,0,10,0,0,3,0,1,0,4,0,0,0,1,0,1,0,0,4,0,3
