"sample.depths","sample.ages","upland.sum","Abies","Betula","Corylus","Cyperaceae","Ericaceae","Fagus","Poaceae.undiff.","Larix","Picea","Quercus","Salix","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Zea.mays","Alnus","Ambrosia","Myrica","Pinus","Amaranthaceae","Acer.saccharum","Ostrya","Artemisia","Carya","Castanea","Juglans.cinerea","Rumex","Cornus","Populus","Ilex.Nemopanthus","Fraxinus.nigra","Cupressaceae","Juglans.nigra","Fraxinus.americana","Platanus","Rosaceae","Thalictrum","Acer.rubrum"
1,-28,616,2,50,2,6,19,11,6,3,8,24,1,1,3,1,4,1,3,38,2,425,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,90,540,1,53,2,18,63,54,26,2,25,43,2,4,13,2,21,4,15,77,3,73,1,14,11,1,1,1,2,3,1,1,1,2,0,0,0,0,0,0,0
100,411,540,1,73,1,13,6,111,3,3,10,58,0,5,47,2,35,0,7,3,4,102,0,21,15,1,1,0,0,3,4,1,1,5,1,1,2,0,0,0,0
153,963,613,1,85,1,6,2,206,1,1,6,37,0,6,101,1,28,0,5,2,5,56,0,40,5,2,3,0,1,0,0,2,0,6,1,0,0,1,2,0,0
203,1484,537,5,48,0,2,3,222,0,1,7,34,0,12,62,1,27,0,1,2,0,51,0,35,4,2,4,1,0,0,5,1,0,6,0,0,1,0,0,0,0
253,2006,543,0,51,0,4,0,207,0,0,7,43,0,12,57,0,30,0,3,3,3,58,0,43,3,0,5,0,1,0,5,1,0,2,4,0,0,1,0,0,0
303,2527,554,2,37,2,5,1,212,1,0,10,27,1,12,34,2,44,0,14,0,3,64,0,47,13,2,2,2,1,0,6,1,0,3,0,0,2,0,4,0,0
340,2912,903,2,113,0,19,11,265,1,3,7,72,0,8,82,5,51,0,4,1,4,113,0,82,19,2,6,0,0,0,0,3,3,5,12,2,5,2,0,1,0
350,3017,510,0,84,0,14,0,140,0,3,5,28,1,7,27,3,25,0,5,0,5,80,1,52,10,1,3,0,0,0,0,3,0,2,8,0,2,1,0,0,0
360,3121,546,0,44,0,24,0,165,0,0,10,47,0,7,22,1,22,0,6,0,4,93,1,62,10,0,0,0,0,0,0,4,0,2,10,0,5,1,5,0,1
370,3225,507,0,64,0,14,0,206,0,0,5,46,0,11,18,2,20,0,2,0,2,71,1,30,0,1,2,0,0,0,0,4,0,4,0,2,0,0,1,0,1
380,3329,569,1,59,0,41,0,139,0,3,7,59,1,10,26,0,30,0,10,0,6,84,4,36,22,0,10,0,0,0,5,2,0,3,8,0,1,1,0,0,1
390,3434,491,0,38,0,18,0,168,0,3,2,45,0,8,20,0,37,0,2,2,6,75,0,41,7,1,3,0,0,0,2,5,0,1,3,0,0,0,0,2,2
395,3486,560,0,38,0,31,2,195,1,2,3,45,1,10,17,2,41,0,7,0,8,70,2,41,12,1,3,0,0,0,2,4,0,3,9,2,6,1,1,0,0
400,3538,539,0,68,0,18,0,202,0,0,1,43,0,8,18,5,34,0,1,0,6,50,0,45,17,0,0,0,1,0,6,1,0,8,3,1,2,1,0,0,0
405,3590,560,0,56,0,24,2,181,1,1,4,44,0,12,9,1,38,0,3,0,4,95,2,42,13,0,1,0,0,0,2,1,0,4,13,1,1,0,4,0,1
410,3642,611,0,43,2,62,0,195,2,0,10,44,0,13,22,0,33,0,5,0,3,77,1,64,21,2,0,0,4,0,0,1,0,2,2,1,2,0,0,0,0
420,3746,556,1,52,1,20,0,146,4,2,21,60,0,9,40,3,42,0,2,0,3,58,1,49,16,1,1,0,1,0,0,4,3,6,3,1,4,1,1,0,0
430,NA,430,1,49,0,14,0,104,0,1,11,32,1,13,24,0,41,0,4,1,3,61,1,31,9,0,0,0,0,0,0,3,11,3,5,0,2,0,5,0,0
438,NA,642,3,27,0,23,0,172,0,2,5,29,0,12,30,3,34,0,0,0,8,98,0,67,12,0,0,0,1,0,1,0,94,6,0,0,3,2,8,1,1
