"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","cf..Oxyria.digyna","Corylus.cornuta","Cyperaceae","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Lonicera.involucrata","Lycopodium.annotinum.type","Lycopodium.clavatum","Myrica.gale","Myriophyllum","Nemopanthus.mucronatus","Nuphar","Onagraceae","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Plantago","Poaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Quercus","Ribes","Rosaceae","Rumex.type","Salix","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum.alnifolium"
4,63,32,3,0,0,0,10,6,0,0,0,0,276,0,0,0,0,0,0,1,0,0,0,23,3,2,0,0,0,1,19,15,2,0,1,1,0,0,0,0,0,0,1,2,77,18,25,58,34,0,1,0,0,0,12,0,0,0,1,0,2,0,0,0,11,1,0,2,1,0,0,0
16,252,21,1,0,0,0,8,1,1,1,1,0,287,0,0,0,0,0,0,4,0,0,0,9,3,1,0,0,0,0,26,2,1,0,0,0,0,0,0,0,0,0,1,0,63,26,20,56,27,0,1,0,1,0,10,0,0,0,0,0,2,0,1,0,11,0,0,4,2,4,1,0
48,755,17,0,1,0,0,12,6,0,1,0,1,208,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,1,0,9,1,3,0,0,0,0,0,0,1,0,1,0,0,78,24,25,83,37,0,1,0,0,0,4,0,0,1,0,0,2,0,0,0,6,1,0,1,1,5,0,0
90,1416,18,3,0,1,0,5,0,2,0,0,0,227,0,0,0,0,0,0,0,0,0,0,22,3,1,0,0,0,0,25,2,2,0,0,0,3,0,0,0,0,0,0,0,51,24,13,119,67,0,0,0,2,0,11,0,0,0,0,0,0,0,0,0,3,0,0,3,0,2,0,0
110,1731,11,3,0,0,0,8,4,0,1,0,0,229,0,0,0,0,0,0,0,1,1,0,20,3,2,0,0,0,0,32,6,2,0,0,0,2,0,0,1,0,0,1,0,45,14,20,61,43,0,1,1,1,0,9,0,1,0,0,0,2,0,0,0,9,0,1,2,2,1,0,0
138,2171,19,0,3,1,0,11,2,1,0,1,0,226,0,0,0,1,0,0,0,0,0,0,13,7,0,0,0,0,0,58,15,3,0,0,1,0,0,1,0,0,0,0,0,39,12,9,152,45,0,0,0,1,0,8,0,1,0,0,0,1,0,0,0,9,0,0,2,3,0,0,0
168,2643,12,0,1,1,0,9,5,0,1,1,0,249,0,0,0,0,0,0,0,0,0,0,15,6,3,0,0,1,0,59,0,5,0,0,0,1,0,0,0,0,0,0,0,47,10,7,114,47,0,3,0,1,0,8,0,0,0,0,0,0,0,0,0,10,0,0,1,2,3,0,0
198,3115,21,1,1,2,1,22,7,0,1,0,0,309,0,0,0,1,0,0,0,0,0,0,19,3,2,1,0,0,1,54,1,2,0,0,1,4,0,0,0,0,0,1,0,53,15,3,152,51,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,5,0,0,1,1,0,0,0
247,3886,18,2,1,0,0,13,4,0,0,2,0,247,0,0,0,0,0,0,4,0,0,0,15,5,1,0,0,0,0,59,0,1,0,1,0,0,0,1,0,0,1,1,0,74,15,10,117,49,0,0,0,1,0,6,0,1,0,0,0,3,0,0,0,5,0,0,1,4,3,2,0
258,4059,15,2,1,2,0,9,4,0,1,0,1,226,0,0,0,0,0,0,0,0,57,0,17,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37,11,0,277,72,0,1,0,1,0,6,0,0,1,0,0,2,1,0,0,6,0,0,5,0,3,1,1
278,4373,5,0,1,0,0,5,1,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,5,2,2,0,0,0,0,32,28,0,0,1,0,1,0,0,0,0,0,0,0,23,8,5,109,42,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,4,0,0,4,1,2,0,0
296,4657,8,2,0,1,1,6,2,0,0,0,1,142,0,0,0,0,0,0,2,0,0,0,3,7,0,0,1,1,0,43,17,2,0,0,0,1,0,0,0,0,0,0,0,45,9,6,68,39,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,2,3,1,0
317,4987,20,1,0,0,0,10,3,0,0,0,0,217,0,0,0,0,0,1,1,0,1,0,5,6,0,0,1,0,0,6,4,0,0,0,0,2,0,0,0,0,0,0,1,21,9,2,156,55,0,0,0,0,0,9,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,1,0
337,5302,19,2,0,2,0,13,5,2,0,0,0,162,0,0,0,0,0,0,1,0,0,0,8,7,1,1,0,0,0,6,5,0,0,0,0,5,0,0,0,0,1,1,0,40,7,1,176,50,0,4,0,2,0,3,0,1,0,0,0,0,1,0,0,0,0,0,2,1,2,2,0
356,5601,11,4,1,0,0,2,0,0,1,0,0,210,0,0,0,0,0,0,0,0,0,0,6,7,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,18,6,0,155,50,0,1,0,1,0,6,0,0,0,1,0,1,2,0,0,2,0,0,2,0,2,0,0
376,5915,8,3,0,0,0,4,2,0,1,0,0,163,1,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,1,2,0,0,0,0,1,0,2,0,0,1,0,0,16,4,1,124,46,0,0,0,3,0,14,0,0,0,0,0,0,6,0,0,1,0,0,3,0,2,1,0
396,6230,5,3,3,1,0,7,4,0,1,1,0,170,0,0,0,0,0,2,3,0,0,0,7,8,0,0,1,0,0,1,0,1,0,0,1,2,0,1,0,0,1,0,1,16,10,3,180,59,0,1,0,2,0,10,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0
416,6545,11,3,1,1,0,7,5,0,0,0,1,204,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,13,0,0,191,61,0,0,0,2,0,1,0,0,0,0,0,0,7,0,0,4,0,0,4,1,0,1,0
436,6859,8,0,0,0,0,8,1,0,0,1,0,154,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,17,5,1,140,45,0,3,0,0,0,5,0,0,0,0,0,0,3,0,0,15,0,0,3,0,1,0,0
456,7174,14,5,0,1,0,3,1,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,0,0,2,1,0,0,6,0,0,0,0,0,0,0,20,6,2,195,56,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,3,0,0,4,1,1,0,0
466,7331,10,4,1,1,0,14,5,0,1,0,0,143,0,0,0,1,0,1,2,0,0,0,1,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,18,10,9,276,73,0,0,0,0,0,11,0,0,0,0,0,0,9,0,0,4,0,0,6,2,3,1,0
476,NA,13,2,0,1,0,12,8,0,0,1,0,186,0,0,0,0,0,1,2,0,0,0,3,10,1,1,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,1,0,46,7,4,295,77,0,0,0,1,1,17,0,1,0,0,0,0,13,0,0,4,0,0,5,3,2,5,0
486,NA,11,1,0,0,0,8,2,2,2,2,0,226,0,0,1,1,0,1,0,0,0,0,0,11,4,0,0,0,2,0,0,3,0,0,0,7,1,0,0,0,0,0,0,31,7,4,141,45,0,1,0,9,0,19,0,0,0,0,0,0,15,0,0,2,0,0,2,2,2,1,0
496,NA,22,0,0,0,0,3,41,0,2,2,1,306,0,0,0,0,0,0,4,0,0,0,1,2,2,0,0,0,0,2,0,2,0,3,3,11,0,0,0,0,0,0,0,47,11,1,37,18,0,4,0,11,0,2,1,0,0,2,0,0,6,0,0,0,0,0,0,1,3,1,0
506,NA,8,0,0,0,1,2,39,0,0,0,0,378,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,14,1,0,0,0,0,0,2,25,15,1,23,20,0,0,2,16,0,12,0,0,0,1,0,1,0,0,1,0,0,0,2,0,4,1,0
514,NA,20,1,0,0,1,2,43,0,0,1,0,343,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,4,0,7,0,0,0,0,0,0,1,28,9,2,22,17,0,3,0,4,0,5,0,0,0,0,0,0,2,0,0,2,0,0,3,2,5,3,0
524,NA,2,0,0,0,0,1,348,0,1,2,1,49,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,11,1,0,0,0,0,0,0,50,25,2,10,13,0,2,0,29,1,7,0,0,0,8,0,0,0,0,0,0,0,0,0,2,5,0,0
536,NA,1,0,0,0,0,0,51,0,3,5,4,302,0,0,1,0,0,0,17,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,4,8,0,0,0,1,0,0,0,6,16,3,19,34,0,6,1,23,0,14,0,0,0,5,1,0,0,0,0,0,0,0,0,4,25,2,0
544,NA,1,0,0,0,0,0,35,2,1,6,1,65,0,7,0,0,0,0,92,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,7,6,7,15,22,3,46,0,3,0,8,0,1,1,22,0,0,0,0,0,2,0,0,0,7,27,7,0
