"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Betula","Castanea","Cephalanthus","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fagus","Fraxinus.undiff.","Ostrya.Carpinus","Picea","Pinus.undiff.","Quercus","Rumex","Salix","Sambucus","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus.incana","Ambrosia","Populus","Amaranthaceae","Poaceae","Polygonum","Acer.saccharum","Ilex.Nemopanthus","Pinus.strobus","Pinus.banksiana.P..resinosa","Alnus.undiff.","Fagopyrum","Larix","Alnus.viridis.type","Tilia","Lamiaceae","Humulus","Artemisia","Carya","Juglans","Rosaceae.undiff.","Brassicaceae","Acer.undiff.","Dalea","Iva.undiff.","Shepherdia.canadensis","Prunus","Liquidambar","Celtis","Nyssa","Acer.saccharinum.type","Myrica","Caryophyllaceae","Apiaceae","Acer.pensylvanicum","Ranunculaceae","Fraxinus.pennsylvanica.type","Morus","Cornus","Asteraceae.subf..Cichorioideae","Rubus","Dryas","Iva.xanthifolia.type","Urtica.type","Acer.negundo","Saxifraga.type","Campanulaceae","Potentilla","Epilobium"
335.5,-38,305,1,3,89,1,2,4,1,3,1,21,6,1,3,38,63,4,3,1,6,3,1,8,8,3,1,10,1,2,5,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355.5,39,298,0,1,85,1,2,11,1,0,0,14,6,2,2,30,63,7,1,2,12,0,3,7,9,2,0,8,1,3,2,19,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,138,307,2,0,69,1,1,13,1,3,0,18,8,14,8,19,80,0,2,0,19,0,2,2,1,1,0,2,1,6,2,19,6,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375.5,141,320,1,3,73,1,0,14,1,0,0,21,5,2,8,50,82,2,1,0,19,1,0,3,2,0,0,4,0,2,0,10,10,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385.5,210,365,0,3,93,0,2,13,1,0,0,27,7,2,10,38,95,0,3,0,28,3,5,3,1,0,0,0,0,2,6,7,8,1,0,0,1,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395.5,294,320,0,3,82,1,0,9,1,0,0,39,5,3,5,22,85,0,3,0,29,1,2,0,0,3,0,2,0,5,3,7,3,3,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,338,393,4,0,100,0,0,7,0,0,0,61,3,22,20,7,43,1,0,0,74,2,7,2,0,0,0,1,0,7,1,21,3,1,0,0,0,0,0,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405.5,395,369,1,2,107,2,0,12,2,0,0,56,8,8,7,23,61,0,3,2,33,3,4,4,0,0,0,1,0,5,4,17,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,566,307,2,0,85,1,0,5,0,0,0,53,4,12,9,1,19,0,0,1,76,2,2,0,1,1,0,1,0,6,2,21,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,844,482,1,4,135,2,0,7,0,0,0,93,14,7,1,16,34,0,1,0,74,3,8,1,0,0,1,0,0,11,3,57,1,2,0,0,0,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,1159,299,2,1,69,1,1,1,0,0,0,67,4,1,2,19,16,0,0,0,75,0,4,3,0,3,0,0,0,2,2,22,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
