"sample.depths","sample.ages","upland.sum","Acer.rubrum","Artemisia","Betula","Carya","Cephalanthus","Corylus","Cyperaceae","Fagus","Juglans.cinerea","Juglans.nigra","Nyssa","Ostrya.Carpinus","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago.major","Plantago.lanceolata","Platanus","Quercus","Rumex","Salix","Thalictrum","Tilia","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Ambrosia","Populus","Amaranthaceae","Poaceae","Rosaceae","Acer.saccharum","Fraxinus.nigra","Fraxinus.americana","Liquidambar","Picea","Plantago.undiff.","Tsuga","Apiaceae","Alnus","Fabaceae","Caryophyllaceae","Larix","Acer.saccharinum","Celtis","Galium","Sambucus","Humulus.Cannabis.sativa","Lamiaceae","Aquifoliaceae","Urtica","Acer.negundo","Abies","Asteraceae.subf..Cichorioideae"
10,NA,432,1,3,3,14,1,1,38,4,1,2,1,3,2,3,22,4,5,5,213,2,1,3,3,3,7,52,2,3,15,2,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,NA,537,0,2,11,10,0,3,43,14,1,1,8,7,3,0,23,0,0,3,327,0,2,1,0,3,14,16,4,3,13,1,0,1,8,3,5,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,NA,447,0,5,6,16,0,1,54,3,3,1,1,3,1,0,33,0,0,3,252,4,0,1,0,2,16,15,0,2,12,1,3,1,2,1,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,NA,416,1,1,2,11,0,0,34,7,3,2,0,4,4,1,28,0,0,2,238,1,3,1,1,5,7,5,0,3,26,0,6,7,0,0,2,0,2,0,6,0,1,1,1,0,0,0,0,0,0,0,0,0,0
60,NA,428,0,3,6,19,0,1,45,13,4,3,1,8,8,1,18,0,0,1,224,6,6,1,0,2,11,11,4,1,10,1,1,3,7,1,0,0,4,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
80,NA,573,0,1,6,27,0,2,48,9,7,2,4,7,1,0,24,0,0,8,340,2,3,0,1,5,30,7,7,3,9,3,3,6,1,2,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
100,3408,462,0,4,5,16,6,1,20,0,2,1,0,6,3,1,21,0,0,5,279,21,1,1,0,1,12,18,1,8,12,2,3,5,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,3735,413,0,5,3,27,0,1,36,4,1,0,0,5,5,2,26,0,0,0,248,0,2,0,0,2,0,10,0,2,19,0,3,5,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,4388,485,0,9,4,17,0,3,24,4,4,4,0,3,3,1,30,0,0,7,318,0,0,0,0,0,12,7,0,4,11,0,3,5,4,2,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,5042,603,0,0,7,32,0,2,27,5,1,1,0,4,2,0,17,0,0,9,410,0,2,1,0,4,16,25,3,11,10,0,1,2,1,2,4,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
180,6022,581,0,11,2,28,0,0,38,2,1,1,2,7,4,0,9,0,0,9,363,2,2,2,0,7,34,21,0,3,9,3,7,1,4,0,1,0,1,0,2,0,0,0,0,0,0,0,1,4,0,0,0,0,0
200,7150,496,1,1,1,45,0,2,23,1,7,3,0,11,2,3,34,0,0,17,253,4,2,0,1,1,54,16,0,1,2,1,4,1,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,7632,440,0,1,1,24,0,1,7,0,5,2,1,14,4,1,49,0,0,0,254,0,0,0,2,0,48,8,0,2,4,0,1,7,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,8596,748,0,4,3,26,0,10,15,0,1,1,0,9,5,4,209,0,0,0,320,1,3,1,1,1,72,24,0,0,16,0,2,10,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
250,9561,472,0,0,4,16,0,6,3,3,7,0,1,9,11,0,109,0,0,9,212,2,5,0,0,1,35,9,0,2,6,0,5,7,2,0,3,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0
280,11008,671,0,1,3,25,0,7,6,1,6,0,0,53,25,4,199,0,0,3,200,0,1,1,0,0,101,4,2,1,2,0,8,8,1,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
300,11332,906,0,2,90,7,1,44,16,1,7,0,0,23,45,10,213,0,0,0,110,6,14,0,1,1,126,5,0,3,14,1,2,73,4,0,31,0,0,0,30,1,0,2,0,1,0,0,0,0,0,1,0,20,1
330,NA,320,0,3,2,1,0,0,0,0,0,2,0,0,17,3,109,0,0,0,17,0,3,0,0,1,0,3,0,0,0,0,0,14,0,0,120,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,20,0
350,NA,426,0,0,5,0,0,4,37,0,0,1,0,1,19,2,118,0,0,0,9,5,6,0,0,4,4,5,0,2,3,0,4,5,1,0,154,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,23,0
380,NA,377,0,2,1,0,0,0,13,0,0,0,0,3,7,0,99,0,0,0,9,1,4,0,0,1,4,2,0,1,4,0,1,3,1,0,192,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,20,0
400,NA,392,0,3,1,0,0,2,18,0,0,0,0,6,22,1,62,0,0,0,15,3,2,0,0,2,8,2,0,0,5,0,0,5,0,0,210,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,14,1
